parag_no,parag_raw,char_len,token_len,parag_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob
199,"His voice had changed. It was firmer, more expressive in its varied pitch. But the attitude--I needed more time. My immediate, unreliable impression was of an intact presence. ""I was thinking only of your best interests.""",221,36,his voice had changed it was firmer more expressive in its varied pitch but the attitudei needed more time my immediate unreliable impression was of an intact presence i was thinking only of your best interests,1.2946838361590556,-0.9927364587783813,0.7322575449943542,,
200,"""You just said you were sorry.""",31,6,you just said you were sorry,0.3331083200046281,-0.9975301623344421,-0.9981923699378967,,
201,"""that is correct.""",18,3,that is correct,2.3426518604254194,0.9946827292442322,-0.9968373775482178,,
202,"""I need to hear why you said what you did.""",43,10,i need to hear why you said what you did,4.274403111473309,-0.9994869232177734,-0.9982325434684753,,
203,"""there is a small but significant possibility that she might harm you.""",71,12,there is a small but significant possibility that she might harm you,1.2562670066405723,-0.9964934587478638,0.9943121671676636,,
204,"I disguised my irritation and said, ""How significant?"" ""In the terms set by Thomas Bayes, the eighteenth-century clergyman, I would say one in five, assuming you accept my values for the priors.""",195,32,i disguised my irritation and said how significant in the terms set by thomas bayes the eighteenthcentury clergyman i would say one in five assuming you accept my values for the priors,0.23178957607704545,-1.990102469921112,-0.007523596286773682,,
205,"My father, adept at the harmonic progressions of bebop, was a sincere technophobe. He used to say that any faulty electrical device needed no more than a good thump. I drank my tea and considered. In the colossal array of tree-branching networks that governed Adam's decision-making, there would be a strong weighting in favour of reasonableness.",346,56,my father adept at the harmonic progressions of bebop was a sincere technophobe he used to say that any faulty electrical device needed no more than a good thump i drank my tea and considered in the colossal array of treebranching networks that governed adams decisionmaking there would be a strong weighting in favour of reasonableness,1.2567481262703781,1.9953793287277222,-1.9949633479118347,,
206,"I said, ""I happen to know that the possibility is insignificant, close to zero.""",80,14,i said i happen to know that the possibility is insignificant close to zero,0.3164807201320262,-0.999303936958313,-0.9986656904220581,,
207,"""I see. I am so sorry.""",23,6,i see i am so sorry,0.3310399590353585,-0.007730841636657715,0.02881491184234619,,
208,"""We all make mistakes.""",23,4,we all make mistakes,0.4084791591729327,0.9756666421890259,0.9929662346839905,,
209,"""We certainly do.""",18,3,we certainly do,3.236425641505369,0.9980385303497314,-0.9986074566841125,,
210,"""How many mistakes have you made in your life, Adam?""",53,10,how many mistakes have you made in your life adam,0.36922981396289545,-0.9969825744628906,-0.9987045526504517,,
211,"""Only this one.""",16,3,only this one,0.3331357454747515,0.9767028093338013,-0.992979884147644,,
212,"""Then it is important.""",23,4,then it is important,2.3107435778278567,-0.9864680171012878,-0.9979270100593567,,
213,"""Yes.""",6,1,yes,2.243202520184883,0.9981822967529297,0.9875701665878296,,
214,"""And important not to repeat it.""",33,6,and important not to repeat it,0.2801657679441893,0.9742188453674316,-0.9593651294708252,,
215,"""Of course.""",12,2,of course,2.3496321944561886,0.9957386255264282,0.9851821660995483,,
216,"""So we need to analyse how you came to make it, would not you say?""",67,15,so we need to analyse how you came to make it would not you say,2.2987945490537918,-0.9925358295440674,0.9504383206367493,,
217,"""I agree.""",10,2,i agree,3.2270548297319235,0.9979155659675598,0.9985995292663574,,
218,"""So, in this regrettable process what was your first move?"" He spoke confidently now, seeming to take pleasure in describing his methods. ""I have privileged access to all court records, criminal as well as the Family Division, even when in camera. Miranda's name was anonymised, but I matched the case against other circumstantial factors that are also not generally available.""",378,60,so in this regrettable process what was your first move he spoke confidently now seeming to take pleasure in describing his methods i have privileged access to all court records criminal as well as the family division even when in camera mirandas name was anonymised but i matched the case against other circumstantial factors that are also not generally available,1.2257734236519284,1.983754575252533,-1.9961450099945068,,
219,"""Clever.""",9,1,clever,2.2613159137091645,0.9979566931724548,-0.933626651763916,,
220,"""Thank you.""",12,2,thank you,4.309806842165215,0.9987898468971252,-0.9949445128440857,,
221,"""Tell me about the case. And the date and place.""",49,10,tell me about the case and the date and place,3.24913769679135,1.968897819519043,-1.9551866054534912,,
222,""" The young man, you see, knew very well that the first time he had intimate relations with her . . .""",102,22, the young man you see knew very well that the first time he had intimate relations with her   ,3.2580866356589766,0.9965474605560303,-0.9970476627349854,,
223,"He broke off and stared at me, bug-eyed in astonishment, as though he was taking in my presence for the first time. I guessed my short run of discovery was coming to a close. He appeared now to know about the value of reticence.",228,44,he broke off and stared at me bugeyed in astonishment as though he was taking in my presence for the first time i guessed my short run of discovery was coming to a close he appeared now to know about the value of reticence,1.2258177963620087,-0.9712592959403992,-1.039143979549408,,
224,"""Go on.""",8,2,go on,4.183812245214092,0.9964773058891296,0.9886006116867065,,
225,"""Uh, she brought along a half-bottle of vodka.""",47,8,uh she brought along a halfbottle of vodka,0.2341639088501408,-0.9986574649810791,-0.9963129162788391,,
226,"""Give me a date and place and the man's name. Quick!""",53,11,give me a date and place and the mans name quick,4.280695068414842,0.10543310642242432,1.994861125946045,,
227,"""October the . . . Salisbury. But look--""",41,8,october the    salisbury but look,2.312987128519644,0.9022963643074036,0.9889927506446838,,
228,"Then he began to giggle, a silly, hissing sound. It was embarrassing to witness, but I could not look away. On his face was a complicated look--of confusion, of anxiety, or mirthless hilarity. The user's handbook claimed that he had forty facial expressions. The Eves had fifty. As far as I knew, the average among people was fewer than twenty-five.",349,60,then he began to giggle a silly hissing sound it was embarrassing to witness but i could not look away on his face was a complicated lookof confusion of anxiety or mirthless hilarity the users handbook claimed that he had forty facial expressions the eves had fifty as far as i knew the average among people was fewer than twentyfive,1.247019749301679,-2.0096070170402527,-2.0293705463409424,,
229,"""Get a grip, Adam. We agreed. We need to understand your mistake.""",66,12,get a grip adam we agreed we need to understand your mistake,4.306291743232263,-0.9891754984855652,-0.7336947917938232,,
230,"It took him more than a minute to get himself under control. I drank the last of my tea and watched what I knew to be a complex process. I understood that personality was not like a she will, encasing and constraining his capacity for coherent thought; that his deviousness, if that was what motivated him, did not live downstream of reason. Nor did mine. His rational impulse to collaborate with me may have pulsed through his neural networks at half the speed of light, but it would not have been suddenly barred at the logic gate of a freshly devised persona. Instead, these two elements were entwined at their origins, like the snakes of Mercury's caduceus. Adam saw the world and understood it through the prism of his personality; his personality was at the service of his objectifying reason and its constant updates. From the beginning of our conversation, it had been simultaneously in his interests to avoid a repetition of an error and to withhold information from me. When the two became incompatible, he became incapacitated and giggled like a child in church. Whatever we had chosen for him lay far upstream of the branching intricacy of his decision-making. In a different dispensation of character he might simply have fallen silent; in another, he might have been compelled to tell me everything. A case could be made for both.",1344,231,it took him more than a minute to get himself under control i drank the last of my tea and watched what i knew to be a complex process i understood that personality was not like a she will encasing and constraining his capacity for coherent thought that his deviousness if that was what motivated him did not live downstream of reason nor did mine his rational impulse to collaborate with me may have pulsed through his neural networks at half the speed of light but it would not have been suddenly barred at the logic gate of a freshly devised persona instead these two elements were entwined at their origins like the snakes of mercurys caduceus adam saw the world and understood it through the prism of his personality his personality was at the service of his objectifying reason and its constant updates from the beginning of our conversation it had been simultaneously in his interests to avoid a repetition of an error and to withhold information from me when the two became incompatible he became incapacitated and giggled like a child in church whatever we had chosen for him lay far upstream of the branching intricacy of his decisionmaking in a different dispensation of character he might simply have fallen silent in another he might have been compelled to tell me everything a case could be made for both,1.2720295375154314,-2.433196187019348,-3.969600021839142,,
231,"I now knew a little more than nothing, enough to worry about, not enough to follow up, even if I would had access to the closed sessions of the courts: Miranda as witness, victim or accused, sex with a young man, vodka, a courtroom, one October in Salisbury.",258,48,i now knew a little more than nothing enough to worry about not enough to follow up even if i would had access to the closed sessions of the courts miranda as witness victim or accused sex with a young man vodka a courtroom one october in salisbury,1.2457692195489218,-0.9983909726142883,-0.9989757537841797,,
232,"Adam had fallen silent. His expression, the special material of his face, indistinguishable from skin, relaxed into watchful neutrality. I could have gone upstairs and woken Miranda to confront her with the obvious questions and get everything clear between us. Or I could wait and reflect, holding back what I knew in order to grant myself the illusion of control. A case could be made for both.",396,67,adam had fallen silent his expression the special material of his face indistinguishable from skin relaxed into watchful neutrality i could have gone upstairs and woken miranda to confront her with the obvious questions and get everything clear between us or i could wait and reflect holding back what i knew in order to grant myself the illusion of control a case could be made for both,3.136254395091616,-0.9899165630340576,-2.986543357372284,,
233,"But I did not hesitate. I went into my bedroom, undressed, leaving my clothes in a heap on my desk, and lay down naked under the summer duvet. It was already light. I would have liked to be soothed and hear, above the dawn chorus, the sound of the milkman going from door to door, clinking his bottles on the steps. But the last of the electric-powered milk floats had vanished from our streets. A shame. Still, I was tired and suddenly comfortable. I here's a special sensuousness in an unshared bed, at least for a period, until sleeping alone begins to assume its own quiet sadness.",585,107,but i did not hesitate i went into my bedroom undressed leaving my clothes in a heap on my desk and lay down naked under the summer duvet it was already light i would have liked to be soothed and hear above the dawn chorus the sound of the milkman going from door to door clinking his bottles on the steps but the last of the electricpowered milk floats had vanished from our streets a shame still i was tired and suddenly comfortable i heres a special sensuousness in an unshared bed at least for a period until sleeping alone begins to assume its own quiet sadness,1.2804396918923573,-1.9588053226470947,1.9857447147369385,,
234,"n the waiting room of the local doctor's practice, a dozen junk-shop dining-room chairs were arranged round the walls of what had once been a Victorian front parlour. In the centre was a low plywood table with spindly metal legs and a few magazines, greasy to the touch. I had picked one up and immediately put it back. In one corner, some colourful broken toys, a headless giraffe, a car with a missing wheel, gnawed plastic bricks, kindly donated. There were no infants in our group of nine. I was keen to avoid the gaze of the others, their small talk or ailment-swapping. I kept my breathing shallow in case the air around me swarmed with pathogens. I did not belong here. I was not ill, my problem was not systemic but peripheral, a toenail. I was the youngest in the room, surely the fittest, a god among mortals, with an appointment not with the doctor but with the nurse. I remained beyond mortality's reach. Decay and death were for others. I expected my name to be called first. It turned out to be a long wait. I was second to last.",1043,192,n the waiting room of the local doctors practice a dozen junkshop diningroom chairs were arranged round the walls of what had once been a victorian front parlour in the centre was a low plywood table with spindly metal legs and a few magazines greasy to the touch i had picked one up and immediately put it back in one corner some colourful broken toys a headless giraffe a car with a missing wheel gnawed plastic bricks kindly donated there were no infants in our group of nine i was keen to avoid the gaze of the others their small talk or ailmentswapping i kept my breathing shallow in case the air around me swarmed with pathogens i did not belong here i was not ill my problem was not systemic but peripheral a toenail i was the youngest in the room surely the fittest a god among mortals with an appointment not with the doctor but with the nurse i remained beyond mortalitys reach decay and death were for others i expected my name to be called first it turned out to be a long wait i was second to last,0.28622992832849575,-8.955379843711853,-5.078766822814941,,
235,"On the wall opposite me was a cork noticeboard with flyers promoting early detection of this or that, healthy living, dire warnings. I had time to read them all. A photograph showed an elderly man in cardigan and slippers standing by a window. Without raising a hand to his mouth, he was lustily sneezing in the direction of a laughing little girl. Backlighting illuminated tens of thousands of particles flying towards her--minute droplets of fluid teeming with germs shared by an old fool.",491,83,on the wall opposite me was a cork noticeboard with flyers promoting early detection of this or that healthy living dire warnings i had time to read them all a photograph showed an elderly man in cardigan and slippers standing by a window without raising a hand to his mouth he was lustily sneezing in the direction of a laughing little girl backlighting illuminated tens of thousands of particles flying towards herminute droplets of fluid teeming with germs shared by an old fool,0.2320632639998036,-0.9938941597938538,-1.0022913813591003,,
236,"I reflected on the long strange history that lay behind this tableau. The idea that germs were responsible for the spread of disease did not gain general acceptance until the 1880s and the work of Louis Pasteur and others, only a hundred years before this poster was devised. Until then, against a few dissenters, the miasma theory prevailed--disease originated in bad air, bad smells, decomposition, or even in night air, against which windows were properly closed. But the device that could have spoken truth to medicine was available 200 years before Pasteur. The amateur scientist of the seventeenth century who knew best how to make and use the device was known to the scientific elite of London.",701,117,i reflected on the long strange history that lay behind this tableau the idea that germs were responsible for the spread of disease did not gain general acceptance until the  and the work of louis pasteur and others only a hundred years before this poster was devised until then against a few dissenters the miasma theory prevaileddisease originated in bad air bad smells decomposition or even in night air against which windows were properly closed but the device that could have spoken truth to medicine was available  years before pasteur the amateur scientist of the seventeenth century who knew best how to make and use the device was known to the scientific elite of london,1.3652706271768107,2.964381456375122,0.9139485359191895,,
237,"When Antonie van Leeuwenhoek, solid citizen of Delft, a draper and a friend of Vermeer, began sending his observations of microscopic life to the Royal Society in 1673, he revealed a new world and initiated a biological revolution. He meticulously described plant cells and muscle fibre, single-cell organisms, his own spermatozoa, and bacteria from his own mouth. His microscopes needed sunlight and had only a single lens, but no one could grind them the way he could. He was working with magnification powers of 275 and above. By the end of his life, Philosophical Transactions of the Royal Society had published 190 of his accounts.",636,105,when antonie van leeuwenhoek solid citizen of delft a draper and a friend of vermeer began sending his observations of microscopic life to the royal society in  he revealed a new world and initiated a biological revolution he meticulously described plant cells and muscle fibre singlecell organisms his own spermatozoa and bacteria from his own mouth his microscopes needed sunlight and had only a single lens but no one could grind them the way he could he was working with magnification powers of  and above by the end of his life philosophical transactions of the royal society had published  of his accounts,4.360643275926235,4.978699147701263,-2.973570168018341,,
238,"Suppose there had been a young spark at the Royal Society lolling in the library after a good lunch, a copy of the Transactions on his lap, who began to speculate that some of these tiny organisms might because meat to putrefy, or could multiply in the bloodstream and because disease. There had been such sparks at the Society before and there were many to come. But this one would have needed an interest in medicine as well as scientific curiosity. Medicine and science would not become full partners until well into the twentieth century. Even in the fifties, tonsils were regularly sliced from the throats of healthy children on the basis of standard practice rather than good evidence. A doctor in Leeuwenhoek's time could easily believe that everything to be known in his field was already well understood. The authority of Galen, active in the second century, was near total. It would be a long time before medical men, in general a grand lot, peered humbly down a microscope in order to learn the basics of organic life.",1029,179,suppose there had been a young spark at the royal society lolling in the library after a good lunch a copy of the transactions on his lap who began to speculate that some of these tiny organisms might because meat to putrefy or could multiply in the bloodstream and because disease there had been such sparks at the society before and there were many to come but this one would have needed an interest in medicine as well as scientific curiosity medicine and science would not become full partners until well into the twentieth century even in the fifties tonsils were regularly sliced from the throats of healthy children on the basis of standard practice rather than good evidence a doctor in leeuwenhoeks time could easily believe that everything to be known in his field was already well understood the authority of galen active in the second century was near total it would be a long time before medical men in general a grand lot peered humbly down a microscope in order to learn the basics of organic life,1.3211000999344524,1.9725998044013977,-3.9963234066963196,,
239,"But our man, whose name will become a household word, is different. His hypotheses will be possible to test. He borrows a microscope--Robert Hooke, honoured fellow of the Society, will surely lend him one--and sets to. A germ theory of disease begins to form. Others join in the research. Perhaps within twenty years surgeons are washing their hands between patients. The reputations of forgotten doctors like Hugh of Lucca and Girolamo Fracastoro are restored. By the mid-eighteenth century, childbirth is safer; certain men and women of genius are born who otherwise would have died in infancy. They might change the course of politics, the arts, the sciences. Loathsome figures who could do great harm also spring up. In minor and possibly major ways, history follows a different course long after our brilliant young member of the Royal Society has grown old and died.",872,143,but our man whose name will become a household word is different his hypotheses will be possible to test he borrows a microscoperobert hooke honoured fellow of the society will surely lend him oneand sets to a germ theory of disease begins to form others join in the research perhaps within twenty years surgeons are washing their hands between patients the reputations of forgotten doctors like hugh of lucca and girolamo fracastoro are restored by the mideighteenth century childbirth is safer certain men and women of genius are born who otherwise would have died in infancy they might change the course of politics the arts the sciences loathsome figures who could do great harm also spring up in minor and possibly major ways history follows a different course long after our brilliant young member of the royal society has grown old and died,2.223756610013717,8.798802673816681,-5.001585841178894,,
240,"The present is the frailest of improbable constructs. It could have been different. Any part of it, or all of it, could be otherwise. True of the smallest and largest concerns. How easy to conjure worlds in which my toenail had not turned against me; in which I was rich, living north of the Thames after one of my schemes had succeeded; in which Shakespeare had died in childhood and no one missed him, and the United States had taken the decision to drop on a Japanese city the atomic bomb they had tested to perfection; or in which the Falklands Task Force had not set off, or had returned victorious and the country was not in mourning; in which Adam was an assemblage far off in the future; or in which 66 million years ago the earth had turned for another few minutes before the meteor struck, so missing the sun-blotting, fine-grained gypsum sand of the Yucatan, allowing the dinosaurs to live on and deny future space to the mammals, clever apes included. My treatment, when it came at last, began pleasantly with my naked foot soaking in a bowl of hot, soapy water. Meanwhile, the nurse, a large, friendly woman from Ghana, arranged her steel instruments on a tray with her back to me. Her expertise was as complete as her self-confidence. There was no mention of anaesthesia and I was too proud to ask, but when she took my foot onto her aproned lap and set about her business with my ingrowing toenail, I was not too proud to squeak at the crucial moment. Relief was immediate. I made my way along the street, as though on rubber wheels, to my home, the centre of my preoccupations, which had lately shifted from Miranda back to Adam.",1645,299,the present is the frailest of improbable constructs it could have been different any part of it or all of it could be otherwise true of the smallest and largest concerns how easy to conjure worlds in which my toenail had not turned against me in which i was rich living north of the thames after one of my schemes had succeeded in which shakespeare had died in childhood and no one missed him and the united states had taken the decision to drop on a japanese city the atomic bomb they had tested to perfection or in which the falklands task force had not set off or had returned victorious and the country was not in mourning in which adam was an assemblage far off in the future or in which  million years ago the earth had turned for another few minutes before the meteor struck so missing the sunblotting finegrained gypsum sand of the yucatan allowing the dinosaurs to live on and deny future space to the mammals clever apes included my treatment when it came at last began pleasantly with my naked foot soaking in a bowl of hot soapy water meanwhile the nurse a large friendly woman from ghana arranged her steel instruments on a tray with her back to me her expertise was as complete as her selfconfidence there was no mention of anaesthesia and i was too proud to ask but when she took my foot onto her aproned lap and set about her business with my ingrowing toenail i was not too proud to squeak at the crucial moment relief was immediate i made my way along the street as though on rubber wheels to my home the centre of my preoccupations which had lately shifted from miranda back to adam,1.2766651263126108,3.0077388286590576,-8.971303761005402,,
241,"His character was in, done, from two sources irreversibly merged. A curious parent of a growing child might wonder which characteristics belonged to the father, which to the mother. I was observing Adam closely. I knew which questions Miranda had answered but I did not know what she had decided. I noted that a certain blankness had gone from his face, that he seemed more intact, smoother in his interactions with us and certainly more expressive. But I struggled to understand what it told me about Miranda or, for that matter, about myself. In humans, recombination is infinitely subtle and then crudely but disarmingly lopsided. The parents merge, like fluids stirred together, but the mother's face might be faithfully replicated in her child just as the father fails to pass on his gift for comedy. I remembered little Mark's touching version of his father's features. But in Adam's personality, Miranda and I were well shuffled, and as in humans, his inheritance was thickly overlaid by his capacity to learn. Perhaps he had my tendency to pointless theorising. Perhaps he had something of Miranda's secretive nature and her self-possession, her taste for solitude. Frequently he withdrew into himself, humming or murmuring ""Ah!"" Then he would pronounce what he took to be an important truth. His interrupted remark about the afterlife was the earliest example.",1369,223,his character was in done from two sources irreversibly merged a curious parent of a growing child might wonder which characteristics belonged to the father which to the mother i was observing adam closely i knew which questions miranda had answered but i did not know what she had decided i noted that a certain blankness had gone from his face that he seemed more intact smoother in his interactions with us and certainly more expressive but i struggled to understand what it told me about miranda or for that matter about myself in humans recombination is infinitely subtle and then crudely but disarmingly lopsided the parents merge like fluids stirred together but the mothers face might be faithfully replicated in her child just as the father fails to pass on his gift for comedy i remembered little marks touching version of his fathers features but in adams personality miranda and i were well shuffled and as in humans his inheritance was thickly overlaid by his capacity to learn perhaps he had my tendency to pointless theorising perhaps he had something of mirandas secretive nature and her selfpossession her taste for solitude frequently he withdrew into himself humming or murmuring ah then he would pronounce what he took to be an important truth his interrupted remark about the afterlife was the earliest example,1.295884494785842,0.9893414378166199,3.0189497470855713,,
242,"Another was when we were outside, in my tiny fraction of a back garden, marked off by a broken picket fence. He was helping to pull up weeds. It was just before sunset, the air was still and warm, suffused by an unreal amber light. A week had passed since our late-night exchange. I had brought him outside because his dexterity was still a matter of interest to me. I wanted to watch him handle a hoe and a rake. More generally, my plan was to introduce him to the world beyond the kitchen table. We had friendly neighbours on both sides and there was a chance that he could test his small-talk skills. If we were to travel together to Salisbury to meet Maxfield Blacke, I wanted to prepare Adam by taking him to some shops, and perhaps a pub. I was sure he could pass off as a person, but he needed to be more at ease, his machine-learning capacities needed stretching.",871,164,another was when we were outside in my tiny fraction of a back garden marked off by a broken picket fence he was helping to pull up weeds it was just before sunset the air was still and warm suffused by an unreal amber light a week had passed since our latenight exchange i had brought him outside because his dexterity was still a matter of interest to me i wanted to watch him handle a hoe and a rake more generally my plan was to introduce him to the world beyond the kitchen table we had friendly neighbours on both sides and there was a chance that he could test his smalltalk skills if we were to travel together to salisbury to meet maxfield blacke i wanted to prepare adam by taking him to some shops and perhaps a pub i was sure he could pass off as a person but he needed to be more at ease his machinelearning capacities needed stretching,3.2520976598751687,5.987357139587402,-1.9980131387710571,,
243,"I was keen to see how good he was at identifying plants. Of course he knew everything. Feverfew, wild carrot, camomile. As he worked, he muttered the names, for his own rather than my benefit. I saw him put on gardening gloves to pull up nettles. Mere mimicry. Later he straightened and looked with apparent interest towards a spectacular western sky intersected by power and telephone lines and a receding jumble of Victorian roofs. His hands were on his hips and he leaned back, as though his lower back was giving him trouble. He took a deep breath to indicate his appreciation of the evening air. Then, out of nowhere, he said, ""From a certain point of view, the only solution to suffering would be the complete extinction of humankind.""",741,130,i was keen to see how good he was at identifying plants of course he knew everything feverfew wild carrot camomile as he worked he muttered the names for his own rather than my benefit i saw him put on gardening gloves to pull up nettles mere mimicry later he straightened and looked with apparent interest towards a spectacular western sky intersected by power and telephone lines and a receding jumble of victorian roofs his hands were on his hips and he leaned back as though his lower back was giving him trouble he took a deep breath to indicate his appreciation of the evening air then out of nowhere he said from a certain point of view the only solution to suffering would be the complete extinction of humankind,1.3603452403806964,-2.0013397336006165,-3.917919635772705,,
244,"Yes, this was why he needed to be out and about. Buried within his circuitry there was probably a set of sub-routines: sociability/conversation/interesting openers.",164,24,yes this was why he needed to be out and about buried within his circuitry there was probably a set of subroutines sociabilityconversationinteresting openers,2.2561995529923258,0.004864931106567383,0.0014494657516479492,,
245,"But I decided to join in. ""it is been said that killing everyone would be a cure for cancer. Utilitarianism can be logically absurd.""",133,24,but i decided to join in it is been said that killing everyone would be a cure for cancer utilitarianism can be logically absurd,1.2127071918327448,-0.9828312397003174,-2.9901057481765747,,
246,"He replied, ""Obviously!"" in an abrupt manner. I looked at him, surprised, and he turned away from me and bent again to his work.",128,24,he replied obviously in an abrupt manner i looked at him surprised and he turned away from me and bent again to his work,0.2616654452118277,-0.9962871074676514,0.9847590327262878,,
247,"Adam's insights, even when valid, were socially inept. On our first expedition away from home, we walked the 200 yards to our local newsagent, Mr. Syed. We passed a few people in the street and no one gave Adam a second glance. That was satisfying. Over bare skin he was wearing a tight yellow jumper, knitted by my mother in her last year. He had white jeans and canvas loafers, bought for him by Miranda. She had promised to buy him a complete outfit of his own. With his neat muscular bulge of chest and arms, he could have passed for a personal trainer from the local gym.",576,108,adams insights even when valid were socially inept on our first expedition away from home we walked the  yards to our local newsagent mr syed we passed a few people in the street and no one gave adam a second glance that was satisfying over bare skin he was wearing a tight yellow jumper knitted by my mother in her last year he had white jeans and canvas loafers bought for him by miranda she had promised to buy him a complete outfit of his own with his neat muscular bulge of chest and arms he could have passed for a personal trainer from the local gym,1.3243037448771409,1.9933172464370728,0.05128824710845947,,
248,"Where the pavement narrowed between a tree and a garden wall, I saw how he stood aside to let a woman with a pushchair through.",127,25,where the pavement narrowed between a tree and a garden wall i saw how he stood aside to let a woman with a pushchair through,1.2281400447877842,-0.996100664138794,-0.998826265335083,,
249,"As we neared the shop he said, somewhat absurdly, ""it is good to get out.""",74,15,as we neared the shop he said somewhat absurdly it is good to get out,2.2843363344138634,-0.9981681704521179,0.9939244389533997,,
250,"Simon Syed had grown up in a large village thirty miles north of Calcutta. His English teacher at his school had been an Anglophile, a martinet who had beaten into his pupils a courteous and precise English. I had never asked Simon how or why he had taken on a Christian forename. Perhaps a desire to integrate, or the parting insistence of his formidable teacher. He had arrived in north Clapham from Calcutta in his late teens and immediately went to work in his uncle's shop. Thirty years later, the uncle had died and the shop passed to the nephew, who still supported his aunt from the proceeds. He also supported a wife and three grown-up children, but he did not like to talk about them. He was a Muslim, by culture rather than practice. If there was sadness in his life, it was well concealed behind a dignified manner. Now in his mid-sixties, he was sleek, bald, very correct, with a small moustache that taWhispered to sharp points. There was an anthropology journal, not available on the Internet, that he kept for me. He did not mind when I came in to scan the world's front pages during the Task Force days. He was amused by my taste for low-grade chocolate--those global brands invented between two world wars. In the mid-afternoons, after hours at my screen, I craved sugar.",1289,230,simon syed had grown up in a large village thirty miles north of calcutta his english teacher at his school had been an anglophile a martinet who had beaten into his pupils a courteous and precise english i had never asked simon how or why he had taken on a christian forename perhaps a desire to integrate or the parting insistence of his formidable teacher he had arrived in north clapham from calcutta in his late teens and immediately went to work in his uncles shop thirty years later the uncle had died and the shop passed to the nephew who still supported his aunt from the proceeds he also supported a wife and three grownup children but he did not like to talk about them he was a muslim by culture rather than practice if there was sadness in his life it was well concealed behind a dignified manner now in his midsixties he was sleek bald very correct with a small moustache that tawhispered to sharp points there was an anthropology journal not available on the internet that he kept for me he did not mind when i came in to scan the worlds front pages during the task force days he was amused by my taste for lowgrade chocolatethose global brands invented between two world wars in the midafternoons after hours at my screen i craved sugar,3.1960398088952005,7.922514319419861,-0.00930488109588623,,
251,"In that strange way by which one reserves intimacies for a mere acquaintance, I had told Simon about my new girlfriend. When she and I had been in the shop together, he had seen for himself.",190,36,in that strange way by which one reserves intimacies for a mere acquaintance i had told simon about my new girlfriend when she and i had been in the shop together he had seen for himself,3.246237975742113,0.39903557300567627,-1.9971889853477478,,
252,"Now, whenever I came by, his first question was always, ""How are matters proceeding?"" He liked to tell me, on the basis of nothing but kindness, ""it is clear. Her fate is you. No dodging it! Eternal happiness for you both."" I sensed that many disappointments were heaped behind him. He was old enough to be my father and wanted for me what had eluded him. There were no other customers when Adam and I entered the cramped shop with its compound scent of newsprint, peanut dust and cheap toiletries. Simon rose from the wooden chair he sat on behind the till. Because I was not alone, he would not be asking the usual question.",626,115,now whenever i came by his first question was always how are matters proceeding he liked to tell me on the basis of nothing but kindness it is clear her fate is you no dodging it eternal happiness for you both i sensed that many disappointments were heaped behind him he was old enough to be my father and wanted for me what had eluded him there were no other customers when adam and i entered the cramped shop with its compound scent of newsprint peanut dust and cheap toiletries simon rose from the wooden chair he sat on behind the till because i was not alone he would not be asking the usual question,4.352164312569654,0.035232484340667725,-2.0052976608276367,,
253,"I made the introduction. ""Simon. My friend Adam.""",49,8,i made the introduction simon my friend adam,3.2264032419224224,2.9607893228530884,1.0478063821792603,,
254,"Simon nodded. Adam said, ""Hello,"" and smiled.",45,7,simon nodded adam said hello and smiled,0.36142503499553064,1.9938371181488037,8.45193862915039e-05,,
255,"I was reassured. A good start. If Simon had noticed the strange appearance of Adam's eyes, he did not show it. It was a common reaction, I would soon discover. People assumed a congenital deformity and politely looked away. Simon and I discussed the cricket--three consecutive sixes and a pitch invasion at the India--England T20--while Adam stood apart before an array of canned goods on a shelf. They would be instantly familiar to him, their commercial histories, market share, nutritional value. But as we chatted, it was obvious he was not looking at tins of peas, or anything at all. His face was frozen. He had not moved in two minutes. I worried that something unusual or unpleasant was about to happen. Simon politely pretended he had not noticed. It was possible that Adam had put himself in rest mode. I made a mental note: he was in need of an appearance of plausibility whenever doing nothing. His eyes were open, but he failed to blink. Perhaps I had brought him out into the world too soon. Simon would be offended that I had tried to pass off Adam as a person, a friend. It could look like mockery, a tasteless joke. I would have betrayed a pleasant acquaintance.",1179,209,i was reassured a good start if simon had noticed the strange appearance of adams eyes he did not show it it was a common reaction i would soon discover people assumed a congenital deformity and politely looked away simon and i discussed the cricketthree consecutive sixes and a pitch invasion at the indiaengland  adam stood apart before an array of canned goods on a shelf they would be instantly familiar to him their commercial histories market share nutritional value but as we chatted it was obvious he was not looking at tins of peas or anything at all his face was frozen he had not moved in two minutes i worried that something unusual or unpleasant was about to happen simon politely pretended he had not noticed it was possible that adam had put himself in rest mode i made a mental note he was in need of an appearance of plausibility whenever doing nothing his eyes were open but he failed to blink perhaps i had brought him out into the world too soon simon would be offended that i had tried to pass off adam as a person a friend it could look like mockery a tasteless joke i would have betrayed a pleasant acquaintance,1.2342396971060752,-10.943242192268372,-2.9852715730667114,,
256,"The cricket banter began to falter. Simon's gaze settled on Adam, then returned to me. He said tactfully, ""Your Anthropos is in.""",129,22,the cricket banter began to falter simons gaze settled on adam then returned to me he said tactfully your anthropos is in,1.2382511560639733,0.9933594465255737,0.9917856454849243,,
