sent_no,parag_no,sent_raw,char_len,token_len,sent_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob,bertsst
1217,177,There may have been other afflictions too humiliating to recount.,65,10,there may have been other afflictions too humiliating to recount,1.2441229467697696,-0.9985560178756714,-0.9959116578102112,Negative,0.98,-0.98
1218,177,The woman he should have asked long ago to be his fourth wife had walked out two years ago.,91,19,the woman he should have asked long ago to be his fourth wife had walked out two years ago,3.216729371103503,-0.9994399547576904,0.9974504709243774,Negative,0.97,-0.97
1219,177,"Maxfield was alone, dependent on health visitors, strangers, and on his daughter, ninety miles distant.",103,15,maxfield was alone dependent on health visitors strangers and on his daughter ninety miles distant,3.2081356003531845,-0.9938211441040039,-0.9979807138442993,Negative,0.79,-0.79
1220,177,"His two sons by another marriage sometimes travelled from London, bringing presents of wine, cheese, biographies, the latest wristwatch computer.",145,20,his two sons by another marriage sometimes travelled from london bringing presents of wine cheese biographies the latest wristwatch computer,3.2357274562736604,0.9984212517738342,-0.9990447759628296,Positive,0.82,0.82
1221,177,But they were squeamish about their father's intimate care.,59,9,but they were squeamish about their fathers intimate care,2.2975943412597264,-0.98667973279953,0.9871469140052795,Negative,0.9,-0.9
1222,178,"We were not old enough, Miranda and I, to understand fully that a man in his late fifties was still too young to expect or deserve such multiple insults.",153,29,we were not old enough miranda and i to understand fully that a man in his late fifties was still too young to expect or deserve such multiple insults,1.3748306760994717,-0.9993916153907776,0.9906410574913025,Negative,0.97,-0.97
1223,178,But his resemblance to Job tortured by his pitiless God made it seem blasphemous to do anything but listen to Miranda.,118,21,but his resemblance to job tortured by his pitiless god made it seem blasphemous to do anything but listen to miranda,0.1943482406473265,0.9954184889793396,0.998548686504364,Negative,0.96,-0.96
1224,178,The night after my encounter in the playground stood out.,57,10,the night after my encounter in the playground stood out,0.2743627407616821,0.9986202716827393,-0.9971099495887756,Positive,0.95,0.95
1225,178,"Hard to believe of a man in love, but my mind wandered as she talked about him.",79,17,hard to believe of a man in love but my mind wandered as she talked about him,2.3036576893176206,-0.9615837335586548,0.9816263318061829,Positive,0.86,0.86
1226,178,"She was just back from Salisbury, describing a fresh torment as we lay in bed.",78,15,she was just back from salisbury describing a fresh torment as we lay in bed,4.249966960344491,0.9804385304450989,0.9966840147972107,Positive,0.62,0.62
1227,178,"Sympathetically, I took her hand as she talked.",47,8,sympathetically i took her hand as she talked,3.2321466317015393,0.998695969581604,-0.9990237951278687,Positive,0.98,0.98
1228,178,The constant sufferings of a man I had never met could only hold me so long.,76,16,the constant sufferings of a man i had never met could only hold me so long,4.291462589897432,-0.9955080151557922,0.9964759349822998,Negative,0.53,-0.53
1229,178,"Half listening, I was free to contemplate my life's strange new turns.",70,12,half listening i was free to contemplate my lifes strange new turns,3.1619732902970608,0.9976768493652344,0.9669468402862549,Positive,0.8,0.8
1230,179,"Downstairs, still on the same hard wooden chair, my interesting toy waited under its blanket, its merged personality installed that afternoon while it slept.",157,24,downstairs still on the same hard wooden chair my interesting toy waited under its blanket its merged personality installed that afternoon while it slept,1.1490533939653171,0.9944222569465637,-0.9989995956420898,Positive,0.71,0.71
1231,179,The adventure was about to begin.,33,6,the adventure was about to begin,2.293036164732043,0.9984755516052246,-0.9943295121192932,Positive,0.98,0.98
1232,179,"At my side was my future, I was sure of it.",43,11,at my side was my future i was sure of it,3.2080237298011003,0.9974858164787292,-0.9960963129997253,Positive,0.98,0.98
1233,179,The imbalance in our feelings for each other would be righted.,62,11,the imbalance in our feelings for each other would be righted,3.2317383965259987,0.9979866147041321,-0.9991605877876282,Positive,0.52,0.52
1234,179,"We were simply the embodiment of a pattern in modern manners: acquaintance, followed by sex, then friendship, finally love.",123,19,we were simply the embodiment of a pattern in modern manners acquaintance followed by sex then friendship finally love,4.2849719020240205,-0.985945999622345,-0.999309241771698,Positive,0.93,0.93
1235,179,There was no good reason we should travel this conventional course at the same speed.,85,15,there was no good reason we should travel this conventional course at the same speed,1.2189027646402657,-0.9994215965270996,-0.9982030987739563,Negative,0.98,-0.98
1236,179,Patience was all.,17,3,patience was all,4.323068688978568,0.9916203022003174,-0.9967777132987976,Negative,0.78,-0.78
1237,180,"Meanwhile, surrounding my islet of hopes was an ocean of national sorrow.",73,12,meanwhile surrounding my islet of hopes was an ocean of national sorrow,1.3270923810605082,-0.9894499182701111,0.9985921382904053,Positive,0.96,0.96
1238,180,"With ghastly timing, the junta had raised that day 406 Argentine flags in Port Stanley, one for each of their dead, and staged a military parade along the deserted, sodden main street, while in London, in St. Paul's, a commemoration service was held for our 5,000.",264,46,with ghastly timing the junta had raised that day  argentine flags in port stanley one for each of their dead and staged a military parade along the deserted sodden main street while in london in st pauls a commemoration service was held for our ,0.4417007528541948,-0.9977915287017822,-0.9993364214897156,Negative,0.79,-0.79
1239,180,I watched it on television after I returned from the Common.,60,11,i watched it on television after i returned from the common,0.24774456430143518,0.9981793761253357,0.7865679860115051,Positive,0.62,0.62
1240,180,"There could hardly have been two dozen in that vast congregation of the ruling elite who thought that a God who preferred fascism to the Union Jack was worth the candle, or that the departed reposed in eternal bliss.",216,39,there could hardly have been two dozen in that vast congregation of the ruling elite who thought that a god who preferred fascism to the union jack was worth the candle or that the departed reposed in eternal bliss,4.290218656351181,-0.9981138706207275,0.996221661567688,Negative,0.71,-0.71
1241,180,But secular tradition could not provide such familiar verses polished to a gleam by the long-discarded sincerity of previous generations.,137,20,but secular tradition could not provide such familiar verses polished to a gleam by the longdiscarded sincerity of previous generations,1.2554849652223057,0.9963270425796509,-0.9975228309631348,Negative,0.84,-0.84
1242,180,Man that is born of woman hath but a short time to live.,56,13,man that is born of woman hath but a short time to live,2.194881046401516,-0.9845905303955078,-0.9983505606651306,Positive,0.5,0.5
1243,180,"So the hymns were sung, the impenetrable, echoing readings intoned, the responses returned in ragged unison, while the rest of us mourned at the altars of our TV sets.",167,29,so the hymns were sung the impenetrable echoing readings intoned the responses returned in ragged unison while the rest of us mourned at the altars of our tv sets,1.2688938336362234,-0.9972155094146729,-0.9973046183586121,Negative,0.9,-0.9
1244,180,"Unlike Miranda, I mourned too.",30,5,unlike miranda i mourned too,0.3245519286599238,-0.9969623684883118,-0.9945188164710999,Positive,0.71,0.71
1245,181,"With a million and a half others I had ""marched"" through central London to protest against the Task Force.",106,19,with a million and a half others i had marched through central london to protest against the task force,0.3210423026853254,-0.998227596282959,-0.987153172492981,Negative,0.76,-0.76
1246,181,"In fact we crept along, stopping to wait at many bottlenecks.",61,11,in fact we crept along stopping to wait at many bottlenecks,2.2595874887237297,-0.9981102347373962,-0.9982798099517822,Negative,0.85,-0.85
1247,181,"The usual paradox held: the matter was grave, the demonstration joyous.",71,11,the usual paradox held the matter was grave the demonstration joyous,3.254141629992575,0.9929102063179016,-0.9984115958213806,Positive,0.73,0.73
1248,181,"Rock bands, jazz bands, drums and trumpets, witty banners, wild costumes, circus skills, speeches, and above all the exhilaration of such numbers, taking hours to file past, so diverse, so clearly decent.",204,32,rock bands jazz bands drums and trumpets witty banners wild costumes circus skills speeches and above all the exhilaration of such numbers taking hours to file past so diverse so clearly decent,4.29801509119655,0.9988937377929688,-0.9988751411437988,Positive,0.99,0.99
1249,181,"So easy to believe that the whole nation had invaded London to make the obvious point that the coming war was unjust, inhumane, illogical, potentially catastrophic.",164,26,so easy to believe that the whole nation had invaded london to make the obvious point that the coming war was unjust inhumane illogical potentially catastrophic,4.257771235128942,-0.9863685965538025,-0.9988982081413269,Negative,0.98,-0.98
1250,181,We could not know just how right we Were.,41,9,we could not know just how right we were,2.2584068464490246,0.9917482137680054,0.9915500283241272,Negative,0.65,-0.65
1251,181,"Or how effectively Parliament, the tabloids, the military and two-thirds of the nation would dismiss us.",104,16,or how effectively parliament the tabloids the military and twothirds of the nation would dismiss us,0.32092968696258506,-0.9964496493339539,0.9883061051368713,Negative,0.95,-0.95
1252,181,"It was said we were unpatriotic, defending a fascist regime and opposing the rule of international law.",103,17,it was said we were unpatriotic defending a fascist regime and opposing the rule of international law,0.3029760590444493,-0.9987358450889587,-0.9985916018486023,Negative,0.94,-0.94
1253,182,Where was Miranda that day?,27,5,where was miranda that day,0.24095621611485238,-0.9929324984550476,-0.9994120001792908,Negative,0.86,-0.86
1254,182,We barely knew each other then.,31,6,we barely knew each other then,1.2579448898731154,-0.9991281032562256,-0.9939972758293152,Negative,0.89,-0.89
1255,182,"She was in the library, making the final changes to her half-wild-pigs paper.",77,13,she was in the library making the final changes to her halfwildpigs paper,3.311784643734659,-0.9922597408294678,-0.9913856983184814,Negative,0.82,-0.82
1256,182,"She had unusual ideas about the Task Force for someone in her twenties, and she distrusted the spirit of what she called a ""self-loving crowd,"" its easy like-mindedness, its stupid high spirits.",194,32,she had unusual ideas about the task force for someone in her twenties and she distrusted the spirit of what she called a selfloving crowd its easy likemindedness its stupid high spirits,1.296817085320905,-0.9972052574157715,-0.9969190955162048,Negative,0.93,-0.93
1257,182,She did not share my aptitude for protest or sentiment.,55,10,she did not share my aptitude for protest or sentiment,1.2315024049120566,-0.9994784593582153,0.9831147789955139,Negative,0.97,-0.97
1258,182,"She was not interested in watching the ships leave, or in what came to be known as The Sinking, or the inglorious return and still less the service in St. Paul's.",162,31,she was not interested in watching the ships leave or in what came to be known as the sinking or the inglorious return and still less the service in st pauls,1.230097403276483,-0.9994158148765564,-0.9991328120231628,Negative,0.99,-0.99
1259,182,"Where I had talked with friends about nothing else for months and read every opinion on the affair, Miranda stayed away.",120,21,where i had talked with friends about nothing else for months and read every opinion on the affair miranda stayed away,0.3086158846446041,-0.999416172504425,-0.9967875480651855,Negative,0.92,-0.92
1260,182,"When the ships sank, she was silent.",36,7,when the ships sank she was silent,0.23679265940167138,-0.9993360638618469,-0.9991385340690613,Negative,0.9,-0.9
1261,182,"When the black ribbons appeared, she wore one, but she would not be drawn.",74,14,when the black ribbons appeared she wore one but she would not be drawn,0.21347997558523193,-0.9960172176361084,-0.9993246793746948,Positive,0.72,0.72
1262,182,"As she put it, the whole episode ""stank.""",41,8,as she put it the whole episode stank,1.2493813695389602,-0.999500036239624,0.996313750743866,Negative,0.98,-0.98
1263,183,"Now, as I lay beside her with her hand in mine, the orange streetlights beyond the curtains gave her bedroom the appearance of a stage set.",139,26,now as i lay beside her with her hand in mine the orange streetlights beyond the curtains gave her bedroom the appearance of a stage set,4.21973894399875,-0.9919060468673706,0.9725090861320496,Positive,0.84,0.84
1264,183,She had taken the last train home and waited for a delayed lube to Clapham North.,81,16,she had taken the last train home and waited for a delayed lube to clapham north,1.2245413233064206,-0.9987839460372925,0.9987377524375916,Negative,0.86,-0.86
1265,183,It was almost three of the clock.,33,7,it was almost three of the clock,1.200010957850851,0.982885479927063,-0.9969948530197144,Negative,0.55,-0.55
1266,183,She was describing how Maxfield had told her ruefully that the gout in his thumbs was a blessing.,97,18,she was describing how maxfield had told her ruefully that the gout in his thumbs was a blessing,2.315194053985214,-0.991351842880249,0.9830163717269897,Positive,0.87,0.87
1267,183,The pain was so ferocious and localised that his other complaints had faded.,76,13,the pain was so ferocious and localised that his other complaints had faded,1.3227676874044985,0.9976553916931152,0.9861507415771484,Negative,0.92,-0.92
1268,184,I was still holding her hand.,29,6,i was still holding her hand,2.278630617210679,0.9979087710380554,0.9915103316307068,Positive,0.92,0.92
1269,184,"I said, ""You know how much I want to meet him.",46,11,i said you know how much i want to meet him,2.3001369372121117,0.9982883930206299,0.9953529238700867,Positive,0.98,0.98
1270,184,Let me come with you next time.'',33,7,let me come with you next time,4.3109692552338155,-0.9921329021453857,-0.998903214931488,Positive,0.95,0.95
1271,184,"Several seconds passed before she drowsily replied, ""I would like to go very soon.""",83,14,several seconds passed before she drowsily replied i would like to go very soon,1.2490197249085169,-0.9981927871704102,0.9812940359115601,Positive,0.67,0.67
1272,185,"""Good.""",7,1,good,3.244148155352464,0.9974974393844604,0.9874099493026733,Positive,0.98,0.98
1273,186,"Then, after another pause, ""Adam must come too.""",48,8,then after another pause adam must come too,4.258027637940714,-0.9819069504737854,-0.9991458058357239,Positive,0.75,0.75
1274,187,"She stroked my forearm in a gesture of farewell as she turned on her side, away from me.",88,18,she stroked my forearm in a gesture of farewell as she turned on her side away from me,0.34717966238045095,-0.9955606460571289,-0.9981934428215027,Positive,0.72,0.72
1275,187,"Soon her breathing was regular and deep, and I was left pondering in the monochrome sodium dusk.",96,17,soon her breathing was regular and deep and i was left pondering in the monochrome sodium dusk,2.2256120921880345,-0.6050778031349182,0.9881177544593811,Negative,0.63,-0.63
1276,187,he is coming too.,17,4,he is coming too,4.290313366365257,0.9983301758766174,-0.9687763452529907,Positive,0.98,0.98
1277,187,"She had assumed joint ownership, just as I would hoped.",55,10,she had assumed joint ownership just as i would hoped,2.289028467079955,0.9970773458480835,-0.9985235333442688,Positive,0.82,0.82
1278,187,But an encounter between Adam and an old-style literary curmudgeon like Maxfield Blacke was hard to envisage.,109,17,but an encounter between adam and an oldstyle literary curmudgeon like maxfield blacke was hard to envisage,2.301034714488139,-0.9933767318725586,0.9952982664108276,Negative,0.92,-0.92
1279,187,"I knew from the profile that he still worked in longhand, detested computers, mobile phones, the Internet and all the rest.",123,21,i knew from the profile that he still worked in longhand detested computers mobile phones the internet and all the rest,1.3115369822966636,-0.9990390539169312,-0.9986190795898438,Negative,0.95,-0.95
1280,187,"Apparently he did not, in that priggish cliche, ""suffer fools gladly.""",70,11,apparently he did not in that priggish cliche suffer fools gladly,0.30103839002512994,-0.9980255961418152,-0.9983569979667664,Negative,0.95,-0.95
1281,187,Or robots.,10,2,or robots,0.16789602308678603,-0.9931086301803589,0.9987427592277527,Negative,0.55,-0.55
1282,187,Adam had yet to be woken.,25,6,adam had yet to be woken,2.191010584494373,-0.9993265867233276,0.9852572083473206,Negative,0.89,-0.89
1283,187,"He had yet to leave the house, yet to test his luck as a plausible being capable of small talk.",95,20,he had yet to leave the house yet to test his luck as a plausible being capable of small talk,2.2688811271635254,-0.9980965852737427,-0.9955121278762817,Negative,0.82,-0.82
1284,187,I would already decided to keep him away from my circle of friends until he was a fully adept social creature.,110,21,i would already decided to keep him away from my circle of friends until he was a fully adept social creature,2.22653345985274,-0.9961681962013245,0.9916936755180359,Negative,0.66,-0.66
1285,187,Starting out with Maxfield could disable important sub-routines.,64,8,starting out with maxfield could disable important subroutines,2.280162672306713,-0.9985986948013306,-0.9961740374565125,Negative,0.97,-0.97
1286,187,Miranda might have been hoping to distract her father and energise his writing.,79,13,miranda might have been hoping to distract her father and energise his writing,2.3129030788809466,-0.9920557141304016,0.9885864853858948,Negative,0.95,-0.95
1287,187,"Or it was to do with me, somehow in my interests in ways I did not understand.",78,17,or it was to do with me somehow in my interests in ways i did not understand,2.2483854101805254,-0.9975919127464294,-0.9849639534950256,Negative,0.67,-0.67
1288,187,Or--I failed to resist this thought--against them?,50,7,ori failed to resist this thoughtagainst them,0.2262996303591064,-0.9910303354263306,0.9904292821884155,Negative,0.9,-0.9
1289,188,"That was a bad idea, of the kind that comes in the small hours.",63,14,that was a bad idea of the kind that comes in the small hours,1.230037099740829,-0.9993889927864075,0.9820493459701538,Negative,0.99,-0.99
1290,188,"Like all insomniac brooding, the essence was repetition.",56,8,like all insomniac brooding the essence was repetition,0.32600395022026607,-0.9994385242462158,-0.8423559665679932,Negative,0.85,-0.85
1291,188,Why should I meet her father in the presence of Adam?,53,11,why should i meet her father in the presence of adam,2.251263307010194,-0.9986233115196228,0.9965289235115051,Negative,0.83,-0.83
1292,188,"Of course, it was entirely in my power to insist on keeping him here.",69,14,of course it was entirely in my power to insist on keeping him here,1.2406870814225721,0.993213951587677,-0.9979459643363953,Positive,0.73,0.73
1293,188,But I would be denying the wishes of a woman whose father lay dying.,68,14,but i would be denying the wishes of a woman whose father lay dying,2.3058990142982787,-0.9968920350074768,-0.9916790723800659,Negative,0.94,-0.94
1294,188,Was he really dying?,20,4,was he really dying,0.27074852230625024,-0.9887608885765076,0.9982845783233643,Negative,0.97,-0.97
1295,188,Was it possible to get gout in your thumb?,42,9,was it possible to get gout in your thumb,1.2209983329560543,-0.9961334466934204,0.9903547763824463,Negative,0.98,-0.98
1296,188,Bilaterally?,12,1,bilaterally,1.1976832956138106,-0.9972428679466248,-0.9975335597991943,Positive,0.53,0.53
1297,188,Did I really know Miranda?,26,5,did i really know miranda,2.2027619745895577,-0.9902857542037964,-0.9993602633476257,Negative,0.73,-0.73
1298,188,"I lay on my side, seeking a cool corner of the pillow, then on my back with a view of a dappled ceiling that now seemed too close, and yellow rather than orange.",161,33,i lay on my side seeking a cool corner of the pillow then on my back with a view of a dappled ceiling that now seemed too close and yellow rather than orange,1.2613661607360354,0.9828657507896423,-0.998649001121521,Negative,0.89,-0.89
1299,188,"I asked myself the same questions, I rephrased them and asked them again.",73,13,i asked myself the same questions i rephrased them and asked them again,0.2997081538262037,-0.9992393851280212,-0.9949102997779846,Negative,0.95,-0.95
1300,188,"I knew what I was about to do, but I delayed, preferring to fret, denying the obvious for almost an hour.",105,21,i knew what i was about to do but i delayed preferring to fret denying the obvious for almost an hour,1.2504078300751877,-0.9985311031341553,-0.9903907179832458,Negative,0.95,-0.95
1301,188,"Then at last I got up, pulled on my jeans and t-shirt, let myself out and went barefoot down the communal stairs to my own flat.",128,26,then at last i got up pulled on my jeans and tshirt let myself out and went barefoot down the communal stairs to my own flat,0.24092833412984585,0.9094201922416687,-0.998826265335083,Negative,0.85,-0.85
1302,189,In the kitchen I did not even pause before pulling the blanket clear.,69,13,in the kitchen i did not even pause before pulling the blanket clear,3.1385193101849205,-0.9967087507247925,-0.9918897151947021,Negative,0.63,-0.63
1303,189,"Outwardly nothing had changed--eyes closed, that same bronze face, the nose with its hint of cruelty.",101,16,outwardly nothing had changedeyes closed that same bronze face the nose with its hint of cruelty,0.3401699042757936,-0.9983548521995544,0.9913561344146729,Negative,0.62,-0.62
1304,189,"I reached behind his head, found the spot and pressed.",54,10,i reached behind his head found the spot and pressed,0.2985906676814243,0.9907159805297852,-0.991754412651062,Positive,0.59,0.59
1305,189,While he was warming up I ate a bowl of cereal.,47,11,while he was warming up i ate a bowl of cereal,1.2444342898892071,0.9937946200370789,0.9912772178649902,Negative,0.62,-0.62
1306,190,"Just as I was finishing he said, ""Never be disappointed.""",57,10,just as i was finishing he said never be disappointed,4.259449346613397,0.9981130361557007,-0.9962829947471619,Positive,0.95,0.95
1307,190,"""What was that?""",16,3,what was that,0.3313878285777904,-0.9979730248451233,0.9985209107398987,Negative,0.75,-0.75
1308,191,"""I was saying that those who believe in the afterlife will never be disappointed.""",82,14,i was saying that those who believe in the afterlife will never be disappointed,4.234051043045664,0.9944149851799011,-0.9973089694976807,Positive,0.95,0.95
1309,192,"""You mean, if they are wrong they will never know about it.""",60,12,you mean if they are wrong they will never know about it,0.21834993331402905,-0.9983561635017395,-0.953095018863678,Negative,0.93,-0.93
1310,192,"""Yes.""",6,1,yes,2.243202520184883,0.9981822967529297,0.9875701665878296,Positive,0.93,0.93
1311,193,I looked at him closely.,24,5,i looked at him closely,3.2360537752608534,0.9968478679656982,0.9577399492263794,Positive,0.93,0.93
1312,193,Was he different now?,21,4,was he different now,1.2141384947184701,0.9760321378707886,0.9984934329986572,Negative,0.52,-0.52
1313,193,He had an expectant look.,25,5,he had an expectant look,2.2833501711114645,0.9941278696060181,-0.9915424585342407,Negative,0.69,-0.69
1314,193,"""Logical enough.",16,2,logical enough,2.304106728530017,0.9876668453216553,0.9896777868270874,Positive,0.9,0.9
1315,193,But Adam.,9,2,but adam,2.3487489572827083,0.9517607092857361,0.9988765120506287,Positive,0.85,0.85
1316,193,"I hope you do not think that is profound.""",42,9,i hope you do not think that is profound,2.277324281198835,-0.9974693655967712,-0.9926628470420837,Negative,0.89,-0.89
1317,194,He did not reply.,17,4,he did not reply,0.2919759465405579,-0.9994952082633972,0.9985610842704773,Negative,0.95,-0.95
1318,194,I took my empty bowl to the sink and made myself tea.,53,12,i took my empty bowl to the sink and made myself tea,0.3936586435982045,-0.9944119453430176,-0.9941083192825317,Negative,0.9,-0.9
1319,194,"I sat at the table, across from him, and after taking a couple of sips, I said, ""Why did you say that I should not trust Miranda?""",130,27,i sat at the table across from him and after taking a couple of sips i said why did you say that i should not trust miranda,1.2505834697305274,-0.997633159160614,-0.9989872574806213,Negative,0.9,-0.9
1320,195,"""Oh, that.",10,2,oh that,1.2111882646912164,-0.9960389733314514,-0.9967792630195618,Positive,0.87,0.87
1321,196,"""Come on.""",10,2,come on,4.243724217745681,0.9533474445343018,0.9869557619094849,Positive,0.82,0.82
1322,197,"""I spoke out of turn and I am truly sorry.""",43,10,i spoke out of turn and i am truly sorry,0.37771661346615704,-0.9970172047615051,0.9924226999282837,Negative,0.95,-0.95
1323,198,"""Answer the question.""",22,3,answer the question,4.233310915322222,0.9891528487205505,-0.997028112411499,Negative,0.57,-0.57
1324,199,His voice had changed.,22,4,his voice had changed,1.2367063791599344,-0.9982932806015015,0.9981144070625305,Positive,0.66,0.66
1325,199,"It was firmer, more expressive in its varied pitch.",51,9,it was firmer more expressive in its varied pitch,2.3101535423621904,0.998793363571167,0.7183957695960999,Positive,0.93,0.93
1326,199,But the attitude--I needed more time.,37,6,but the attitudei needed more time,2.3111854038371895,-0.99056077003479,-0.9993674159049988,Negative,0.94,-0.94
1327,199,"My immediate, unreliable impression was of an intact presence.",62,9,my immediate unreliable impression was of an intact presence,4.327000725042897,-0.9991229772567749,-0.9816133379936218,Positive,0.68,0.68
1328,199,"""I was thinking only of your best interests.""",45,8,i was thinking only of your best interests,1.250062895955943,0.9964472055435181,0.9967281222343445,Negative,0.64,-0.64
1329,200,"""You just said you were sorry.""",31,6,you just said you were sorry,0.3331083200046281,-0.9975301623344421,-0.9981923699378967,Negative,0.95,-0.95
1330,201,"""that is correct.""",18,3,that is correct,2.393448326787533,0.9946827292442322,-0.9968373775482178,Positive,0.91,0.91
1331,202,"""I need to hear why you said what you did.""",43,10,i need to hear why you said what you did,2.0864191328826696,-0.9994869232177734,-0.9982325434684753,Negative,0.67,-0.67
1332,203,"""there is a small but significant possibility that she might harm you.""",71,12,there is a small but significant possibility that she might harm you,2.247864651749397,-0.9964934587478638,0.9943121671676636,Negative,0.89,-0.89
1333,204,"I disguised my irritation and said, ""How significant?""",54,8,i disguised my irritation and said how significant,0.26959304085387065,-0.9917675256729126,0.9914174675941467,Negative,0.74,-0.74
1334,204,"""In the terms set by Thomas Bayes, the eighteenth-century clergyman, I would say one in five, assuming you accept my values for the priors.""",140,24,in the terms set by thomas bayes the eighteenthcentury clergyman i would say one in five assuming you accept my values for the priors,2.2586233052516262,-0.9983349442481995,-0.9989410638809204,Positive,0.61,0.61
1335,205,"My father, adept at the harmonic progressions of bebop, was a sincere technophobe.",82,13,my father adept at the harmonic progressions of bebop was a sincere technophobe,3.2405579540075236,0.9945444464683533,-0.9972816109657288,Positive,0.99,0.99
1336,205,He used to say that any faulty electrical device needed no more than a good thump.,82,16,he used to say that any faulty electrical device needed no more than a good thump,1.2120881431327808,-0.9937534928321838,-0.997499406337738,Negative,0.97,-0.97
1337,205,I drank my tea and considered.,30,6,i drank my tea and considered,1.238382163689845,0.9971653819084167,0.9950546622276306,Negative,0.51,-0.51
1338,205,"In the colossal array of tree-branching networks that governed Adam's decision-making, there would be a strong weighting in favour of reasonableness.",149,21,in the colossal array of treebranching networks that governed adams decisionmaking there would be a strong weighting in favour of reasonableness,3.2682690841625996,0.997422993183136,-0.9952369928359985,Positive,0.78,0.78
1339,206,"I said, ""I happen to know that the possibility is insignificant, close to zero.""",80,14,i said i happen to know that the possibility is insignificant close to zero,0.2689163599331112,-0.999303936958313,-0.9986656904220581,Negative,0.98,-0.98
1340,207,"""I see.",7,2,i see,4.274509412510047,0.986713171005249,-0.9686540961265564,Positive,0.96,0.96
1341,207,"I am so sorry.""",15,4,i am so sorry,0.3302139099202452,-0.9944440126419067,0.9974690079689026,Negative,0.78,-0.78
1342,208,"""We all make mistakes.""",23,4,we all make mistakes,0.4084791591729327,0.9756666421890259,0.9929662346839905,Negative,0.95,-0.95
1343,209,"""We certainly do.""",18,3,we certainly do,3.236425641505369,0.9980385303497314,-0.9986074566841125,Positive,0.99,0.99
1344,210,"""How many mistakes have you made in your life, Adam?""",53,10,how many mistakes have you made in your life adam,0.3762295103149345,-0.9969825744628906,-0.9987045526504517,Negative,0.94,-0.94
1345,211,"""Only this one.""",16,3,only this one,0.28597694199214696,0.9767028093338013,-0.992979884147644,Negative,0.52,-0.52
1346,212,"""Then it is important.""",23,4,then it is important,2.234437898161979,-0.9864680171012878,-0.9979270100593567,Positive,0.91,0.91
1347,213,"""Yes.""",6,1,yes,2.243202520184883,0.9981822967529297,0.9875701665878296,Positive,0.93,0.93
1348,214,"""And important not to repeat it.""",33,6,and important not to repeat it,0.25020372443606004,0.9742188453674316,-0.9593651294708252,Negative,0.72,-0.72
1349,215,"""Of course.""",12,2,of course,2.3496321944561886,0.9957386255264282,0.9851821660995483,Positive,0.9,0.9
1350,216,"""So we need to analyse how you came to make it, would not you say?""",67,15,so we need to analyse how you came to make it would not you say,2.297018734013187,-0.9925358295440674,0.9504383206367493,Negative,0.81,-0.81
1351,217,"""I agree.""",10,2,i agree,3.2270548297319235,0.9979155659675598,0.9985995292663574,Positive,0.96,0.96
1352,218,"""So, in this regrettable process what was your first move?""",59,10,so in this regrettable process what was your first move,0.24216186321531058,-0.999483585357666,-0.9984256625175476,Negative,0.91,-0.91
1353,218,"He spoke confidently now, seeming to take pleasure in describing his methods.",77,12,he spoke confidently now seeming to take pleasure in describing his methods,3.224020124749518,0.9987084865570068,0.9951276183128357,Positive,0.98,0.98
1354,218,"""I have privileged access to all court records, criminal as well as the Family Division, even when in camera.",109,19,i have privileged access to all court records criminal as well as the family division even when in camera,4.332385447024233,0.9970916509628296,-0.9991147518157959,Positive,0.95,0.95
1355,218,"Miranda's name was anonymised, but I matched the case against other circumstantial factors that are also not generally available.""",130,19,mirandas name was anonymised but i matched the case against other circumstantial factors that are also not generally available,2.279421561115658,0.9874380230903625,-0.993732213973999,Positive,0.62,0.62
1356,219,"""Clever.""",9,1,clever,2.2613159137091645,0.9979566931724548,-0.933626651763916,Positive,0.99,0.99
1357,220,"""Thank you.""",12,2,thank you,4.309806842165215,0.9987898468971252,-0.9949445128440857,Positive,0.98,0.98
1358,221,"""Tell me about the case.",24,5,tell me about the case,3.2754770453269737,0.9759263396263123,-0.9955692887306213,Positive,0.84,0.84
1359,221,"And the date and place.""",24,5,and the date and place,4.230853333103768,0.9929714798927307,-0.9596173167228699,Positive,0.85,0.85
1360,222,""" The young man, you see, knew very well that the first time he had intimate relations with her .",97,20, the young man you see knew very well that the first time he had intimate relations with her ,3.235680062028524,0.9965474605560303,-0.9970476627349854,Positive,0.84,0.84
1361,223,"He broke off and stared at me, bug-eyed in astonishment, as though he was taking in my presence for the first time.",115,22,he broke off and stared at me bugeyed in astonishment as though he was taking in my presence for the first time,0.2608775060563767,0.9962027072906494,-0.9986783862113953,Positive,0.54,0.54
1362,223,I guessed my short run of discovery was coming to a close.,58,12,i guessed my short run of discovery was coming to a close,2.2854458740489147,-0.9962697625160217,-0.9992270469665527,Negative,0.9,-0.9
1363,223,He appeared now to know about the value of reticence.,53,10,he appeared now to know about the value of reticence,3.2594732872241012,-0.9711922407150269,0.95876145362854,Positive,0.73,0.73
1364,224,"""Go on.""",8,2,go on,4.183812245214092,0.9964773058891296,0.9886006116867065,Positive,0.75,0.75
1365,225,"""Uh, she brought along a half-bottle of vodka.""",47,8,uh she brought along a halfbottle of vodka,0.26464523247431343,-0.9986574649810791,-0.9963129162788391,Negative,0.82,-0.82
1366,226,"""Give me a date and place and the man's name.",45,10,give me a date and place and the mans name,4.298606047670356,-0.8927486538887024,0.9986575245857239,Positive,0.51,0.51
