,sent_no,sent_raw,syuzhet,bing,afinn,nrc,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,syuzhet_roll100_stdscale,bing_roll100_stdscale,afinn_roll100_stdscale,nrc_roll100_stdscale
483,484,"I have already observed how I brought all my goods into this pale, and into the cave which I had made behind me.",0.0,-2,0,1,0.2735294117647061,0.14479638009049775,0.22624434389140272,0.47058823529411764,0.278789592760181,-0.12410288422289462,0.35231127921321737,-0.2915302455759244,-0.15230251374838685
484,485,"But I must observe, too, that at first this was a confused heap of goods, which, as they lay in no order, so they took up all my place; I had no room to turn myself: so I set myself to enlarge my cave, and work farther into the earth; for it was a loose sandy rock, which yielded easily to the labour I bestowed on it: and so when I found I was pretty safe as to beasts of prey, I worked sideways, to the right hand, into the rock; and then, turning to the right again, worked quite out, and made me a door to come out on the outside of my pale or fortification.",2.95,1,-4,4,0.28303167420814496,0.15384615384615385,0.2669683257918552,0.4751131221719457,0.29473981900452495,-0.08782746325637314,0.3818570978318558,-0.2172964359893801,-0.1389319336276691
485,486,"This gave me not only egress and regress, as it was a back way to my tent and to my storehouse, but gave me room to store my goods.",0.1,-1,0,1,0.2866515837104074,0.15384615384615385,0.27601809954751133,0.4841628959276018,0.3001696832579186,-0.07400825526912685,0.3818570978318558,-0.20080003385903686,-0.11219077338623346
486,487,"And now I began to apply myself to make such necessary things as I found I most wanted, particularly a chair and a table; for without these I was not able to enjoy the few comforts I had in the world; I could not write or eat, or do several things, with so much pleasure without a table: so I went to work.",3.7,3,7,3,0.26764705882352957,0.14027149321266968,0.22624434389140272,0.45701357466063347,0.27279411764705885,-0.14655909720217003,0.33753836990389813,-0.2915302455759244,-0.19241425411054022
487,488,"And here I must needs observe, that as reason is the substance and origin of the mathematics, so by stating and squaring everything by reason, and by making the most rational judgment of things, every man may be, in time, master of every mechanic art.",1.7,2,0,5,0.26719457013574677,0.14027149321266968,0.23076923076923078,0.45701357466063347,0.27381221719457016,-0.14828649820057582,0.33753836990389813,-0.2832820445107528,-0.19241425411054022
488,489,"I had never handled a tool in my life; and yet, in time, by labour, application, and contrivance, I found at last that I wanted nothing but I could have made it, especially if I had had tools.",0.6,0,0,1,0.2622171945701359,0.1493212669683258,0.22171945701357465,0.45701357466063347,0.27256787330316745,-0.16728790918303946,0.36708418852253655,-0.299778446641096,-0.19241425411054022
489,490,"However, I made abundance of things, even without tools; and some with no more tools than an adze and a hatchet, which perhaps were never made that way before, and that with infinite labour.",1.2,1,-1,1,0.26085972850678757,0.15384615384615385,0.23076923076923078,0.45248868778280543,0.2744909502262444,-0.17247011217825658,0.3818570978318558,-0.2832820445107528,-0.20578483423125798
490,491,"For example, if I wanted a board, I had no other way but to cut down a tree, set it on an edge before me, and hew it flat on either side with my axe, till I brought it to be thin as a plank, and then dub it smooth with my adze.",-0.05,1,-3,1,0.23959276018099568,0.12669683257918551,0.167420814479638,0.42081447963800905,0.23863122171945705,-0.2536579591033289,0.29321964197594047,-0.3987568594231551,-0.2993788950762825
491,492,"It is true, by this method I could make but one board out of a whole tree; but this I had no remedy for but patience, any more than I had for the prodigious deal of time and labour which it took me up to make a plank or board: but my time or labour was little worth, and so it was as well employed one way as another.",3.55,5,3,7,0.23144796380090515,0.11764705882352941,0.11764705882352941,0.4072398190045249,0.21849547511312223,-0.28475117707463327,0.26367382335730205,-0.4894870711400425,-0.3394906354384359
492,493,"However, I made me a table and a chair, as I observed above, in the first place; and this I did out of the short pieces of boards that I brought on my raft from the ship.",0.0,0,0,0,0.23099547511312235,0.11764705882352941,0.11312217194570136,0.4117647058823529,0.21838235294117653,-0.28647857807303906,0.26367382335730205,-0.49773527220521413,-0.32612005531771815
493,494,"But when I had wrought out some boards as above, I made large shelves, of the breadth of a foot and a half, one over another all along one side of my cave, to lay all my tools, nails and ironwork on; and, in a word, to separate everything at large into their places, that I might come easily at them.",-0.5,-2,0,0,0.23235294117647076,0.11312217194570136,0.09049773755656108,0.416289592760181,0.21306561085972855,-0.2812963750778217,0.24890091404798284,-0.538976277531072,-0.31274947519700025
494,495,"I knocked pieces into the wall of the rock to hang my guns and all things that would hang up; so that, had my cave been to be seen, it looked like a general magazine of all necessary things; and had everything so ready at my hand, that it was a great pleasure to me to see all my goods in such order, and especially to find my stock of all necessaries so great.",3.05,2,8,3,0.23461538461538478,0.11764705882352941,0.07239819004524888,0.4117647058823529,0.209106334841629,-0.2726593700857928,0.26367382335730205,-0.5719690817917584,-0.32612005531771815
495,496,"And now it was that I began to keep a journal of every dayâs employment; for, indeed, at first I was in too much hurry, and not only hurry as to labour, but in too much discomposure of mind; and my journal would have been full of many dull things; for example, I must have said thus: â30_th_.â""After I had got to shore, and escaped drowning, instead of being thankful to God for my deliverance, having first vomited, with the great quantity of salt water which had got into my stomach, and recovering myself a little, I ran about the shore wringing my hands and beating my head and face, exclaiming at my misery, and crying out, âI was undone, undone!â till, tired and faint, I was forced to lie down on the ground to repose, but durst not sleep for fear of being devoured.â  Some days after this, and after I had been on board the ship, and got all that I could out of her, yet I could not forbear getting up to the top of a little mountain and looking out to sea, in hopes of seeing a ship; then fancy at a vast distance I spied a sail, please myself with the hopes of it, and then after looking steadily, till I was almost blind, lose it quite, and sit down and weep like a child, and thus increase my misery by my folly.",-3.7,-7,-4,-2,0.24095022624434406,0.11312217194570136,0.08597285067873303,0.42081447963800905,0.2152149321266969,-0.24847575610811165,0.24890091404798284,-0.5472244785962436,-0.2993788950762825
496,497,"But having gotten over these things in some measure, and having settled my household staff and habitation, made me a table and a chair, and all as handsome about me as I could, I began to keep my journal; of which I shall here give you the copy (though in it will be told all these particulars over again) as long as it lasted; for having no more ink, I was forced to leave it off.",0.85,1,0,-2,0.23009049773755672,0.09502262443438914,0.06787330316742081,0.3891402714932127,0.19553167420814482,-0.2899333800698507,0.18980927681070597,-0.5802172828569301,-0.39297295592130704
497,498,CHAPTER V.,0.0,0,0,0,0.22601809954751145,0.09502262443438914,0.05429864253393665,0.3755656108597285,0.18772624434389143,-0.3054799890555029,0.18980927681070597,-0.6049618860524447,-0.4330846962834604
498,499,"BUILDS A HOUSEâ""THE JOURNAL   September 30, 1659.â""I, poor miserable Robinson Crusoe, being shipwrecked during a dreadful storm in the offing, came on shore on this dismal, unfortunate island, which I called âThe Island of Despairâ; all the rest of the shipâs company being drowned, and myself almost dead.",-6.55,-7,-18,-6,0.22941176470588248,0.09502262443438914,0.07239819004524888,0.3665158371040724,0.19083710407239823,-0.29252448156745947,0.18980927681070597,-0.5719690817917584,-0.45982585652489605
499,500,"All the rest of the day I spent in afflicting myself at the dismal circumstances I was brought toâ""viz.",-1.0,-1,-2,-1,0.2330316742081449,0.08597285067873303,0.06787330316742081,0.3574660633484163,0.18608597285067874,-0.27870527358021324,0.16026345819206758,-0.5802172828569301,-0.4865670167663316
500,501,"I had neither food, house, clothes, weapon, nor place to fly to; and in despair of any relief, saw nothing but death before meâ""either that I should be devoured by wild beasts, murdered by savages, or starved to death for want of food.",-3.75,-3,-6,-2,0.23325791855203631,0.08597285067873303,0.07692307692307693,0.35294117647058826,0.18727375565610863,-0.2778415730810103,0.16026345819206758,-0.5637208807265869,-0.4999375968870493
501,502,"At the approach of night I slept in a tree, for fear of wild creatures; but slept soundly, though it rained all night.",-0.75,-1,-2,-1,0.24095022624434398,0.09502262443438914,0.11312217194570136,0.35294117647058826,0.20050904977375567,-0.24847575610811198,0.18980927681070597,-0.49773527220521413,-0.4999375968870493
502,503,"_October_ 1.â""In the morning I saw, to my great surprise, the ship had floated with the high tide, and was driven on shore again much nearer the island; which, as it was some comfort, on one handâ""for, seeing her set upright, and not broken to pieces, I hoped, if the wind abated, I might get on board, and get some food and necessaries out of her for my reliefâ""so, on the other hand, it renewed my grief at the loss of my comrades, who, I imagined, if we had all stayed on board, might have saved the ship, or, at least, that they would not have been all drowned as they were; and that, had the men been saved, we might perhaps have built us a boat out of the ruins of the ship to have carried us to some other part of the world.",0.85,0,-3,2,0.23144796380090507,0.08144796380090498,0.08597285067873303,0.3438914027149321,0.1856900452488688,-0.2847511770746336,0.14549054888274837,-0.5472244785962436,-0.526678757128485
503,504,"I spent great part of this day in perplexing myself on these things; but at length, seeing the ship almost dry, I went upon the sand as near as I could, and then swam on board.",-0.55,0,3,-1,0.23280542986425348,0.07692307692307693,0.09049773755656108,0.33031674208144796,0.18263574660633486,-0.2795689740794162,0.13071763957342916,-0.538976277531072,-0.5667904974906384
504,505,"This day also it continued raining, though with no wind at all.",0.0,0,-1,0,0.22420814479638018,0.06787330316742081,0.06787330316742081,0.31221719457013575,0.16804298642533938,-0.3123895930491262,0.1011718209547907,-0.5802172828569301,-0.6202728179735094
505,506,"_From the 1st of October to the 24th_.â""All these days entirely spent in many several voyages to get all I could out of the ship, which I brought on shore every tide of flood upon rafts.",-0.25,0,0,-1,0.22194570135746614,0.06334841628959276,0.06787330316742081,0.3031674208144796,0.16408371040723985,-0.32102659804115524,0.0863989116454715,-0.5802172828569301,-0.6470139782149451
506,507,"Much rain also in the days, though with some intervals of fair weather; but it seems this was the rainy season.",0.5,1,1,1,0.22239819004524897,0.06787330316742081,0.07692307692307693,0.3076923076923077,0.16872171945701359,-0.3192991970427494,0.1011718209547907,-0.5637208807265869,-0.6336433980942272
507,508,"_Oct._ 20.â""I overset my raft, and all the goods I had got upon it; but, being in shoal water, and the things being chiefly heavy, I recovered many of them when the tide was out.",0.6,0,0,1,0.21990950226244352,0.06787330316742081,0.07239819004524888,0.3031674208144796,0.1658371040723982,-0.3287999025339813,0.1011718209547907,-0.5719690817917584,-0.6470139782149451
508,509,"_Oct._ 25.â""It rained all night and all day, with some gusts of wind; during which time the ship broke in pieces, the wind blowing a little harder than before, and was no more to be seen, except the wreck of her, and that only at low water.",-1.5,-2,-4,-2,0.2110859728506788,0.06334841628959276,0.06334841628959276,0.27601809954751133,0.1534502262443439,-0.3624842220028943,0.0863989116454715,-0.5884654839221016,-0.7272374589392517
509,510,"I spent this day in covering and securing the goods which I had saved, that the rain might not spoil them.",0.65,-1,2,-1,0.20972850678733035,0.06334841628959276,0.08597285067873303,0.26244343891402716,0.15537330316742082,-0.36766642499811175,0.0863989116454715,-0.5472244785962436,-0.7673491993014051
510,511,"_Oct._ 26.â""I walked about the shore almost all day, to find out a place to fix my habitation, greatly concerned to secure myself from any attack in the night, either from wild beasts or men.",-1.1,-2,-1,-2,0.20610859728506792,0.05429864253393665,0.07239819004524888,0.26244343891402716,0.14881221719457016,-0.38148563298535804,0.05685309302683309,-0.5719690817917584,-0.7673491993014051
511,512,"Towards night, I fixed upon a proper place, under a rock, and marked out a semicircle for my encampment; which I resolved to strengthen with a work, wall, or fortification, made of double piles, lined within with cables, and without with turf.",1.85,2,4,3,0.19321266968325795,0.04072398190045249,0.058823529411764705,0.25339366515837103,0.13653846153846155,-0.43071656143992315,0.012534365098875455,-0.5967136849872732,-0.7940903595428408
512,513,"From the 26th to the 30th I worked very hard in carrying all my goods to my new habitation, though some part of the time it rained exceedingly hard.",2.0,1,-1,1,0.17918552036199098,0.02262443438914027,0.00904977375565611,0.2398190045248869,0.11266968325791857,-0.48426599239050266,-0.0465572721384014,-0.6874438967041606,-0.834202099904994
513,514,"The 31st, in the morning, I went out into the island with my gun, to seek for some food, and discover the country; when I killed a she-goat, and her kid followed me home, which I afterwards killed also, because it would not feed.",-0.6,-1,-4,0,0.15203619909502267,0.00904977375565611,-0.013574660633484163,0.21266968325791855,0.0900452488687783,-0.58791005229485,-0.09087600006635903,-0.7286849020300187,-0.9144255806293008
514,515,"_November_ 1.â""I set up my tent under a rock, and lay there for the first night; making it as large as I could, with stakes driven in to swing my hammock upon.",0.0,0,0,1,0.13325791855203625,-0.004524886877828055,-0.04524886877828054,0.20361990950226244,0.07177601809954752,-0.6595971937286904,-0.13519472799431667,-0.7864223094862198,-0.9411667408707365
515,516,"_Nov._ 2.â""I set up all my chests and boards, and the pieces of timber which made my rafts, and with them formed a fence round me, a little within the place I had marked out for my fortification.",0.0,0,0,1,0.14162895927601815,0.00904977375565611,-0.04524886877828054,0.2171945701357466,0.08065610859728509,-0.6276402752581832,-0.09087600006635903,-0.7864223094862198,-0.901055000508583
516,517,"_Nov._ 3.â""I went out with my gun, and killed two fowls like ducks, which were very good food.",0.65,1,1,1,0.14841628959276024,0.00904977375565611,-0.05429864253393665,0.23529411764705882,0.08461538461538462,-0.6017292602820964,-0.09087600006635903,-0.802918711616563,-0.847572680025712
517,518,In the afternoon went to work to make me a table.,0.25,1,0,0,0.1486425339366516,0.013574660633484163,-0.07692307692307693,0.23529411764705882,0.08014705882352942,-0.6008655597828936,-0.07610309075703982,-0.8441597169424209,-0.847572680025712
518,519,_Nov_.,0.0,0,0,0,0.14977375565610865,0.013574660633484163,-0.08144796380090498,0.2398190045248869,0.08042986425339368,-0.5965470572868791,-0.07610309075703982,-0.8524079180075924,-0.834202099904994
519,520,"4.â""This morning I began to order my times of work, of going out with my gun, time of sleep, and time of diversionâ""viz.",-0.5,1,-1,0,0.14932126696832584,0.00904977375565611,-0.07692307692307693,0.248868778280543,0.082579185520362,-0.5982744582852848,-0.09087600006635903,-0.8441597169424209,-0.8074609396635585
520,521,"every morning I walked out with my gun for two or three hours, if it did not rain; then employed myself to work till about eleven oâclock; then eat what I had to live on; and from twelve to two I lay down to sleep, the weather being excessively hot; and then, in the evening, to work again.",-0.7,1,-1,0,0.14886877828054304,0.013574660633484163,-0.06787330316742081,0.2579185520361991,0.08812217194570138,-0.6000018592836905,-0.07610309075703982,-0.8276633148120777,-0.7807197794221229
521,522,"The working part of this day and of the next were wholly employed in making my table, for I was yet but a very sorry workman, though time and necessity made me a complete natural mechanic soon after, as I believe they would do any one else.",0.35,-1,0,1,0.15090497737556569,0.03167420814479638,-0.08597285067873303,0.2579185520361991,0.08863122171945703,-0.5922285547908644,-0.01701145351976298,-0.8606561190727641,-0.7807197794221229
522,523,"_Nov._ 5.â""This day went abroad with my gun and my dog, and killed a wild cat; her skin pretty soft, but her flesh good for nothing; every creature that I killed I took of the skins and preserved them.",0.6,1,0,-1,0.12986425339366522,0.00904977375565611,-0.12669683257918551,0.23529411764705882,0.06187782805429866,-0.6725527012167338,-0.09087600006635903,-0.9348899286593084,-0.847572680025712
523,524,"Coming back by the sea-shore, I saw many sorts of sea-fowls, which I did not understand; but was surprised, and almost frightened, with two or three seals, which, while I was gazing at, not well knowing what they were, got into the sea, and escaped me for that time.",0.9,1,-2,1,0.11108597285067881,-0.013574660633484163,-0.17194570135746606,0.2081447963800905,0.03342760180995477,-0.7442398426505741,-0.1647405466129551,-1.0173719393110243,-0.9277961607500186
524,525,"_Nov._ 6.â""After my morning walk I went to work with my table again, and finished it, though not to my liking; nor was it long before I learned to mend it.",0.75,2,2,1,0.10384615384615392,-0.01809954751131222,-0.18552036199095023,0.18552036199095023,0.021436651583710425,-0.7718782586250668,-0.17951345592227433,-1.042116542506539,-0.9946490613536075
525,526,"_Nov._ 7.â""Now it began to be settled fair weather.",0.75,1,2,1,0.10429864253393674,-0.00904977375565611,-0.18552036199095023,0.19004524886877827,0.024943438914027168,-0.7701508576266609,-0.14996763730363588,-1.042116542506539,-0.9812784812328899
526,527,"The 7th, 8th, 9th, 10th, and part of the 12th (for the 11th was Sunday) I took wholly up to make me a chair, and with much ado brought it to a tolerable shape, but never to please me; and even in the making I pulled it in pieces several times.",1.8,1,1,1,0.10045248868778288,-0.00904977375565611,-0.19909502262443438,0.19004524886877827,0.020588235294117668,-0.7848337661131101,-0.14996763730363588,-1.0668611457020538,-0.9812784812328899
527,528,"_Note_.â""I soon neglected my keeping Sundays; for, omitting my mark for them on my post, I forgot which was which.",-0.75,-1,-3,-1,0.09366515837104081,-0.02262443438914027,-0.2171945701357466,0.18099547511312217,0.008710407239819022,-0.810744781089197,-0.19428636523159354,-1.0998539499627402,-1.0080196414743252
528,529,"_Nov._ 13.â""This day it rained, which refreshed me exceedingly, and cooled the earth; but it was accompanied with terrible thunder and lightning, which frightened me dreadfully, for fear of my powder.",-0.9,-1,-7,-4,0.09095022624434396,-0.01809954751131222,-0.2171945701357466,0.17647058823529413,0.008031674208144816,-0.8211091870796318,-0.17951345592227433,-1.0998539499627402,-1.021390221595043
529,530,"As soon as it was over, I resolved to separate my stock of powder into as many little parcels as possible, that it might not be in danger.",-0.15,-1,0,-1,0.09208144796380098,-0.013574660633484163,-0.2081447963800905,0.17647058823529413,0.011708144796380111,-0.8167906845836174,-0.1647405466129551,-1.0833575478323971,-1.021390221595043
530,531,"_Nov._ 14, 15, 16.â""These three days I spent in making little square chests, or boxes, which might hold about a pound, or two pounds at most, of powder; and so, putting the powder in, I stowed it in places as secure and remote from one another as possible.",0.25,1,2,-2,0.08574660633484171,-0.027149321266968326,-0.2398190045248869,0.18099547511312217,-5.656108597282966e-05,-0.8409742985612984,-0.20905927454091272,-1.1410949552885983,-1.0080196414743252
531,532,"On one of these three days I killed a large bird that was good to eat, but I knew not what to call it.",0.85,0,0,2,0.07805429864253402,-0.04072398190045249,-0.26244343891402716,0.17194570135746606,-0.01329185520361989,-0.8703401155341968,-0.2533780024688704,-1.182335960614456,-1.034760801715761
532,533,"_Nov._ 17.â""This day I began to dig behind my tent into the rock, to make room for my further conveniency.",0.0,0,0,1,0.08122171945701365,-0.05429864253393665,-0.27149321266968324,0.17194570135746606,-0.018156108597285045,-0.8582483085453563,-0.297696730396828,-1.1988323627447992,-1.034760801715761
533,534,"_Note_.â""Three things I wanted exceedingly for this workâ""viz.",0.85,2,0,0,0.07285067873303175,-0.06787330316742081,-0.3031674208144796,0.17194570135746606,-0.03156108597285065,-0.8902052270158635,-0.34201545832478564,-1.2565697702010004,-1.034760801715761
534,535,"a pickaxe, a shovel, and a wheelbarrow or basket; so I desisted from my work, and began to consider how to supply that want, and make me some tools.",0.25,1,1,1,0.0855203619909503,-0.04524886877828054,-0.2850678733031674,0.18552036199095023,-0.014819004524886853,-0.8418379990605013,-0.26815091177818956,-1.223576965940314,-0.9946490613536075
535,536,"As for the pickaxe, I made use of the iron crows, which were proper enough, though heavy; but the next thing was a shovel or spade; this was so absolutely necessary, that, indeed, I could do nothing effectually without it; but what kind of one to make I knew not.",0.75,1,2,3,0.08371040723981908,-0.04072398190045249,-0.28054298642533937,0.18099547511312217,-0.014140271493212654,-0.8487476030541243,-0.2533780024688704,-1.2153287648751425,-1.0080196414743252
536,537,"_Nov._ 18.â""The next day, in searching the woods, I found a tree of that wood, or like it, which in the Brazils they call the iron-tree, for its exceeding hardness.",1.5,2,2,2,0.07126696832579195,-0.05429864253393665,-0.3031674208144796,0.167420814479638,-0.029694570135746577,-0.8962511305102837,-0.297696730396828,-1.2565697702010004,-1.0481313818364788
537,538,"Of this, with great labour, and almost spoiling my axe, I cut a piece, and brought it home, too, with difficulty enough, for it was exceeding heavy.",-0.5,2,1,-1,0.06968325791855212,-0.049773755656108594,-0.3031674208144796,0.16289592760180996,-0.03009049773755653,-0.902297034004704,-0.2829238210875088,-1.2565697702010004,-1.0615019619571966
538,539,"The excessive hardness of the wood, and my having no other way, made me a long while upon this machine, for I worked it effectually by little and little into the form of a shovel or spade; the handle exactly shaped like ours in England, only that the board part having no iron shod upon it at bottom, it would not last me so long; however, it served well enough for the uses which I had occasion to put it to; but never was a shovel, I believe, made after that fashion, or so long in making.",0.5,2,1,-1,0.07126696832579195,-0.05429864253393665,-0.3167420814479638,0.17194570135746606,-0.0319570135746606,-0.8962511305102837,-0.297696730396828,-1.281314373396515,-1.034760801715761
539,540,"I was still deficient, for I wanted a basket or a wheelbarrow.",-1.0,-1,-2,0,0.06900452488687793,-0.058823529411764705,-0.33031674208144796,0.167420814479638,-0.03817873303167418,-0.9048881355023126,-0.3124696397061472,-1.3060589765920299,-1.0481313818364788
540,541,"A basket I could not make by any means, having no such things as twigs that would bend to make wicker-wareâ""at least, none yet found out; and as to a wheelbarrow, I fancied I could make all but the wheel; but that I had no notion of; neither did I know how to go about it; besides, I had no possible way to make the iron gudgeons for the spindle or axis of the wheel to run in; so I gave it over, and so, for carrying away the earth which I dug out of the cave, I made me a thing like a hod which the labourers carry mortar in when they serve the bricklayers.",0.7,0,1,2,0.07171945701357475,-0.05429864253393665,-0.3393665158371041,0.17194570135746606,-0.03749999999999998,-0.8945237295118779,-0.297696730396828,-1.3225553787223732,-1.034760801715761
541,542,"This was not so difficult to me as the making the shovel: and yet this and the shovel, and the attempt which I made in vain to make a wheelbarrow, took me up no less than four daysâ""I mean always excepting my morning walk with my gun, which I seldom failed, and very seldom failed also bringing home something fit to eat.",-1.5,-3,-4,0,0.06380090497737566,-0.06334841628959276,-0.3574660633484163,0.1583710407239819,-0.04966063348416287,-0.9247532469839791,-0.3272425490154664,-1.3555481829830596,-1.0748725420779144
542,543,"_Nov._ 23.â""My other work having now stood still, because of my making these tools, when they were finished I went on, and working every day, as my strength and time allowed, I spent eighteen days entirely in widening and deepening my cave, that it might hold my goods commodiously.",1.1,0,2,2,0.054524886877828145,-0.07692307692307693,-0.36199095022624433,0.1493212669683258,-0.058766968325791834,-0.9601649674512979,-0.37156127694342406,-1.3637963840482312,-1.1016137023193497
543,544,"_Note_.â""During all this time I worked to make this room or cave spacious enough to accommodate me as a warehouse or magazine, a kitchen, a dining-room, and a cellar.",0.5,2,1,1,0.05000000000000009,-0.08144796380090498,-0.3574660633484163,0.1493212669683258,-0.05989819004524884,-0.9774389774353558,-0.3863341862527433,-1.3555481829830596,-1.1016137023193497
544,545,"As for my lodging, I kept to the tent; except that sometimes, in the wet season of the year, it rained so hard that I could not keep myself dry, which caused me afterwards to cover all my place within my pale with long poles, in the form of rafters, leaning against the rock, and load them with flags and large leaves of trees, like a thatch.",-0.35,-1,1,1,0.0423076923076924,-0.09502262443438914,-0.36199095022624433,0.13574660633484162,-0.06973981900452486,-1.0068047944082543,-0.43065291418070084,-1.3637963840482312,-1.1417254426815033
545,546,"_December_ 10.â""I began now to think my cave or vault finished, when on a sudden (it seems I had made it too large) a great quantity of earth fell down from the top on one side; so much that, in short, it frighted me, and not without reason, too, for if I had been under it, I had never wanted a gravedigger.",0.6,0,5,1,0.0334841628959277,-0.1085972850678733,-0.3755656108597285,0.12669683257918551,-0.08099547511312215,-1.040489113877167,-0.4749716421086585,-1.3885409872437458,-1.168466602922939
546,547,"I had now a great deal of work to do over again, for I had the loose earth to carry out; and, which was of more importance, I had the ceiling to prop up, so that I might be sure no more would come down.",1.25,1,1,3,0.018552036199095116,-0.12217194570135746,-0.40271493212669685,0.09954751131221719,-0.10169683257918552,-1.0974933468245582,-0.5192903700366162,-1.4380301936347755,-1.2486900836472457
547,548,_Dec_.,0.0,0,0,0,0.020588235294117744,-0.11764705882352941,-0.38009049773755654,0.10407239819004525,-0.09326923076923073,-1.0897200423317321,-0.504517460727297,-1.3967891883089174,-1.2353195035265279
548,549,"11.â""This day I went to work with it accordingly, and got two shores or posts pitched upright to the top, with two pieces of boards across over each post; this I finished the next day; and setting more posts up with boards, in about a week more I had the roof secured, and the posts, standing in rows, served me for partitions to part off the house.",1.9,2,4,3,0.013122171945701453,-0.12669683257918551,-0.3936651583710407,0.09954751131221719,-0.1019230769230769,-1.1182221588054277,-0.5340632793459353,-1.4215337915044322,-1.2486900836472457
549,550,"_Dec._ 17.â""From this day to the 20th I placed shelves, and knocked up nails on the posts, to hang everything up that could be hung up; and now I began to be in some order within doors.",-0.25,-2,0,0,0.027149321266968424,-0.12669683257918551,-0.36199095022624433,0.1085972850678733,-0.08823529411764704,-1.0646727278548482,-0.5340632793459353,-1.3637963840482312,-1.22194892340581
550,551,"_Dec._ 20.â""Now I carried everything into the cave, and began to furnish my house, and set up some pieces of boards like a dresser, to order my victuals upon; but boards began to be very scarce with me; also, I made me another table.",0.0,-1,2,-1,0.03755656108597295,-0.11764705882352941,-0.334841628959276,0.12217194570135746,-0.07319004524886874,-1.024942504891515,-0.504517460727297,-1.3143071776572013,-1.1818371830436567
551,552,"_Dec._ 24.â""Much rain all night and all day.",0.0,0,0,0,0.02828054298642544,-0.12669683257918551,-0.37104072398190047,0.11764705882352941,-0.08795248868778277,-1.0603542253588336,-0.5340632793459353,-1.3802927861785743,-1.1952077631643743
552,553,No stirring out.,0.0,0,-1,0,0.02149321266968336,-0.13122171945701358,-0.36199095022624433,0.10407239819004525,-0.09191176470588232,-1.0862652403349207,-0.5488361886552546,-1.3637963840482312,-1.2353195035265279
553,554,"_Dec._ 25.â""Rain all day.",0.0,0,0,0,0.0165158371040725,-0.13122171945701358,-0.37104072398190047,0.1085972850678733,-0.09428733031674207,-1.1052666513173843,-0.5488361886552546,-1.3802927861785743,-1.22194892340581
554,555,"_Dec._ 26.â""No rain, and the earth much cooler than before, and pleasanter.",0.0,0,-1,0,0.0024886877828055294,-0.14027149321266968,-0.40271493212669685,0.09954751131221719,-0.11023755656108594,-1.1588160822679638,-0.578382007273893,-1.4380301936347755,-1.2486900836472457
555,556,"_Dec._ 27.â""Killed a young goat, and lamed another, so that I caught it and led it home in a string; when I had it at home, I bound and splintered up its leg, which was broke.",-0.7,-1,-4,-1,0.014705882352941277,-0.14027149321266968,-0.3574660633484163,0.09954751131221719,-0.09587104072398188,-1.1121762553110075,-0.578382007273893,-1.3555481829830596,-1.2486900836472457
556,557,"_N.B._â""I took such care of it that it lived, and the leg grew well and as strong as ever; but, by my nursing it so long, it grew tame, and fed upon the little green at my door, and would not go away.",2.3,2,4,1,0.013574660633484264,-0.13574660633484162,-0.38009049773755654,0.08144796380090498,-0.10520361990950224,-1.116494757807022,-0.5636090979645738,-1.3967891883089174,-1.3021724041301168
557,558,"This was the first time that I entertained a thought of breeding up some tame creatures, that I might have food when my powder and shot was all spent.",0.25,0,0,0,0.009049773755656208,-0.14027149321266968,-0.3891402714932127,0.07239819004524888,-0.11199095022624432,-1.13376876779108,-0.578382007273893,-1.4132855904392605,-1.3289135643715524
558,559,"_Dec._ 28, 29, 30.â""Great heats and no breeze, so that there was no stirring abroad except in the evening for food; this time I spent in putting all my things in order within doors.",0.75,2,2,0,0.0045248868778281544,-0.14027149321266968,-0.3891402714932127,0.05429864253393665,-0.11764705882352938,-1.1510427777751377,-0.578382007273893,-1.4132855904392605,-1.3823958848544233
559,560,"_January_ 1.â""Very hot still: but I went abroad early and late with my gun, and lay still in the middle of the day.",-1.0,1,-1,-2,0.0009049773755657114,-0.14027149321266968,-0.3936651583710407,0.04524886877828054,-0.12194570135746603,-1.164861985762384,-0.578382007273893,-1.4215337915044322,-1.4091370450958591
560,561,"This evening, going farther into the valleys which lay towards the centre of the island, I found there were plenty of goats, though exceedingly shy, and hard to come at; however, I resolved to try if I could not bring my dog to hunt them down.",1.4,0,0,1,-0.00588235294117637,-0.14479638009049775,-0.40271493212669685,0.03619909502262444,-0.12929864253393664,-1.1907730007384711,-0.5931549165832123,-1.4380301936347755,-1.4358782053372947
561,562,"_Jan._ 2.â""Accordingly, the next day I went out with my dog, and set him upon the goats, but I was mistaken, for they all faced about upon the dog, and he knew his danger too well, for he would not come near them.",-0.7,-1,-4,-2,-0.022171945701357363,-0.167420814479638,-0.45701357466063347,0.01809954751131222,-0.15712669683257915,-1.2529594366810795,-0.6670194631298083,-1.5370086064168342,-1.4893605258201656
562,563,"_Jan._ 3.â""I began my fence or wall; which, being still jealous of my being attacked by somebody, I resolved to make very thick and strong.",-0.65,0,1,-1,-0.026244343891402615,-0.17194570135746606,-0.4841628959276018,0.0,-0.17058823529411762,-1.2685060456667316,-0.6817923724391275,-1.5864978128078642,-1.542842846303037
