"","sent_raw","syuzhet","bing","afinn","nrc"
"548","547,""""""Come to lunch some day,"""" he suggested, as we groaned down in the elevator.""",-0.8,0,-2,0
"549","548,""""""Where?""""""",0,0,0,0
"550","549,""""""Anywhere.""""""",0,0,0,0
"551","550,""""""Keep your hands off the lever,"""" snapped the elevator boy.""",0.25,0,0,-1
"552","551,""""""I beg your pardon,"""" said Mr. McKee with dignity, """"I didn't know I was touching it.""""""",-0.25,1,4,1
"553","552,""""""All right,"""" I agreed, """"I' be glad to.""""""",2.05,2,4,2
"554","553,""I was standing beside his bed and he was sitting up between the sheets, clad in his underwear, with a great portfolio in his hands.""",0.5,1,3,1
"555","554,""""""Beauty and the Beast . . . Loneliness . . . Old Grocery Horse . . . Brook'n Bridge . . . .""""""",-0.75,0,3,-1
"556","555,""Then I was lying half asleep in the cold lower level of the Pennsylvania Station, staring at the morning """"Tribune"""" and waiting for the four o'clock train.""",-0.85,-2,0,-3
"557","556,There was music from my neighbor's house through the summer nights.",0.6,0,0,1
"558","557,In his blue gardens men and girls came and went like moths among the whisperings and the champagne and the stars.",0.1,1,2,0
"559","558,""At high tide in the afternoon I watched his guests diving from the tower of his raft or taking the sun on the hot sand of his beach while his two motor-boats slit the waters of the Sound, drawing aquaplanes over cataracts of foam.""",0.35,1,0,2
"560","559,""On week-ends his Rolls-Royce became an omnibus, bearing parties to and from the city, between nine in the morning and long past midnight, while his station wagon scampered like a brisk yellow bug to meet all trains.""",0.5,1,4,-1
"561","560,""And on Mondays eight servants including an extra gardener toiled all day with mops and scrubbing-brushes and hammers and garden-shears, repairing the ravages of the night before.""",1,0,0,3
"562","561,Every Friday five crates of oranges and lemons arrived from a fruiterer in New York every Monday these same oranges and lemons left his back door in a pyramid of pulpless halves.",0.8,0,0,0
"563","562,""There was a machine in the kitchen which could extract the juice of two hundred oranges in half an hour, if a little button was pressed two hundred times by a butler's thumb.""",0,0,0,0
"564","563,At least once a fortnight a corps of caterers came down with several hundred feet of canvas and enough colored lights to make a Christmas tree of Gatsby's enormous garden.",0.35,1,0,2
"565","564,""On buffet tables, garnished with glistening hors-d'oeuvre, spiced baked hams crowded against salads of harlequin designs and pastry pigs and turkeys bewitched to a dark gold.""",2.77555756156289e-17,-1,2,1
"566","565,""In the main hall a bar with a real brass rail was set up, and stocked with gins and liquors and with cordials so long forgotten that most of his female guests were too young to know one from another.""",0.95,-1,-1,2
"567","566,By seven o'clock the orchestra has arrived no thin five-piece affair but a whole pitful of oboes and trombones and saxophones and viols and cornets and piccolos and low and high drums.",0,0,-1,1
"568","567,""The last swimmers have come in from the beach now and are dressing upstairs; the cars from New York are parked five deep in the drive, and already the halls and salons and verandas are gaudy with primary colors and hair shorn in strange new ways and shawls beyond the dreams of Castile.""",0.35,-2,0,1
"569","568,The bar is in full swing and floating rounds of cocktails permeate the garden outside until the air is alive with chatter and laughter and casual innuendo and introductions forgotten on the spot and enthusiastic meetings between women who never knew each other's names.",1.25,-1,3,3
"570","569,The lights grow brighter as the earth lurches away from the sun and now the orchestra is playing yellow cocktail music and the opera of voices pitches a key higher.",1.8,1,0,5
"571","570,""Laughter is easier, minute by minute, spilled with prodigality, tipped out at a cheerful word.""",2.35,2,2,3
"572","571,""The groups change more swiftly, swell with new arrivals, dissolve and form in the same breath already there are wanderers, confident girls who weave here and there among the stouter and more stable, become for a sharp, joyous moment the center of a group and then excited with triumph glide on through the sea-change of faces and voices and color under the constantly changing light.""",6.3,6,16,8
"573","572,""Suddenly one of these gypsies in trembling opal, seizes a cocktail out of the air, dumps it down for courage and moving her hands like Frisco dances out alone on the canvas platform.""",-0.6,1,-1,-1
"574","573,""A momentary hush; the orchestra leader varies his rhythm obligingly for her and there is a burst of chatter as the erroneous news goes around that she is Gilda Gray's understudy from the """"Follies.""""""",-0.75,-2,-2,3
"575","574,The party has begun.",0,0,0,0
"576","575,I believe that on the first night I went to Gatsby's house I was one of the few guests who had actually been invited.",0,0,0,0
"577","576,People were not invited they went there.",0,0,0,0
"578","577,They got into automobiles which bore them out to Long Island and somehow they ended up at Gatsby's door.",-0.75,-1,-2,-1
"579","578,Once there they were introduced by somebody who knew Gatsby and after that they conducted themselves according to the rules of behavior associated with amusement parks.",1.1,0,3,1
"580","579,""Sometimes they came and went without having met Gatsby at all, came for the party with a simplicity of heart that was its own ticket of admission.""",0,0,1,0
"581","580,I had been actually invited.",0,0,0,0
"582","581,""A chauffeur in a uniform of robin's egg blue crossed my lawn early that Saturday morning with a surprisingly formal note from his employer the honor would be entirely Gatsby's, it said, if I would attend his """"little party"""" that night.""",1,1,2,1
"583","582,He had seen me several times and had intended to call on me long before but a peculiar combination of circumstances had prevented it signed Jay Gatsby in a majestic hand.",0.25,0,-1,2
"584","583,Dressed up in white flannels I went over to his lawn a little after seven and wandered around rather ill-at-ease among swirls and eddies of people I didn't know though here and there was a face I had noticed on the commuting train.",0.4,1,0,1
"585","584,""I was immediately struck by the number of young Englishmen dotted about; all well dressed, all looking a little hungry and all talking in low earnest voices to solid and prosperous Americans.""",2.2,3,6,3
"586","585,I was sure that they were selling something: bonds or insurance or automobiles.",0,0,0,-1
"587","586,""They were, at least, agonizingly aware of the easy money in the vicinity and convinced that it was theirs for a few words in the right key.""",1.8,1,2,0
"588","587,As soon as I arrived I made an attempt to find my host but the two or three people of whom I asked his whereabouts stared at me in such an amazed way and denied so vehemently any knowledge of his movements that I slunk off in the direction of the cocktail table the only place in the garden where a single man could linger without looking purposeless and alone.",-0.5,-1,-2,1
"589","588,""I was on my way to get roaring drunk from sheer embarrassment when Jordan Baker came out of the house and stood at the head of the marble steps, leaning a little backward and looking with contemptuous interest down into the garden.""",-1.15,-4,-5,-1
"590","589,""Welcome or not, I found it necessary to attach myself to someone before I should begin to address cordial remarks to the passers-by.""",1.1,1,2,1
"591","590,""""""Hello!""""""",0,0,0,0
"592","591,""I roared, advancing toward her.""",0,0,0,0
"593","592,My voice seemed unnaturally loud across the garden.",-0.45,-2,0,1
"594","593,""""""I thought you might be here,"""" she responded absently as I came up.""",0,0,0,0
"595","594,""""""I remembered you lived next door to """"""",0,0,0,0
"596","595,""She held my hand impersonally, as a promise that she'd take care of me in a minute, and gave ear to two girls in twin yellow dresses who stopped at the foot of the steps.""",1.6,1,2,2
"597","596,""""""Hello!"""" they cried together.""",-1,0,-2,0
"598","597,""""""Sorry you didn't win.""""""",0,0,3,0
"599","598,That was for the golf tournament.",0,0,0,0
"600","599,She had lost in the finals the week before.",-0.75,-1,-3,-1
"601","600,""""""You don't know who we are,"""" said one of the girls in yellow, """"but we met you here about a month ago.""""""",0,0,0,0
"602","601,""""""You've dyed your hair since then,"""" remarked Jordan, and I started but the girls had moved casually on and her remark was addressed to the premature moon, produced like the supper, no doubt, out of a caterer's basket.""",-0.25,0,0,-1
"603","602,With Jordan's slender golden arm resting in mine we descended the steps and sauntered about the garden.",1.8,1,0,2
"604","603,""A tray of cocktails floated at us through the twilight and we sat down at a table with the two girls in yellow and three men, each one introduced to us as Mr. Mumble.""",0,0,0,-1
"605","604,""""""Do you come to these parties often?"""" inquired Jordan of the girl beside her.""",0,0,0,0
"606","605,""""""The last one was the one I met you at,"""" answered the girl, in an alert, confident voice.""",0.55,1,1,1
"607","606,""She turned to her companion: """"Wasn't it for you, Lucille?""""""",0.5,0,0,1
"608","607,""It was for Lucille, too.""",0,0,0,0
"609","608,""""""I like to come,"""" Lucille said.""",0.5,1,2,0
"610","609,""""""I never care what I do, so I always have a good time. When I was here last I tore my gown on a chair, and he asked me my name and address inside of a week I got a package from Croirier's with a new evening gown in it.""""""",2.55,1,5,1
"611","610,""""""Did you keep it?"""" asked Jordan.""",0,0,0,0
"612","611,""""""Sure I did. I was going to wear it tonight, but it was too big in the bust and had to be altered. It was gas blue with lavender beads. Two hundred and sixty-five dollars.""""""",0,-1,1,-1
"613","612,""""""There's something funny about a fellow that' do a thing like that,"""" said the other girl eagerly.""",2.5,1,6,1
"614","613,""""""He doesn't want any trouble with anybody.""""""",-0.5,-1,-1,0
"615","614,""""""Who doesn't?""""""",0,0,0,0
"616","615,I inquired.",0,0,0,0
"617","616,""""""Gatsby. Somebody told me """"""",0,0,0,0
"618","617,The two girls and Jordan leaned together confidentially.",0,0,0,0
"619","618,""""""Somebody told me they thought he killed a man once.""""""",-0.5,-1,-3,0
"620","619,A thrill passed over all of us.",0.5,1,0,1
"621","620,The three Mr. Mumbles bent forward and listened eagerly.",1,0,0,1
"622","621,""""""I don't think it's so much that,"""" argued Lucille skeptically; """"it's more that he was a German spy during the war.""""""",-1.3,-1,-2,-1
"623","622,One of the men nodded in confirmation.",0,0,0,0
"624","623,""""""I heard that from a man who knew all about him, grew up with him in Germany,"""" he assured us positively.""",1.55,1,2,1
"625","624,""""""Oh, no,"""" said the first girl, """"it couldn't be that, because he was in the American army during the war.""""""",-0.5,0,-3,-1
"626","625,As our credulity switched back to her she leaned forward with enthusiasm.",1.35,1,0,2
"627","626,""""""You look at him sometimes when he thinks nobody's looking at him. I' bet he killed a man.""""""",-0.5,-1,-3,0
"628","627,She narrowed her eyes and shivered.",0,0,0,0
"629","628,Lucille shivered.",0,0,0,0
"630","629,We all turned and looked around for Gatsby.",0,0,0,0
"631","630,It was testimony to the romantic speculation he inspired that there were whispers about him from those who found little that it was necessary to whisper about in this world.",1.35,1,2,2
"632","631,""The first supper there would be another one after midnight was now being served, and Jordan invited me to join her own party who were spread around a table on the other side of the garden.""",0.85,0,1,2
"633","632,""There were three married couples and Jordan's escort, a persistent undergraduate given to violent innuendo and obviously under the impression that sooner or later Jordan was going to yield him up her person to a greater or lesser degree.""",-0.4,-2,0,2
"634","633,""Instead of rambling this party had preserved a dignified homogeneity, and assumed to itself the function of representing the staid nobility of the countryside East Egg condescending to West Egg, and carefully on guard against its spectroscopic gayety.""",-0.5,-1,2,2
"635","634,""""""Let's get out,"""" whispered Jordan, after a somehow wasteful and inappropriate half hour.""",-1,-2,-2,-2
"636","635,""""""This is much too polite for me.""""""",0.5,1,2,1
"637","636,""We got up, and she explained that we were going to find the host I had never met him, she said, and it was making me uneasy.""",-1,-1,-2,-1
"638","637,""The undergraduate nodded in a cynical, melancholy way.""",-1.25,-2,-4,-1
"639","638,""The bar, where we glanced first, was crowded but Gatsby was not there.""",-0.6,-1,0,0
"640","639,""She couldn't find him from the top of the steps, and he wasn't on the veranda.""",0,1,2,1
"641","640,""On a chance we tried an important-looking door, and walked into a high Gothic library, panelled with carved English oak, and probably transported complete from some ruin overseas.""",0.1,0,2,2
"642","641,""A stout, middle-aged man with enormous owl-eyed spectacles was sitting somewhat drunk on the edge of a great table, staring with unsteady concentration at the shelves of books.""",-1.05,-1,3,-1
"643","642,As we entered he wheeled excitedly around and examined Jordan from head to foot.",0.8,1,0,0
"644","643,""""""What do you think?"""" he demanded impetuously.""",-1.2,-1,-1,0
"645","644,""""""About what?""""""",0,0,0,0
"646","645,He waved his hand toward the book-shelves.",0,0,0,0
"647","646,""""""About that. As a matter of fact you needn't bother to ascertain. I ascertained. They're real.""""""",-0.5,-1,-1,0
"648","647,""""""The books?""""""",0,0,0,0
"649","648,He nodded.",0,0,0,0
"650","649,""""""Absolutely real have pages and everything. I thought they'd be a nice durable cardboard. Matter of fact, they're absolutely real. Pages and Here! Lemme show you.""""""",1.5,2,6,2
"651","650,""Taking our skepticism for granted, he rushed to the bookcases and returned with Volume One of the """"Stoddard Lectures.""""""",0.25,-1,-1,1
"652","651,""""""See!"""" he cried triumphantly.""",0,1,-2,0
"653","652,""""""It's a bona fide piece of printed matter. It fooled me. This fella's a regular Belasco. It's a triumph. What thoroughness! What realism! Knew when to stop too didn't cut the pages. But what do you want? What do you expect?""""""",-0.3,0,4,2
"654","653,He snatched the book from me and replaced it hastily on its shelf muttering that if one brick was removed the whole library was liable to collapse.",-1.6,-3,-2,0
"655","654,""""""Who brought you?"""" he demanded.""",-0.4,0,-1,0
"656","655,""""""Or did you just come? I was brought. Most people were brought.""""""",0,0,0,0
"657","656,""Jordan looked at him alertly, cheerfully without answering.""",1,0,2,0
"658","657,""""""I was brought by a woman named Roosevelt,"""" he continued.""",0,0,0,0
"659","658,""""""Mrs. Claud Roosevelt. Do you know her? I met her somewhere last night. I've been drunk for about a week now, and I thought it might sober me up to sit in a library.""""""",0.1,-2,-2,1
"660","659,""""""Has it?""""""",0,0,0,0
"661","660,""""""A little bit, I think. I can't tell yet. I've only been here an hour. Did I tell you about the books? They're real. They're """"""",0.25,0,0,1
"662","661,""""""You told us.""""""",0,0,0,0
"663","662,We shook hands with him gravely and went back outdoors.",-1,-1,0,0
"664","663,""There was dancing now on the canvas in the garden, old men pushing young girls backward in eternal graceless circles, superior couples holding each other tortuously, fashionably and keeping in the corners and a great number of single girls dancing individualistically or relieving the orchestra for a moment of the burden of the banjo or the traps.""",1.2,0,4,3
"665","664,By midnight the hilarity had increased.",1.3,0,1,1
"666","665,""A celebrated tenor had sung in Italian and a notorious contralto had sung in jazz and between the numbers people were doing """"stunts"""" all over the garden, while happy vacuous bursts of laughter rose toward the summer sky.""",1.4,1,5,5
"667","666,""A pair of stage """"twins"""" who turned out to be the girls in yellow did a baby act in costume and champagne was served in glasses bigger than finger bowls.""",0.6,0,0,1
"668","667,""The moon had risen higher, and floating in the Sound was a triangle of silver scales, trembling a little to the stiff, tinny drip of the banjoes on the lawn.""",-0.75,-1,-2,-2
"669","668,I was still with Jordan Baker.",0,0,0,0
"670","669,We were sitting at a table with a man of about my age and a rowdy little girl who gave way upon the slightest provocation to uncontrollable laughter.",-0.7,-1,0,-2
"671","670,I was enjoying myself now.",0.75,1,2,1
"672","671,""I had taken two finger bowls of champagne and the scene had changed before my eyes into something significant, elemental and profound.""",1.5,2,1,0
"673","672,At a lull in the entertainment the man looked at me and smiled.",1.6,-1,2,1
"674","673,""""""Your face is familiar,"""" he said, politely.""",1.8,0,0,1
"675","674,""""""Weren't you in the Third Division during the war?""""""",-0.5,0,-2,-1
"676","675,""""""Why, yes. I was in the Ninth Machine-Gun Battalion.""""""",0.8,0,0,-1
"677","676,""""""I was in the Seventh Infantry until June nineteen-eighteen. I knew I'd seen you somewhere before.""""""",0,0,0,0
"678","677,""We talked for a moment about some wet, grey little villages in France.""",0,0,-1,0
"679","678,Evidently he lived in this vicinity for he told me that he had just bought a hydroplane and was going to try it out in the morning.",0,0,0,0
"680","679,""""""Want to go with me, old sport? Just near the shore along the Sound.""""""",0,0,1,0
"681","680,""""""What time?""""""",0,0,0,0
"682","681,""""""Any time that suits you best.""""""",0.5,1,3,0
"683","682,It was on the tip of my tongue to ask his name when Jordan looked around and smiled.",0.8,0,2,0
"684","683,""""""Having a gay time now?"""" she inquired.""",0,0,0,0
"685","684,""""""Much better.""""""",0.8,1,2,0
"686","685,I turned again to my new acquaintance.",0.8,0,0,0
"687","686,""""""This is an unusual party for me. I haven't even seen the host. I live over there """"""",-0.6,-1,0,0
"688","687,""I waved my hand at the invisible hedge in the distance, """"and this man Gatsby sent over his chauffeur with an invitation.""""""",0.25,-2,0,1
"689","688,For a moment he looked at me as if he failed to understand.",-0.5,-1,-2,0
"690","689,""""""I' Gatsby,"""" he said suddenly.""",0,0,0,0
"691","690,""""""What!""""""",0,0,0,0
"692","691,I exclaimed.",0,0,0,0
"693","692,""""""Oh, I beg your pardon.""""""",-0.75,0,2,0
"694","693,""""""I thought you knew, old sport. I' afraid I' not a very good host.""""""",0,0,1,0
"695","694,He smiled understandingly much more than understandingly.",0.8,0,2,0
"696","695,""It was one of those rare smiles with a quality of eternal reassurance in it, that you may come across four or five times in life.""",1,2,4,1
"697","696,""It faced or seemed to face the whole external world for an instant, and then concentrated on you with an irresistible prejudice in your favor.""",0.85,1,4,-1
"698","697,""It understood you just so far as you wanted to be understood, believed in you as you would like to believe in yourself and assured you that it had precisely the impression of you that, at your best, you hoped to convey.""",2.7,3,5,2
"699","698,""Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two over thirty, whose elaborate formality of speech just missed being absurd.""",0.6,-1,0,1
"700","699,Some time before he introduced himself I'd got a strong impression that he was picking his words with care.",2.2,1,4,0
"701","700,Almost at the moment when Mr. Gatsby identified himself a butler hurried toward him with the information that Chicago was calling him on the wire.",0.55,0,0,1
"702","701,He excused himself with a small bow that included each of us in turn.",0.35,0,0,0
"703","702,""""""If you want anything just ask for it, old sport,"""" he urged me.""",0,0,1,0
"704","703,""""""Excuse me. I will rejoin you later.""""""",-0.75,-1,-1,-1
"705","704,When he was gone I turned immediately to Jordan constrained to assure her of my surprise.",0.9,1,-2,0
"706","705,I had expected that Mr. Gatsby would be a florid and corpulent person in his middle years.",0,0,0,0
"707","706,""""""Who is he?""""""",0,0,0,0
"708","707,I demanded.",-0.4,0,-1,0
"709","708,""""""Do you know?""""""",0,0,0,0
"710","709,""""""He's just a man named Gatsby.""""""",0,0,0,0
"711","710,""""""Where is he from, I mean? And what does he do?""""""",0,0,0,0
"712","711,""""""Now you're started on the subject,"""" she answered with a wan smile.""",0.75,1,2,-1
"713","712,""""""Well, he told me once he was an Oxford man.""""""",0.8,1,0,0
"714","713,A dim background started to take shape behind him but at her next remark it faded away.",0,-1,0,1
"715","714,""""""However, I don't believe it.""""""",0,0,0,0
"716","715,""""""Why not?""""""",0,0,0,0
"717","716,""""""I don't know,"""" she insisted, """"I just don't think he went there.""""""",0,0,0,0
"718","717,""Something in her tone reminded me of the other girl's """"I think he killed a man,"""" and had the effect of stimulating my curiosity.""",0.5,0,-1,1
"719","718,I would have accepted without question the information that Gatsby sprang from the swamps of Louisiana or from the lower East Side of New York.",1.75,0,1,1
"720","719,That was comprehensible.",0,0,0,0
"721","720,But young men didn't at least in my provincial inexperience I believed they didn't drift coolly out of nowhere and buy a palace on Long Island Sound.",0.15,-1,0,0
"722","721,""""""Anyhow he gives large parties,"""" said Jordan, changing the subject with an urbane distaste for the concrete.""",-0.5,-1,0,-2
"723","722,""""""And I like large parties. They're so intimate. At small parties there isn't any privacy.""""""",1,2,2,0
"724","723,""There was the boom of a bass drum, and the voice of the orchestra leader rang out suddenly above the echolalia of the garden.""",0.45,1,0,3
"725","724,""""""Ladies and gentlemen,"""" he cried.""",-1,0,-2,0
"726","725,""""""At the request of Mr. Gatsby we are going to play for you Mr. Vladimir Tostoff's latest work which attracted so much attention at Carnegie Hall last May. If you read the papers you know there was a big sensation.""""""",2.15,2,2,1
"727","726,""He smiled with jovial condescension and added """"Some sensation!"""" whereupon everybody laughed.""",2.45,1,5,0
"728","727,""""""The piece is known,"""" he concluded lustily, """"as 'Vladimir Tostoff's Jazz History of the World.' """"""",0,0,0,0
"729","728,""The nature of Mr. Tostoff's composition eluded me, because just as it began my eyes fell on Gatsby, standing alone on the marble steps and looking from one group to another with approving eyes.""",-0.1,-1,-2,1
"730","729,His tanned skin was drawn attractively tight on his face and his short hair looked as though it were trimmed every day.",1.5,1,2,1
"731","730,I could see nothing sinister about him.",-0.75,-1,-2,-1
"732","731,""I wondered if the fact that he was not drinking helped to set him off from his guests, for it seemed to me that he grew more correct as the fraternal hilarity increased.""",3.2,2,1,1
"733","732,""When the """"Jazz History of the World"""" was over girls were putting their heads on men's shoulders in a puppyish, convivial way, girls were swooning backward playfully into men's arms, even into groups knowing that some one would arrest their falls but no one swooned backward on Gatsby and no French bob touched Gatsby's shoulder and no singing quartets were formed with Gatsby's head for one link.""",0.7,-1,-1,-1
"734","733,""""""I beg your pardon.""""""",-0.75,0,2,0
"735","734,Gatsby's butler was suddenly standing beside us.",0.4,0,0,2
"736","735,""""""Miss Baker?"""" he inquired.""",0,-1,-2,0
"737","736,""""""I beg your pardon but Mr. Gatsby would like to speak to you alone.""""""",-0.85,1,2,0
"738","737,""""""With me?"""" she exclaimed in surprise.""",0.6,0,0,1
"739","738,""""""Yes, madame.""""""",0.8,0,1,0
"740","739,""She got up slowly, raising her eyebrows at me in astonishment, and followed the butler toward the house.""",0.65,0,0,2
"741","740,""I noticed that she wore her evening dress, all her dresses, like sports clothes there was a jauntiness about her movements as if she had first learned to walk upon golf courses on clean, crisp mornings.""",1.35,3,4,0
"742","741,I was alone and it was almost two.",-0.6,0,-2,0
"743","742,For some time confused and intriguing sounds had issued from a long many-windowed room which overhung the terrace.",-0.25,0,-2,0
"744","743,""Eluding Jordan's undergraduate who was now engaged in an obstetrical conversation with two chorus girls, and who implored me to join him, I went inside.""",1.1,0,1,3
"745","744,The large room was full of people.",0,0,0,1
"746","745,""One of the girls in yellow was playing the piano and beside her stood a tall, red haired young lady from a famous chorus, engaged in song.""",1.75,1,2,4
"747","746,""She had drunk a quantity of champagne and during the course of her song she had decided ineptly that everything was very very sad she was not only singing, she was weeping too.""",-2.5,-3,-6,0
"748","747,Whenever there was a pause in the song she filled it with gasping broken sobs and then took up the lyric again in a quavering soprano.",-2.35,-1,-1,-2
"749","748,""The tears coursed down her cheeks not freely, however, for when they came into contact with her heavily beaded eyelashes they assumed an inky color, and pursued the rest of their way in slow black rivulets.""",-0.4,-1,-2,1
"750","749,""A humorous suggestion was made that she sing the notes on her face whereupon she threw up her hands, sank into a chair and went off into a deep vinous sleep.""",1.6,1,2,2
"751","750,""""""She had a fight with a man who says he's her husband,"""" explained a girl at my elbow.""",-0.5,0,-1,-1
"752","751,I looked around.",0,0,0,0
"753","752,Most of the remaining women were now having fights with men said to be their husbands.",0,0,0,0
"754","753,""Even Jordan's party, the quartet from East Egg, were rent asunder by dissension.""",-1.2,-2,0,-1
"755","754,""One of the men was talking with curious intensity to a young actress, and his wife after attempting to laugh at the situation in a dignified and indifferent way broke down entirely and resorted to flank attacks at intervals she appeared suddenly at his side like an angry diamond, and hissed """"You promised!"""" into his ear.""",-0.2,-2,-1,2
"756","755,The reluctance to go home was not confined to wayward men.",-2.1,-3,0,-1
"757","756,The hall was at present occupied by two deplorably sober men and their highly indignant wives.",-1.5,-3,-2,0
"758","757,The wives were sympathizing with each other in slightly raised voices.",0,0,0,0
"759","758,""""""Whenever he sees I' having a good time he wants to go home.""""""",0.75,1,3,1
"760","759,""""""Never heard anything so selfish in my life.""""""",-1,-1,-3,-1
"761","760,""""""We're always the first ones to leave.""""""",-0.25,0,-1,-1
"762","761,""""""So are we.""""""",0,0,0,0
"763","762,""""""Well, we're almost the last tonight,"""" said one of the men sheepishly.""",0.8,1,0,0
"764","763,""""""The orchestra left half an hour ago.""""""",0,0,0,1
"765","764,""In spite of the wives' agreement that such malevolence was beyond credibility, the dispute ended in a short struggle, and both wives were lifted kicking into the night.""",-1.5,-4,-3,-1
"766","765,As I waited for my hat in the hall the door of the library opened and Jordan Baker and Gatsby came out together.",0.6,0,0,1
"767","766,He was saying some last word to her but the eagerness in his manner tightened abruptly into formality as several people approached him to say goodbye.",0.5,0,0,2
"768","767,Jordan's party were calling impatiently to her from the porch but she lingered for a moment to shake hands.",-0.8,-2,0,0
"769","768,""""""I've just heard the most amazing thing,"""" she whispered.""",0.5,1,4,0
"770","769,""""""How long were we in there?""""""",0,0,0,0
"771","770,""""""Why, about an hour.""""""",0,0,0,0
"772","771,""""""It was simply amazing,"""" she repeated abstractedly.""",0.25,1,4,0
"773","772,""""""But I swore I wouldn't tell it and here I am tantalizing you.""""""",0,1,0,0
"774","773,She yawned gracefully in my face.",1,1,0,0
"775","774,""""""Please come and see me. . . . Phone book. . . . Under the name of Mrs. Sigourney Howard. . . . My aunt. . . .""""""",1.25,0,1,1
"776","775,She was hurrying off as she talked her brown hand waved a jaunty salute as she melted into her party at the door.",0.25,1,4,1
"777","776,""Rather ashamed that on my first appearance I had stayed so late, I joined the last of Gatsby's guests who were clustered around him.""",-0.65,-1,-2,-1
"778","777,I wanted to explain that I'd hunted for him early in the evening and to apologize for not having known him in the garden.",1.4,0,-1,3
"779","778,""""""Don't mention it,"""" he enjoined me eagerly.""",0.8,1,0,0
"780","779,""""""Don't give it another thought, old sport.""""""",0,0,0,0
"781","780,The familiar expression held no more familiarity than the hand which reassuringly brushed my shoulder.",1.6,0,-1,3
"782","781,""""""And don't forget we're going up in the hydroplane tomorrow morning at nine o'clock.""""""",-0.5,0,-1,-1
"783","782,""Then the butler, behind his shoulder:""",0.4,0,0,2
"784","783,""""""Philadelphia wants you on the phone, sir.""""""",0.25,0,0,1
"785","784,""""""All right, in a minute. Tell them I' be right there. . . . good night.""""""",1.55,2,3,1
"786","785,""""""Good night.""""""",0.75,1,3,1
"787","786,""""""Good night.""""""",0.75,1,3,1
"788","787,""He smiled and suddenly there seemed to be a pleasant significance in having been among the last to go, as if he had desired it all the time.""",3.1,1,8,1
"789","788,""""""Good night, old sport. . . . Good night.""""""",0.75,1,3,1
"790","789,But as I walked down the steps I saw that the evening was not quite over.",0,0,0,0
"791","790,Fifty feet from the door a dozen headlights illuminated a bizarre and tumultuous scene.",-1.25,-2,-2,-2
"792","791,""In the ditch beside the road, right side up but violently shorn of one wheel, rested a new coup which had left Gatsby's drive not two minutes before.""",0.85,0,-3,-1
"793","792,The sharp jut of a wall accounted for the detachment of the wheel which was now getting considerable attention from half a dozen curious chauffeurs.",0.15,1,1,1
"794","793,""However, as they had left their cars blocking the road a harsh discordant din from those in the rear had been audible for some time and added to the already violent confusion of the scene.""",-3.9,-4,-6,-4
"795","794,""A man in a long duster had dismounted from the wreck and now stood in the middle of the road, looking from the car to the tire and from the tire to the observers in a pleasant, puzzled way.""",-0.5,-1,-1,0
"796","795,""""""See!"""" he explained.""",0,0,0,0
"797","796,""""""It went in the ditch.""""""",0,0,0,0
"798","797,The fact was infinitely astonishing to him and I recognized first the unusual quality of wonder and then the man it was the late patron of Gatsby's library.",0.95,1,2,1
"799","798,""""""How'd it happen?""""""",0,0,0,0
"800","799,He shrugged his shoulders.",0,0,0,0
"801","800,""""""I know nothing whatever about mechanics,"""" he said decisively.""",0,0,0,0
"802","801,""""""But how did it happen? Did you run into the wall?""""""",0,0,0,0
"803","802,""""""Don't ask me,"""" said Owl Eyes, washing his hands of the whole matter.""",0,0,1,0
"804","803,""""""I know very little about driving next to nothing. It happened, and that's all I know.""""""",0,0,0,0
"805","804,""""""Well, if you're a poor driver you oughtn't to try driving at night.""""""",0.3,0,-2,0
"806","805,""""""But I wasn't even trying,"""" he explained indignantly, """"I wasn't even trying.""""""",-1,-1,0,0
"807","806,An awed hush fell upon the bystanders.",-0.1,0,0,0
"808","807,""""""Do you want to commit suicide?""""""",-1,-1,0,-1
"809","808,""""""You're lucky it was just a wheel! A bad driver and not even trying!""""""",0,0,0,0
"810","809,""""""You don't understand,"""" explained the criminal.""",-0.75,-1,-3,-1
"811","810,""""""I wasn't driving. There's another man in the car.""""""",0,0,0,0
"812","811,""The shock that followed this declaration found voice in a sustained """"Ah-h-h!"""" as the door of the coup swung slowly open.""",-0.4,-2,-2,0
"813","812,The crowd it was now a crowd stepped back involuntarily and when the door had opened wide there was a ghostly pause.",-1.1,-1,0,-1
"814","813,""Then, very gradually, part by part, a pale dangling individual stepped out of the wreck, pawing tentatively at the ground with a large uncertain dancing shoe.""",-2.1,-4,-3,-2
"815","814,Blinded by the glare of the headlights and confused by the incessant groaning of the horns the apparition stood swaying for a moment before he perceived the man in the duster.",-2.25,-3,-4,-3
"816","815,""""""Wha's matter?"""" he inquired calmly.""",0,0,1,0
"817","816,""""""Did we run outa gas?""""""",0,0,0,0
"818","817,""""""Look!""""""",0,0,0,0
"819","818,Half a dozen fingers pointed at the amputated wheel he stared at it for a moment and then looked upward as though he suspected that it had dropped from the sky.",-1.6,0,-2,1
"820","819,""""""It came off,"""" some one explained.""",0,0,0,0
"821","820,He nodded.",0,0,0,0
"822","821,""""""At first I din' notice we'd stopped.""""""",-0.4,0,-1,0
"823","822,A pause.",0,0,0,0
"824","823,""Then, taking a long breath and straightening his shoulders he remarked in a determined voice:""",0.5,0,2,1
