,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
240,0.7460248442038439,0.7576096097668651,0.9367424874852389,-0.4329720239288764,0.07257790665533585,-0.23819109262416305,1.2714356270407172,1.2252963937010577,0.4724232112882401,1.294150878067602,0.7196847814196111,1.887001461559838,0.6913751889165433,0.6422111460990203,0.394336282823859,-1.066948290325722,-0.6637834016429462,-0.7627222176459008,0.1421490464948389,0.8711579718811325,0.9201638964641853,1.2640130397658842,-0.2796431956303087,-0.03135884044324245,-0.9844919300163347,0.38246282702434575,1.0075168449364726,0.7878017827598764,0.5458531641324039,0.8129623453639206,-0.12665614976777356
241,0.7118545605107588,0.7227692650628036,0.9124991305088123,-0.42765470788334375,0.02968598389411877,-0.2910097210152778,1.2290619402021747,1.1764485533713254,0.44345721514420544,1.2177156695957887,0.7196847814196111,1.876597780889525,0.6387227517611919,0.5861164773140793,0.36649362176458533,-1.159920105109047,-0.6567050477010166,-0.8449635384243666,0.04602304714441496,0.8346570883032011,0.9006371959616,1.2270937411407992,-0.328650931576273,-0.10338929448276006,-0.9504743629000055,0.33577535399988157,0.960441949273285,0.7039614684340473,0.544750547752246,0.742564656435605,-0.21618698518710908
242,0.7068295187911875,0.7176456849592652,0.9124991305088123,-0.40638544370121327,0.054281497091009705,-0.2910097210152778,1.2290619402021747,1.1764485533713254,0.44345721514420544,1.141422355796268,0.7196847814196111,1.876597780889525,0.6287265746906081,0.5754667852545159,0.36649362176458533,-1.1079704994863406,-0.6201525851201428,-0.8449635384243666,0.04602304714441496,0.8292893113064462,0.9006371959616,1.2270937411407992,-0.328650931576273,-0.1756125325747579,-0.9436892617312013,0.3450900262425956,0.9603917157424358,0.7212106865113547,0.4854854879726268,0.7073658119714473,-0.2814085888244136
243,0.8133604032460995,0.8262655831542802,0.9720051528972216,-0.20645436038918663,0.08426440155259497,-0.12905504451793748,1.2566911355637147,1.2355693232130573,0.4440606733972061,1.2171097409951894,0.7213533828426569,1.9715389025810457,0.6997771134315501,0.6511623589637693,0.40586909064716736,-1.0958514087390139,-0.5031768366372692,-0.7166127846108468,0.21012039248385664,0.9430861836376445,0.9787439979719407,1.2640130397658842,-0.15712385576539803,-0.17449940658104895,-0.8546500895430519,0.34122332950398176,0.9875160555546694,0.7407766519562919,0.5445513928485244,0.777763500899763,-0.2626243861184322
244,0.8354705868122131,0.8488093356098493,1.0076175690935671,-0.24899288875344766,0.13161128247500087,-0.10498194014936131,1.2645032511379386,1.2518075698621782,0.49040626722766084,1.283804071963696,0.7414172215586455,2.0206131255857303,0.701482067121363,0.6529787765446218,0.40586909064716736,-1.0698540854200387,-0.4217329598450022,-0.7392489631541529,0.21012039248385664,0.9667044024233649,1.0177973989771112,1.2640130397658842,-0.132619987792416,-0.1034167912789426,-0.826232738106273,0.39140341555972225,0.9484007935069328,0.7512934542808476,0.5447332707467422,0.777763500899763,-0.26328388839454164
245,0.8224054783413276,0.8354880273406491,0.9550522061617047,-0.26317239820820126,0.008758040904346303,-0.10498194014936131,1.2379626404996102,1.1930135009589904,0.482440618288051,1.2074417283236005,0.7154905557744867,1.900681965599753,0.671970321613607,0.6108454506772661,0.345804810538106,-1.143047568777015,-0.45080868295782034,-0.7544770967158622,0.21012039248385664,0.9183944094525732,0.9592172974693555,1.2363235657970704,-0.132619987792416,-0.1751071397342841,-0.91245893374105,0.344096987234519,0.9489949080545955,0.6642423739773644,0.4817836661826481,0.777763500899763,-0.20351525223607803
246,0.7761750945212714,0.7678567699739419,0.8933403942324076,-0.2819307075910524,0.04893554729758273,-0.12787910297998153,1.2254205836636527,1.222864286714118,0.49960565304007143,1.2074033784121703,0.7341042557864377,1.9919916343259636,0.6562977255098236,0.5813042233328592,0.3241293283008144,-1.1853222922221753,-0.41644464836730627,-0.7704832920639834,0.21012039248385664,0.8475397530954122,0.8811104954590148,1.199404267171985,-0.15712385576539803,-0.17504650217629808,-0.8054480370871773,0.34759169286797725,0.8147142430153544,0.6710778460972088,0.48183853566008794,0.777763500899763,-0.2587436616171317
247,0.7007994687277017,0.6910030684208651,0.8225853150299887,-0.3371669866720453,-0.055932095743247916,-0.2243754601680372,1.153806288075031,1.2921490857550015,0.4908085727296613,1.2729357070643372,0.7236560582776689,1.9941200729044197,0.6712248600642292,0.5761219270540693,0.36310168730438125,-1.2420724076278615,-0.4135542848153443,-0.7419261736109087,0.3353775603897007,0.7831264291343567,0.8225303939512593,1.1347954945780858,-0.2306354596843444,-0.1029547328712588,-0.7745906443275677,0.3424661773610497,0.6737125856567078,0.6794878392806895,0.49288378785734094,0.777763500899763,-0.25265312211974994
248,0.6595941266272171,0.64898971157185,0.807288387219262,-0.3464722897517274,-0.10804474586134485,-0.2472011173340509,1.1569503616342514,1.287647872823948,0.47348932086854073,1.1967037531231046,0.6720260149803193,1.9036015038800838,0.6418656505091859,0.5448433153742596,0.3440225514560883,-1.2884891108244643,-0.41939276528264724,-0.7450570471852074,0.29878301785067957,0.739110657760969,0.8030036934486741,1.1255656699218144,-0.25513932765732666,-0.1750372301012273,-0.7990135610343809,0.35276702159137413,0.5853029697014365,0.5926804256423106,0.4297518963714423,0.777763500899763,-0.2629220018850883
249,0.6696442100663597,0.6592368717789269,0.8315317441956886,-0.3836935020704558,-0.13415287275947685,-0.19493393249411087,1.1569503616342514,1.3195133143667646,0.47348932086854073,1.1967190930876772,0.6720260149803193,1.908336303935322,0.6573516614372305,0.5613417473698304,0.3718652125153619,-1.352980402782015,-0.48408471672627684,-0.6678711818423968,0.3949090172011028,0.7498462117544782,0.8225303939512593,1.1255656699218144,-0.20613159171136236,-0.17497465654432665,-0.8265869357708803,0.3435832848240471,0.5989273192045739,0.5927594319623214,0.4299223555374606,0.8481611898280782,-0.23518523807233427
250,0.6796942935055023,0.6694840319860037,0.8315317441956886,-0.3464722897517274,-0.09262851855006683,-0.19493393249411087,1.1577312809361973,1.3195133143667646,0.5314213131566096,1.1226155592308285,0.7052236742868647,1.8979079951227893,0.6688942524823679,0.5736389525245816,0.3718652125153619,-1.2977996626491854,-0.480221638044311,-0.6678711818423968,0.3949090172011028,0.7605817657479873,0.8225303939512593,1.1255656699218144,-0.20613159171136236,-0.1755838832441043,-0.8754889324765338,0.2759666025298009,0.572551593748861,0.5922194147225008,0.36717894409861873,0.8481611898280782,-0.2580923388166797
251,0.6867293519129022,0.6766570441309576,0.7923897649728847,-0.3544482638200264,-0.11194024416043123,-0.17011521875942956,1.1736831822069462,1.3618815860820375,0.537214512385416,1.1224238096736772,0.7108954768522785,1.9269493938289715,0.6720264524137055,0.5769759246992636,0.31930496139639764,-1.323562684441222,-0.5471475082835954,-0.6401476382635782,0.3949090172011028,0.7680966535434439,0.783476992946089,1.144025319234357,-0.1816277237383803,-0.17674805313339478,-0.961403015648437,0.22826736849263546,0.6111356938413036,0.5916093164429014,0.36711873846554083,0.8481611898280782,-0.28325370721884624
252,0.6515540598759029,0.6407919834061886,0.7466247910163398,-0.3801486247067674,-0.2589124220084078,-0.26132564613975406,1.1268594500114841,1.3053562736965176,0.47762732031768845,1.1226078892485427,0.6531222454352554,1.8337281476041252,0.6670315987452363,0.5585593005957115,0.29878406480323394,-1.413345045497811,-0.5386755149450537,-0.7023162331988095,0.2859123791401987,0.7305222145661614,0.7248968914383335,1.0701867219841863,-0.2796431956303087,-0.17673895156436037,-0.8704803334855767,0.19997118895774413,0.5523148298557538,0.5897126930909005,0.36785187837375516,0.8481611898280782,-0.2291126632932364
253,0.6415039764367603,0.6305448231991116,0.7466247910163398,-0.3721726506384685,-0.28926829971139456,-0.26132564613975406,1.1071669809736122,1.2765158408439246,0.49935181742571405,1.0492023237797263,0.6673826670806841,1.834539238135442,0.6528948695601338,0.5434983616499798,0.29878406480323394,-1.3931273514578135,-0.5157514673540864,-0.7023162331988095,0.2859123791401987,0.7197866605726523,0.7248968914383335,1.0517270726716437,-0.2796431956303087,-0.16130163291260805,-0.9291778359442245,0.15852713278938813,0.4587361418864291,0.5864852518232624,0.36793663861633547,0.8481611898280782,-0.23444095065924897
254,0.6515540598759029,0.6407919834061886,0.7664208857561547,-0.32077192886498646,-0.2297169055008937,-0.26132564613975406,1.1455134368316422,1.3518446072478747,0.5384559122201602,1.0471160885979158,0.725155898497707,1.8627589195879006,0.6635812323531768,0.5548833613532751,0.3179973262806812,-1.3599177621778054,-0.4683999129509962,-0.7023162331988095,0.35224562064929127,0.7305222145661614,0.7444235919409186,1.0794165466404575,-0.2796431956303087,-0.08915327934496975,-0.825470599516166,0.1574756758989504,0.5001693427786474,0.5867591497806155,0.3060692972679407,0.9185588787563939,-0.2657001742536199
255,0.666629185034617,0.656162723716804,0.7951002008035282,-0.2888680325917907,-0.2100322066491274,-0.23377226566363998,1.158967365566967,1.3784888837913651,0.5326627129913531,0.9911942477501917,0.720274974921945,1.8671815627173791,0.6935697635649279,0.5868324375319656,0.3539420471462361,-1.318340571494089,-0.40978608764490243,-0.6492296889079594,0.35224562064929127,0.7466255455564255,0.7639502924435038,1.088646371296729,-0.25513932765732666,-0.08971781188027811,-0.7943200456673638,0.05514697363328192,0.5107271316362046,0.5866767974577392,0.24322605203065864,0.8833600342922362,-0.2663711284366743
256,0.6555740932515601,0.6448908474890194,0.7951002008035282,-0.3145683934785319,-0.15462495956531389,-0.23377226566363998,1.1372919257853555,1.3878966608179606,0.5326627129913531,0.9258114837526029,0.720274974921945,1.8867953072115817,0.6670571286094347,0.558586499512869,0.3539420471462361,-1.2391976898715096,-0.4422435831392742,-0.6492296889079594,0.35224562064929127,0.7348164361635653,0.7639502924435038,1.0701867219841863,-0.25513932765732666,-0.0898797537649836,-0.7364321803401702,-0.026965118253801715,0.47818759089421625,0.5838599138688745,0.24105348649512812,0.8833600342922362,-0.2950827778953694
257,0.6706492184102739,0.6602615877996346,0.822278812948286,-0.2622814523641277,-0.1786402921644685,-0.20657443552056345,1.1415106468260559,1.4176627463297615,0.4924321627913058,1.001587073747814,0.662501743504922,1.8645611260406951,0.6948211135679304,0.5881655964082653,0.3872203922042806,-1.2308783917350614,-0.33949831839483374,-0.6000810991760247,0.35224562064929127,0.7509197671538291,0.783476992946089,1.0701867219841863,-0.2306354596843444,-0.08993515096024352,-0.6515324982362479,-0.028188404922778007,0.4814586540975851,0.5834572052248618,0.25389175295841,0.8833600342922362,-0.2698503142407882
258,0.6485390348441602,0.6377178353440655,0.8002770300406931,-0.2920584222191102,-0.16430154310612918,-0.23228069087373482,1.1229264450218936,1.395810083551586,0.4924321627913058,0.9352685719113253,0.662501743504922,1.8517341112236598,0.6660273639137902,0.5574894124139724,0.36368904874707153,-1.2119586009412826,-0.37299920371761264,-0.6348344002612313,0.35224562064929127,0.7273015483681088,0.7639502924435038,1.0517270726716437,-0.25513932765732666,-0.09035565337784132,-0.5944140307407334,-0.02439479642194688,0.4807537989705771,0.5799730025379132,0.19126702998591757,0.8129623453639206,-0.23861740551319457
259,0.5922585675849614,0.6008280585985888,0.7276963671383903,-0.31510012508308505,-0.22590429014434085,-0.2843829431304623,1.1144152634217586,1.3835708983909407,0.46925936587607875,0.9223868366618734,0.6503732979051254,1.8339903991142432,0.5840749674933146,0.507070871279492,0.28067827167637527,-1.3060763507380129,-0.41037011620515335,-0.7114582268529045,0.35224562064929127,0.6886535539914755,0.7053701909357482,1.0424972480153725,-0.30414706360329097,-0.09057549177413163,-0.6521016697962526,-0.026537870309714523,0.4700615461451,0.6445348184080308,0.14487065143728806,0.742564656435605,-0.24118626086889242
260,0.6173837761828181,0.6059516387021272,0.748919393354443,-0.3093396993670914,-0.22598717308687438,-0.2589454345561247,1.1321355843896175,1.395810083551586,0.47199504328968184,0.9253206048862945,0.6563430488390761,1.8475483307684666,0.6185566777653376,0.5177205633390557,0.3026898279432206,-1.3072692946033344,-0.397312945889378,-0.6789494904228439,0.35224562064929127,0.6940213309882302,0.7248968914383335,1.060956897327915,-0.2796431956303087,-0.09025275406427866,-0.7697072949380166,-0.01073902881280108,0.46717269253954274,0.7226038927872855,0.1450757814781955,0.742564656435605,-0.2945426937202706
261,0.5832134924897331,0.5711112939980658,0.686256332999358,-0.2673329026073835,-0.24018087699577972,-0.2619440866134528,1.1079585627980513,1.3523467586904518,0.5059818120986819,0.9987300053462538,0.6549679212754688,1.782447819981791,0.584698123999597,0.4816484561083404,0.25759717215323247,-1.3433055590908078,-0.36106143381121675,-0.7298683615146568,0.27440506166052403,0.6360493394232802,0.6467900894279927,1.0240375987028298,-0.2796431956303087,-0.15848886174445762,-0.6484887481614877,-0.0030125616345296606,0.47255209993825115,0.7223946451298573,0.14538299965952292,0.6721669675072897,-0.37681869080156455
262,0.5952735926167043,0.6039022066607118,0.6870131503624336,-0.1925739710624547,-0.1874466048086795,-0.23763828540498283,1.121884239179741,1.373304018896321,0.5254569351471708,0.9987223353639678,0.7670061227963487,1.7837785765233214,0.5742289215782856,0.4881323796590291,0.24269829403399695,-1.3141191403167138,-0.3471619875419738,-0.7298925083978772,0.3771680775263927,0.6704031122025098,0.6467900894279927,1.0424972480153725,-0.25513932765732666,-0.15842335289377266,-0.6030078492079013,0.011400085184984799,0.5265480423432735,0.8096274910454209,0.15591584708750125,0.6721669675072897,-0.3114942379501652
263,0.5952735926167043,0.6243965270748657,0.6634498139655056,-0.2058672611762862,-0.20874752103985386,-0.2132018517744534,1.1593589443667973,1.4150975389604519,0.5080773374607509,0.9332398615966597,0.7510448083800627,1.760320071408218,0.5635472296720111,0.5082136315866715,0.21615135832893442,-1.3339835070299608,-0.3628137534094454,-0.7048672714259971,0.3771680775263927,0.6918742201895283,0.6272633889254076,1.088646371296729,-0.2306354596843444,-0.15836978162391088,-0.5252085094841092,0.028561975607947352,0.619604815763951,0.8178683781821825,0.1439507046139024,0.6721669675072897,-0.2530383523463198
264,0.5078378666961633,0.5352462332732966,0.6386471777158411,-0.15136477170957702,-0.09530149344678011,-0.2560933156908703,1.1250938423736636,1.3640232922347155,0.5095532239309469,0.9352148820353221,0.7546363186622375,1.8318542449400284,0.5001556364828906,0.44067771842083614,0.20593127719414892,-1.3162841321791392,-0.3390747590300082,-0.7680859672946233,0.3771680775263927,0.5898864572511905,0.5882099879202372,1.033267423359101,-0.2796431956303087,-0.15746447011349962,-0.4956836662780947,0.005655597950747307,0.4936091595479591,0.9045724566198985,0.1438550458718869,0.6017692785789741,-0.2812887997303362
265,0.5178879501353061,0.5454933934803736,0.6386471777158411,-0.16199940380064223,-0.11575285951698368,-0.23006966615529464,1.1250938423736636,1.3640232922347155,0.5327260208461739,0.9475597185247492,0.7687358446255911,1.836695755208833,0.5269891068615793,0.46926546695756394,0.20593127719414892,-1.3553044667211438,-0.36867794624123584,-0.7005178274705472,0.3771680775263927,0.6006220112446997,0.5882099879202372,1.033267423359101,-0.25513932765732666,-0.15745561243284528,-0.5822814299663719,0.09154242635231291,0.49877954304850386,0.9048353575896391,0.14405584817936287,0.6369681230431318,-0.2535861608695118
266,0.5219079835109631,0.5495922575632044,0.6287710411872154,-0.19124464205107156,-0.06857174447964524,-0.1810576780155635,1.140252189845333,1.4080008685731868,0.49962202525299215,0.964065520404368,0.7408448527640945,1.8708624259240427,0.5781849060405031,0.5238082678852546,0.2591432834334253,-1.2240478920109,-0.3590020834159257,-0.6495139254954324,0.3771680775263927,0.6049162328421034,0.5882099879202372,1.0517270726716437,-0.20613159171136236,-0.08527628072426524,-0.4999795145652586,0.15362152548883354,0.624308820027,0.9713066752745023,0.14430920907525926,0.6369681230431318,-0.2513432265290591
267,0.4606024745321932,0.5075789007141892,0.5248064150634872,-0.2905012082343472,-0.08746905537734119,-0.15836495198974024,1.1287290814954183,1.3676654026977448,0.47199523620340933,0.9641690651652297,0.7347536483580613,1.957675745767672,0.6221888924737082,0.5586403294231446,0.2849213019502236,-1.1823740721917544,-0.3946051946465059,-0.6344987833123044,0.3771680775263927,0.5609004614687155,0.47104978490472615,1.033267423359101,-0.1816277237383803,-0.013283966079200897,-0.4454801051059394,0.15391393986105026,0.6200858235972254,0.9759438626001508,0.14449124530518806,0.6369681230431318,-0.24281399575544327
268,0.44552734937347915,0.49220816040357396,0.4912540794174755,-0.30645315637094506,-0.09327086135470398,-0.18689950632621397,1.094480687975049,1.3470953436042232,0.47199523620340933,0.9639888205815071,0.7347536483580613,1.9644388432981117,0.5854605926715493,0.5195108622275938,0.24089818941653302,-1.1973824998716391,-0.42818077545849936,-0.6995162561724253,0.3771680775263927,0.5447971304784518,0.45152308440214095,1.0148077740465582,-0.20613159171136236,-0.013369788889514286,-0.4998078320539535,0.15126888499181557,0.6058055422522,0.9648306013877417,0.1443587329725543,0.6369681230431318,-0.2488738493986149
269,0.4666325245956786,0.5137271968384352,0.5345026520364876,-0.3492955313663793,-0.10329969740128768,-0.11992707604697228,1.1655764152129082,1.3990589428848856,0.4969059928872788,0.9732579941742207,0.7867806339587468,2.0827594995280445,0.5658657236084768,0.4986349493665381,0.23186483732633797,-1.2310036358566543,-0.4518896236323543,-0.7128575601047789,0.3771680775263927,0.5673417938648212,0.5101031859098965,1.1347954945780858,-0.132619987792416,-0.012902371412370727,-0.4390396390288841,0.2284376820273399,0.4604511443583136,1.0399952384364688,0.1487823192912784,0.7073658119714473,-0.3023046899977415
270,0.4716575663152499,0.5188507769419738,0.5324988268669728,-0.34264888630946355,-0.08645373933130253,-0.09237369557085821,1.1478176657862142,1.3808120904654564,0.45056039905682416,0.9731697893779305,0.7778166382993431,2.0807550822141785,0.5465780697868563,0.47808633640166903,0.17921475320608285,-1.1920247206740844,-0.44046697907583127,-0.6597710158139289,0.501266209066971,0.5727095708615757,0.5101031859098965,1.1255656699218144,-0.10811611981943395,-0.012943171995968122,-0.41333426426116526,0.24959537988663444,0.45435944718069565,1.0503978675339438,0.14884629661189883,0.7073658119714473,-0.30714649407468847
271,0.376181773643395,0.462491395803051,0.43400920519539,-0.338660899275314,0.06957339998848606,0.02010663417208085,1.066909134198952,1.2973158005979022,0.36765328120456614,0.896934000445555,0.6743975919623798,2.1710397403065835,0.4456354245912602,0.3931800771376528,0.06443079560948832,-1.1194796399442413,-0.4362278969482353,-0.5892496650451384,0.46829526329895627,0.5458706858778025,0.47104978490472615,1.0978761959530001,0.014403220045476724,-0.08528030380339244,-0.4726332002506412,0.19905805664240428,0.30524636870566046,1.0631834995464537,0.08571184166020425,0.7073658119714473,-0.38980373260611906
272,0.3580916234529383,0.44404650743031254,0.43400920519539,-0.3578032370392315,0.10457072247336338,0.06784813657826809,1.0600505623624132,1.3050598228448753,0.37344648043337314,0.8271870165271934,0.6841125321884457,2.207198799456046,0.43114399588824615,0.3777412496638606,0.06443079560948832,-1.087122667591499,-0.47913936074122015,-0.5464944382637086,0.3683482083899094,0.5265466886894861,0.47104978490472615,1.088646371296729,0.06341095599144105,-0.08522375839027006,-0.44537393465176855,0.19597376029037236,0.31649974419060994,1.0453785348887499,0.08554535398126842,0.7073658119714473,-0.3881294392915641
273,0.3631166651725096,0.44917008753385096,0.4526471916580722,-0.4003417654034924,0.06091213249370943,0.06784813657826809,1.0354561286820054,1.2811199040704444,0.3502736835181461,0.8119889466273492,0.6734716559109218,2.164902956438466,0.43585623894994696,0.3827615626457712,0.08137529952408264,-1.164130824782597,-0.5360016478932275,-0.5464944382637086,0.3683482083899094,0.5319144656862407,0.49057648540731125,1.088646371296729,0.06341095599144105,-0.0851841189743609,-0.3925098784795225,0.18885286361507475,0.31040352070956545,0.9616370501257683,0.085421749692275,0.7073658119714473,-0.44474966882739153
274,0.3580916234529383,0.44404650743031254,0.4526471916580722,-0.3875802068942141,0.046946356676771994,0.04241062800393049,1.0354561286820054,1.2811199040704444,0.32544568682325914,0.7361711717295644,0.659926842867504,2.145160281855863,0.42973485564958713,0.376239984779846,0.08137529952408264,-1.188710676175229,-0.5156970451610933,-0.5790031746937692,0.3683482083899094,0.5265466886894861,0.49057648540731125,1.088646371296729,0.038907088018459,-0.15747636668654172,-0.47161978218721,0.2336120680084578,0.36830952546717344,0.9591736884176005,0.022284218581625798,0.6369681230431318,-0.5103079979519007
275,0.353066581733367,0.4389229273267741,0.4526471916580722,-0.403532155030812,0.033374274836870325,0.016204338308024244,1.0503449976477865,1.2903824806799096,0.32544568682325914,0.6595825636120297,0.659926842867504,2.131512167219726,0.4187845923088379,0.3645738316368328,0.08137529952408264,-1.2140995261770053,-0.5522506745267254,-0.6182101860199759,0.3683482083899094,0.5211789116927315,0.49057648540731125,1.0978761959530001,0.014403220045476724,-0.22936358918092226,-0.4431006335591354,0.13485497343506903,0.2603408131469301,0.9729735527926391,-0.04067139881768091,0.6369681230431318,-0.5782937114775467
276,0.33497643154291024,0.4204780389540357,0.4526471916580722,-0.2944385541633009,0.002956234926982727,0.016204338308024244,1.0666075838409637,1.3411481765192435,0.2690548340736233,0.5837571187319588,0.6507186235472633,2.24605990135219,0.4099253930629146,0.3551354490234393,0.08137529952408264,-1.2489221038673506,-0.5128443306011724,-0.6182101860199759,0.337797360311751,0.5018549145044147,0.49057648540731125,1.1255656699218144,0.014403220045476724,-0.22932073604998035,-0.34852562056393327,0.2364807841982169,0.2965531811149918,0.9783192692547862,0.011904941603833877,0.6369681230431318,-0.6331657046940055
277,0.34000147326248165,0.4256016190575741,0.4526471916580722,-0.3077318442771324,0.025769764859398133,0.04547852382671232,1.1090760239262085,1.363000839297419,0.2690548340736233,0.5101367937591326,0.6507186235472633,2.2383371567673143,0.42406212224801704,0.37019638796917104,0.08137529952408264,-1.176554585524301,-0.5326289313298703,-0.5431344751043357,0.337797360311751,0.5072226915011693,0.49057648540731125,1.144025319234357,0.038907088018459,-0.22901755257665893,-0.3512545425618635,0.21593534459848754,0.13595200705509747,0.9744930706767636,0.010934952535290195,0.6369681230431318,-0.6268568217541971
278,0.30985122294505363,0.39486013843634354,0.4464270313773435,-0.30640251526574924,0.048293204492945184,0.04378301399498105,1.0821681664555594,1.332109450552855,0.25719256898606635,0.5097379546802566,0.6344431503932492,2.22355591459811,0.4280289162150602,0.37442251700974793,0.06985020781941129,-1.1382573651262444,-0.5276246860393212,-0.4880254045344527,0.21369922877117276,0.4750160295206417,0.49057648540731125,1.1255656699218144,0.038907088018459,-0.22901802740359464,-0.348442696378543,0.20561045686905305,0.13307941985247973,0.9059649254201191,0.010579294274927455,0.6369681230431318,-0.6281831884755315
279,0.2947760977863398,0.39998371853988196,0.42778904491466124,-0.3262538285024045,0.06076708734427505,0.0682194476255105,1.0821681664555594,1.332109450552855,0.25791671888966766,0.5850725206940192,0.63577325992794,2.1903179566987254,0.41389218702995767,0.37944282999165846,0.05290570390481706,-1.1258373601353424,-0.5437069490722121,-0.4630001675625728,0.21369922877117276,0.4803838065173963,0.47104978490472615,1.1255656699218144,0.06341095599144105,-0.229061497809553,-0.3739646249496547,0.166737235327216,0.132529119127901,0.8274457511132676,0.012547964379915013,0.6369681230431318,-0.6019033328668898
280,0.2797009726276258,0.3846129782292667,0.4061966324573865,-0.2774231428175965,0.02295174481325047,0.06638755467950784,1.0707580194305453,1.3074314296580103,0.23892789919524518,0.5872814755924068,0.6370759199619335,2.1511169072221255,0.38253696582508534,0.34603771442262365,0.030172266345990524,-1.145237331441694,-0.5730098884507033,-0.4924629801369486,0.13521267896329095,0.4471035891375177,0.45152308440214095,1.1163358452655432,0.06341095599144105,-0.30114991526808704,-0.4191247696889302,0.07393629148468901,0.037845060216442176,0.7413901952637654,0.07507965050812881,0.6369681230431318,-0.6404932240194072
281,0.30784120625722516,0.4133050268090818,0.45136781910319923,-0.18312940494348473,0.05614636329801799,0.0391897245364313,1.0938042361303746,1.3559041689101545,0.2544453971295497,0.601352058096199,0.6568897098314121,2.0704468121411583,0.38536713900794284,0.34905291439955916,0.022049071169333953,-1.086813382185012,-0.5300850604495603,-0.5416115698688834,0.14223272939088497,0.4771631403193434,0.5101031859098965,1.1532551438906284,0.038907088018459,-0.30116332697071496,-0.4424404825429184,0.16790726848460188,0.12368138706090726,0.7435311185197293,0.0742716705929839,0.6369681230431318,-0.6110904633547701
282,0.295781106130254,0.4010084345605895,0.43256464058445143,-0.10336966426049546,-0.0034671931193833477,0.0391897245364313,1.0786458886587051,1.3422129795782023,0.1849270063838671,0.5983607650046322,0.6245984350704835,2.0370418663420895,0.41610191189608753,0.33882306760964925,0.04104308508042755,-1.1406077491362778,-0.5169331933968747,-0.5416115698688834,0.14223272939088497,0.46428047552713225,0.49057648540731125,1.1347954945780858,0.038907088018459,-0.30087125876429616,-0.47511151614188096,0.16641183140301913,0.12501225675232888,0.7461803032593415,0.13588924555230017,0.6721669675072897,-0.6041906717922272
283,0.31990130638419634,0.4256016190575741,0.5052947115137313,-0.1432495346019902,0.06973916587355353,0.09200835292754629,1.1210195754972474,1.3614641348827858,0.3587229832480726,0.6717279805620183,0.7273341115949932,2.0376483884058763,0.45326833812339445,0.3784193043990191,0.12457106825824858,-0.9568935801428705,-0.6449224960819772,-0.4593702490904174,0.14223272939088497,0.49004580511155454,0.5491565869150667,1.1717147932031708,0.08791482396442309,-0.2288367363212617,-0.429262382320931,0.20579744837171401,0.06579197130461943,0.8324889175140787,0.13654421671785213,0.7073658119714473,-0.5636952160163231
284,0.33095639816725314,0.4368734952853587,0.47815252756682947,-0.14844024788453392,0.2257663051933425,0.13807009102291556,1.0905102642151412,1.3635695409311814,0.337009214286767,0.6732734819926611,0.6937280521701754,2.019152216063282,0.47883777023025265,0.4056603762761159,0.13793891684565965,-0.8461030298157611,-0.5927262546053689,-0.38430231514298735,0.20689821032704264,0.4857515835141509,0.5101031859098965,1.1163358452655432,0.1369225599103874,-0.22872175266218683,-0.3369283577640292,0.2347516170228909,0.05470358752046198,0.833431489648559,0.1367408778971267,0.7073658119714473,-0.4899660073762206
285,0.3329664148550817,0.4389229273267741,0.5011275330406061,-0.004075117248323234,0.29178256892147686,0.18412008597941096,1.107960456976166,1.3815320425337292,0.43889595627911576,0.68482447531548,0.7051613883790154,1.9566101099449085,0.48795841737598616,0.4153772993358157,0.16335567271755114,-0.7777462664932348,-0.471767754773424,-0.3510037776784608,0.2557285611775823,0.4878986943128526,0.5296298864124817,1.1255656699218144,0.1859302958563517,-0.2286141892531338,-0.25036584850323074,0.28268378625064916,0.05050500682501656,0.8329745960843007,0.14561510829303087,0.777763500899763,-0.46456841014015526
