,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
291,291,60,4,The mat was fading; the wall-paper was flapping.,the mat was fading  the wall paper was flapping ,48,8
292,292,60,4,You couldn't tell any more that those were roses on it.,you could not tell any more that those were roses on it ,55,11
293,293,60,4,"Still, if every door in a house is left perpetually open, and no lockmaker in the whole of Scotland can mend a bolt, things must spoil.",still  if every door in a house is left perpetually open  and no lockmaker in the whole of scotland can mend a bolt  things must spoil ,135,26
294,294,60,4,What was the use of flinging a green Cashemere shawl over the edge of a picture frame?,what was the use of flinging a green cashemere shawl over the edge of a picture frame ,86,17
295,295,60,4,In two weeks it would be the colour of pea soup.,in two weeks it would be the colour of pea soup ,48,11
296,296,60,4,But it was the doors that annoyed her; every door was left open.,but it was the doors that annoyed her  every door was left open ,64,13
297,297,60,4,She listened.,she listened ,13,2
298,298,60,4,"The drawing-room door was open; the hall door was open; it sounded as if the bedroom doors were open; and certainly the window on the landing was open, for that she had opened herself.",the drawing room door was open  the hall door was open  it sounded as if the bedroom doors were open  and certainly the window on the landing was open  for that she had opened herself ,184,34
299,299,60,4,"That windows should be open, and doors shut - simple as it was, could none of them remember it?",that windows should be open  and doors shut   simple as it was  could none of them remember it ,95,19
300,300,60,4,"She would go into the maids' bedrooms at night and find them sealed like ovens, except for Marie's, the Swiss girl, who would rather go without a bath than without fresh air, but then at home, she had said, ""the mountains are so beautiful.""",she would go into the maids  bedrooms at night and find them sealed like ovens  except for marie own  the swiss girl  who would rather go without a bath than without fresh air  but then at home  she had said   the mountains are so beautiful  ,240,44
301,301,60,4,She had said that last night looking out of the window with tears in her eyes.,she had said that last night looking out of the window with tears in her eyes ,78,16
302,302,60,4,"""The mountains are so beautiful.""", the mountains are so beautiful  ,33,5
303,303,60,4,"Her father was dying there, Mrs. Ramsay knew.",her father was dying there  mrs  ramsay knew ,45,8
304,304,60,4,He was leaving them fatherless.,he was leaving them fatherless ,31,5
305,305,60,4,"Scolding and demonstrating (how to make a bed, how to open a window, with hands that shut and spread like a Frenchwoman's) all had folded itself quietly about her, when the girl spoke, as, after a flight through the sunshine the wings of a bird fold themselves quietly and the blue of its plumage changes from bright steel to soft purple.",scolding and demonstrating  how to make a bed  how to open a window  with hands that shut and spread like a frenchwoman own  all had folded itself quietly about her  when the girl spoke  as  after a flight through the sunshine the wings of a bird fold themselves quietly and the blue of its plumage changes from bright steel to soft purple ,338,61
306,306,60,4,She had stood there silent for there was nothing to be said.,she had stood there silent for there was nothing to be said ,60,12
307,307,60,4,He had cancer of the throat.,he had cancer of the throat ,28,6
308,308,60,4,"At the recolection - how she had stood there, how the girl had said, ""At home the mountains are so beautiful,"" and there was no hope, no hope whatever, she had a spasm of irritation, and speaking sharply, said to James:",at the recolection   how she had stood there  how the girl had said   at home the mountains are so beautiful   and there was no hope  no hope whatever  she had a spasm of irritation  and speaking sharply  said to james ,219,41
309,309,61,4,"""Stand still. Don't be tiresome,"" so that he knew instantly that her severity was real, and straightened his leg and she measured it.", stand still  do not be tiresome   so that he knew instantly that her severity was real  and straightened his leg and she measured it ,133,23
310,310,62,4,"The stocking was too short by half an inch at least, making allowance for the fact that Sorley's little boy would be less well grown than James.",the stocking was too short by half an inch at least  making allowance for the fact that sorley own little boy would be less well grown than james ,144,27
311,311,63,4,"""It's too short,"" she said, ""ever so much too short.""", it is too short   she said   ever so much too short  ,53,10
312,312,64,4,Never did anybody look so sad.,never did anybody look so sad ,30,6
313,313,64,4,"Bitter and black, half-way down, in the darkness, in the shaft which ran from the sunlight to the depths, perhaps a tear formed; a tear fell; the waters swayed this way and that, received it, and were at rest.",bitter and black  half way down  in the darkness  in the shaft which ran from the sunlight to the depths  perhaps a tear formed  a tear fell  the waters swayed this way and that  received it  and were at rest ,209,39
314,314,64,4,Never did anybody look so sad.,never did anybody look so sad ,30,6
315,315,65,4,"But was it nothing but looks, people said?",but was it nothing but looks  people said ,42,8
316,316,65,4,What was there behind it - her beauty and splendour?,what was there behind it   her beauty and splendour ,52,10
317,317,65,4,"Had he blown his brains out, they asked, had he died the week before they were married - some other, earlier lover, of whom rumours reached one?",had he blown his brains out  they asked  had he died the week before they were married   some other  earlier lover  of whom rumours reached one ,144,27
318,318,65,4,Or was there nothing?,or was there nothing ,21,4
319,319,65,4,"nothing but an incomparable beauty which she lived behind, and could do nothing to disturb?",nothing but an incomparable beauty which she lived behind  and could do nothing to disturb ,91,15
320,320,65,4,"For easily though she might have said at some moment of intimacy when stories of great passion, of love foiled, of ambition thwarted came her way how she too had known or felt or been through it herself, she never spoke.",for easily though she might have said at some moment of intimacy when stories of great passion  of love foiled  of ambition thwarted came her way how she too had known or felt or been through it herself  she never spoke ,220,41
321,321,65,4,She was silent always.,she was silent always ,22,4
322,322,65,4,She knew then - she knew without having learnt.,she knew then   she knew without having learnt ,47,9
323,323,65,4,Her simplicity fathomed what clever people falsified.,her simplicity fathomed what clever people falsified ,53,7
324,324,65,4,"Her singleness of mind made her drop plumb like a stone, alight exact as a bird, gave her, naturally, this swoop and fall of the spirit upon truth which delighted, eased, sustained - falsely perhaps.",her singleness of mind made her drop plumb like a stone  alight exact as a bird  gave her  naturally  this swoop and fall of the spirit upon truth which delighted  eased  sustained   falsely perhaps ,199,35
325,325,66,4,"""Nature has but little clay,"" said Mr. Bankes once, much moved by her voice on the telephone, though she was only telling him a fact about a train, ""like that of which she moulded you.""", nature has but little clay   said mr  bankes once  much moved by her voice on the telephone  though she was only telling him a fact about a train   like that of which she moulded you  ,185,35
326,326,66,4,"He saw her at the end of the line, Greek, blue-eyed, straight-nosed.",he saw her at the end of the line  greek  blue eyed  straight nosed ,68,12
327,327,66,4,How incongruous it seemed to be telephoning to a woman like that.,how incongruous it seemed to be telephoning to a woman like that ,65,12
328,328,66,4,The Graces assembling seemed to have joined hands in meadows of asphodel to compose that face.,the graces assembling seemed to have joined hands in meadows of asphodel to compose that face ,94,16
329,329,66,4,"Yes, he would catch the : at Euston.",yes  he would catch the   at euston ,36,8
330,330,67,4,"""But she's no more aware of her beauty than a child,"" said Mr. Bankes, replacing the receiver and crossing the room to see what progress the workmen were making with an hotel which they were building at the back of his house.", but she is no more aware of her beauty than a child   said mr  bankes  replacing the receiver and crossing the room to see what progress the workmen were making with an hotel which they were building at the back of his house ,225,42
331,331,67,4,And he thought of Mrs. Ramsay as he looked at that stir among the unfinished walls.,and he thought of mrs  ramsay as he looked at that stir among the unfinished walls ,83,16
332,332,67,4,"For always, he thought, there was something incongruous to be worked into the harmony of her face.",for always  he thought  there was something incongruous to be worked into the harmony of her face ,98,17
333,333,67,4,She clapped a deer-stalker's hat on her head; she ran across the lawn in galoshes to snatch a child from mischief.,she clapped a deer stalker own hat on her head  she ran across the lawn in galoshes to snatch a child from mischief ,114,21
334,334,67,4,"So that if it was her beauty merely that one thought of, one must remember the quivering thing, the living thing (they were carrying bricks up a little plank as he watched them), and work it into the picture; or if one thought of her simply as a woman, one must endow her with some freak of idiosyncrasy - she did not like admiration - or suppose some latent desire to doff her royalty of form as if her beauty bored her and all that men say of beauty, and she wanted only to be like other people, insignificant.",so that if it was her beauty merely that one thought of  one must remember the quivering thing  the living thing  they were carrying bricks up a little plank as he watched them   and work it into the picture  or if one thought of her simply as a woman  one must endow her with some freak of idiosyncrasy   she did not like admiration   or suppose some latent desire to doff her royalty of form as if her beauty bored her and all that men say of beauty  and she wanted only to be like other people  insignificant ,512,99
335,335,67,4,He did not know.,he did not know ,16,4
336,336,67,4,He did not know.,he did not know ,16,4
337,337,67,4,He must go to his work.,he must go to his work ,23,6
338,338,68,4,"Knitting her reddish-brown hairy stocking, with her head outlined absurdly by the gilt frame, the green shawl which she had tossed over the edge of the frame, and the authenticated masterpiece by Michael Angelo, Mrs. Ramsay smoothed out what had been harsh in her manner a moment before, raised his head, and kissed her little boy on the forehead.",knitting her reddish brown hairy stocking  with her head outlined absurdly by the gilt frame  the green shawl which she had tossed over the edge of the frame  and the authenticated masterpiece by michael angelo  mrs  ramsay smoothed out what had been harsh in her manner a moment before  raised his head  and kissed her little boy on the forehead ,347,59
339,339,68,4,"""Let us find another picture to cut out,"" she said.", let us find another picture to cut out   she said ,51,10
340,340,69,5,But what had happened?,but what had happened ,22,4
341,341,70,5,Some one had blundered.,some one had blundered ,23,4
342,342,71,5,Starting from her musing she gave meaning to words which she had held meaningless in her mind for a long stretch of time.,starting from her musing she gave meaning to words which she had held meaningless in her mind for a long stretch of time ,121,23
343,343,71,5,"""Some one had blundered"" - Fixing her short-sighted eyes upon her husband, who was now bearing down upon her, she gazed steadily until his closeness revealed to her (the jingle mated itself in her head) that something had happened, some one had blundered.", some one had blundered    fixing her short sighted eyes upon her husband  who was now bearing down upon her  she gazed steadily until his closeness revealed to her  the jingle mated itself in her head  that something had happened  some one had blundered ,255,43
344,344,71,5,But she could not for the life of her think what.,but she could not for the life of her think what ,49,11
345,345,72,5,He shivered; he quivered.,he shivered  he quivered ,25,4
346,346,72,5,"All his vanity, all his satisfaction in his own splendour, riding fell as a thunderbolt, fierce as a hawk at the head of his men through the valley of death, had been shattered, destroyed.",all his vanity  all his satisfaction in his own splendour  riding fell as a thunderbolt  fierce as a hawk at the head of his men through the valley of death  had been shattered  destroyed ,188,34
347,347,72,5,"Stormed at by shot and shell, boldly we rode and well, flashed through the valley of death, volleyed and thundered - straight into Lily Briscoe and William Bankes.",stormed at by shot and she will  boldly we rode and well  flashed through the valley of death  volleyed and thundered   straight into lily briscoe and william bankes ,163,28
348,348,72,5,He quivered; he shivered.,he quivered  he shivered ,25,4
349,349,73,5,"Not for the world would she have spoken to him, realising, from the familiar signs, his eyes averted, and some curious gathering together of his person, as if he wrapped himself about and needed privacy into which to regain his equilibrium, that he was outraged and anguished.",not for the world would she have spoken to him  realising  from the familiar signs  his eyes averted  and some curious gathering together of his person  as if he wrapped himself about and needed privacy into which to regain his equilibrium  that he was outraged and anguished ,276,47
350,350,73,5,"She stroked James's head; she transferred to him what she felt for her husband, and, as she watched him chalk yellow the white dress shirt of a gentleman in the Army and Navy Stores catalogue, thought what a delight it would be to her should he turn out a great artist; and why should he not?",she stroked james own head  she transferred to him what she felt for her husband  and  as she watched him chalk yellow the white dress shirt of a gentleman in the army and navy stores catalogue  thought what a delight it would be to her should he turn out a great artist  and why should he not ,292,56
351,351,73,5,He had a splendid forehead.,he had a splendid forehead ,27,5
352,352,73,5,"Then, looking up, as her husband passed her once more, she was relieved to find that the ruin was veiled; domesticity triumphed; custom crooned its soothing rhythm, so that when stopping deliberately, as his turn came round again, at the window he bent quizzically and whimsically to tickle James's bare calf with a sprig of something, she twitted him for having dispatched ""that poor young man,"" Charles Tansley.",then  looking up  as her husband passed her once more  she was relieved to find that the ruin was veiled  domesticity triumphed  custom crooned its soothing rhythm  so that when stopping deliberately  as his turn came round again  at the window he bent quizzically and whimsically to tickle james own bare calf with a sprig of something  she twitted him for having dispatched  that poor young man   charles tansley ,413,68
353,353,73,5,"Tansley had had to go in and write his dissertation, he said.",tansley had had to go in and write his dissertation  he said ,61,12
354,354,74,5,"""James will have to write HIS dissertation one of these days,"" he added ironically, flicking his sprig.", james will have to write his dissertation one of these days   he added ironically  flicking his sprig ,103,17
355,355,75,5,"Hating his father, James brushed away the tickling spray with which in a manner peculiar to him, compound of severity and humour, he teased his youngest son's bare leg.",hating his father  james brushed away the tickling spray with which in a manner peculiar to him  compound of severity and humour  he teased his youngest son own bare leg ,168,29
356,356,76,5,"She was trying to get these tiresome stockings finished to send to Sorley's little boy tomorrow, said Mrs. Ramsay.",she was trying to get these tiresome stockings finished to send to sorley own little boy tomorrow  said mrs  ramsay ,114,19
357,357,77,5,"There wasn't the slightest possible chance that they could go to the Lighthouse tomorrow, Mr. Ramsay snapped out irascibly.",there was not the slightest possible chance that they could go to the lighthouse tomorrow  mr  ramsay snapped out irascibly ,123,19
358,358,78,5,How did he know?,how did he know ,16,4
359,359,78,5,she asked.,she asked ,10,2
360,360,78,5,The wind often changed.,the wind often changed ,23,4
361,361,79,5,"The extraordinary irrationality of her remark, the folly of women's minds enraged him.",the extraordinary irrationality of her remark  the folly of women own minds enraged him ,86,13
362,362,79,5,"He had ridden through the valley of death, been shattered and shivered; and now, she flew in the face of facts, made his children hope what was utterly out of the question, in effect, told lies.",he had ridden through the valley of death  been shattered and shivered  and now  she flew in the face of facts  made his children hope what was utterly out of the question  in effect  told lies ,194,36
363,363,79,5,He stamped his foot on the stone step.,he stamped his foot on the stone step ,38,8
364,364,79,5,"""Damn you,"" he said.", damn you   he said ,20,4
365,365,79,5,But what had she said?,but what had she said ,22,5
366,366,79,5,Simply that it might be fine tomorrow.,simply that it might be fine tomorrow ,38,7
367,367,79,5,So it might.,so it might ,12,3
368,368,80,5,Not with the barometer falling and the wind due west.,not with the barometer falling and the wind due west ,53,10
369,369,81,5,"To pursue truth with such astonishing lack of consideration for other people's feelings, to rendthe thin veils of civilization so wantonly, so brutally, was to her so horrible an outrage of human decency that, without replying, dazed and blinded, she bent her head as if to let the pelt of jagged hail, the drench of dirty water, bespatter her unrebuked.",to pursue truth with such astonishing lack of consideration for other people own feelings  to rendthe thin veils of civilization so wantonly  so brutally  was to her so horrible an outrage of human decency that  without replying  dazed and blinded  she bent her head as if to let the pelt of jagged hail  the drench of dirty water  bespatter her unrebuked ,354,60
370,370,81,5,There was nothing to be said.,there was nothing to be said ,29,6
371,371,82,5,He stood by her in silence.,he stood by her in silence ,27,6
372,372,82,5,"Very humbly, at length, he said that he would step over and ask the Coastguards if she liked.",very humbly  at length  he said that he would step over and ask the coastguards if she liked ,93,18
373,373,83,5,There was nobody whom she reverenced as she reverenced him.,there was nobody whom she reverenced as she reverenced him ,59,10
374,374,84,5,"She was quite ready to take his word for it, she said.",she was quite ready to take his word for it  she said ,54,12
375,375,84,5,Only then they need not cut sandwiches - that was all.,only then they need not cut sandwiches   that was all ,54,11
376,376,84,5,"They came to her, naturally, since she was a woman, all day long with this and that; one wanting this, another that; the children were growing up; she often felt she was nothing but a sponge sopped full of human emotions.",they came to her  naturally  since she was a woman  all day long with this and that  one wanting this  another that  the children were growing up  she often felt she was nothing but a sponge sopped full of human emotions ,221,41
377,377,84,5,"Then he said, Damn you.",then he said  damn you ,23,5
378,378,84,5,"He said, It must rain.",he said  it must rain ,22,5
379,379,84,5,"He said, It won't rain; and instantly a Heaven of security opened before her.",he said  it will not rain  and instantly a heaven of security opened before her ,77,14
380,380,84,5,There was nobody she reverenced more.,there was nobody she reverenced more ,37,6
381,381,84,5,"She was not good enough to tie his shoe strings, she felt.",she was not good enough to tie his shoe strings  she felt ,58,12
382,382,85,5,"Already ashamed of that petulance, of that gesticulation of the hands when charging at the head of his troops, Mr. Ramsay rather sheepishly prodded his son's bare legs once more, and then, as if he had her leave for it, with a movement which oddly reminded his wife of the great sea lion at the Zoo tumbling backwards after swallowing his fish and walloping off so that the water in the tank washes from side to side, he dived into the evening air which, already thinner, was taking the substance from leaves and hedges but, as if in return, restoring to roses and pinks a lustre which they had not had by day.",already ashamed of that petulance  of that gesticulation of the hands when charging at the head of his troops  mr  ramsay rather sheepishly prodded his son own bare legs once more  and then  as if he had her leave for it  with a movement which oddly reminded his wife of the great sea lion at the zoo tumbling backwards after swallowing his fish and walloping off so that the water in the tank washes from side to side  he dived into the evening air which  already thinner  was taking the substance from leaves and hedges but  as if in return  restoring to roses and pinks a lustre which they had not had by day ,610,113
383,383,86,5,"""Some one had blundered,"" he said again, striding off, up and down the terrace.", some one had blundered   he said again  striding off  up and down the terrace ,79,14
384,384,87,5,But how extraordinarily his note had changed!,but how extraordinarily his note had changed ,45,7
385,385,87,5,"It was like the cuckoo; ""in June he gets out of tune""; as if he were trying over, tentatively seeking, some phrase for a new mood, and having only this at hand, used it, cracked though it was.",it was like the cuckoo   in june he gets out of tune   as if he were trying over  tentatively seeking  some phrase for a new mood  and having only this at hand  used it  cracked though it was ,192,38
386,386,87,5,"But it sounded ridiculous - ""Some one had blundered"" - said like that, almost as a question, without any conviction, melodiously.",but it sounded ridiculous    some one had blundered    said like that  almost as a question  without any conviction  melodiously ,129,21
387,387,87,5,"Mrs. Ramsay could not help smiling, and soon, sure enough, walking up and down, he hummed it, dropped it, fell silent.",mrs  ramsay could not help smiling  and soon  sure enough  walking up and down  he hummed it  dropped it  fell silent ,118,21
388,388,88,5,"He was safe, he was restored to his privacy.",he was safe  he was restored to his privacy ,44,9
389,389,88,5,"He stopped to light his pipe, looked once at his wife and son in the window, and as one raises one's eyes from a page in an express train and sees a farm, a tree, a cluster of cottages as an illustration, a confirmation of something on the printed page to which one returns, fortified, and satisfied, so without his distinguishing either his son or his wife, the sight of them fortified him and satisfied him and consecrated his effort to arrive at a perfectly clear understanding of the problem which now engaged the energies of his splendid mind.",he stopped to light his pipe  looked once at his wife and son in the window  and as one raises one own eyes from a page in an express train and sees a farm  a tree  a cluster of cottages as an illustration  a confirmation of something on the printed page to which one returns  fortified  and satisfied  so without his distinguishing either his son or his wife  the sight of them fortified him and satisfied him and consecrated his effort to arrive at a perfectly clear understanding of the problem which now engaged the energies of his splendid mind ,548,99
390,390,89,5,It was a splendid mind.,it was a splendid mind ,23,5
391,391,89,5,"For if thought is like the keyboard of a piano, divided into so many notes, or like the alphabet is ranged in twenty-six letters all in order, then his splendid mind had no sort of difficulty in running over those letters one by one, firmly and accurately, until it had reached, say, the letter Q. He reached Q. Very few people in the whole of England ever reach Q. Here, stopping for one moment by the stone urn which held the geraniums, he saw, but now far, far away, like children picking up shells, divinely innocent and occupied with little trifles at their feet and somehow entirely defenceless against a doom which he perceived, his wife and son, together, in the window.",for if thought is like the keyboard of a piano  divided into so many notes  or like the alphabet is ranged in twenty six letters all in order  then his splendid mind had no sort of difficulty in running over those letters one by one  firmly and accurately  until it had reached  say  the letter q  he reached q  very few people in the whole of england ever reach q  here  stopping for one moment by the stone urn which held the geraniums  he saw  but now far  far away  like children picking up shells  divinely innocent and occupied with little trifles at their feet and somehow entirely defenceless against a doom which he perceived  his wife and son  together  in the window ,678,122
392,392,89,5,They needed his protection; he gave it them.,they needed his protection  he gave it them ,44,8
393,393,89,5,But after Q?,but after q ,12,3
394,394,89,5,What comes next?,what comes next ,16,3
395,395,89,5,"After Q there are a number of letters the last of which is scarcely visible to mortal eyes, but glimmers red in the distance.",after q there are a number of letters the last of which is scarcely visible to mortal eyes  but glimmers red in the distance ,125,24
396,396,89,5,Z is only reached once by one man in a generation.,z is only reached once by one man in a generation ,50,11
397,397,89,5,"Still, if he could reach R it would be something.",still  if he could reach r it would be something ,49,10
398,398,89,5,Here at least was Q. He dug his heels in at Q. Q he was sure of.,here at least was q  he dug his heels in at q  q he was sure of ,64,17
399,399,89,5,Q he could demonstrate.,q he could demonstrate ,23,4
400,400,89,5,If Q then is Q - R - .,if q then is q   are    ,22,9
401,401,89,5,"Here he knocked his pipe out, with two or three resonant taps on the handle of the urn, and proceeded.",here he knocked his pipe out  with two or three resonant taps on the handle of the urn  and proceeded ,102,20
402,402,89,5,"""Then R...""", then r    ,11,2
403,403,89,5,He braced himself.,he braced himself ,18,3
404,404,89,5,He clenched himself.,he clenched himself ,20,3
405,405,90,5,"Qualities that would have saved a ship's company exposed on a broiling sea with six biscuits and a flask of water - endurance and justice, foresight, devotion, skill, came to his help.",qualities that would have saved a ship own company exposed on a broiling sea with six biscuits and a flask of water   endurance and justice  foresight  devotion  skill  came to his help ,184,32
406,406,90,5,R is then - what is R?,r is then   what is r ,22,7
407,407,91,5,"A shutter, like the leathern eyelid of a lizard, flickered over the intensity of his gaze and obscured the letter R. In that flash of darkness he heard people saying - he was a failure - that R was beyond him.",a shutter  like the leathern eyelid of a lizard  flickered over the intensity of his gaze and obscured the letter r  in that flash of darkness he heard people saying   he was a failure   that r was beyond him ,209,41
408,408,91,5,"He would never reach R. On to R, once more.",he would never reach r  on to r  once more ,43,10
409,409,92,5,"Qualities that in a desolate expedition across the icy solitudes of the Polar region would have made him the leader, the guide, the counsellor, whose temper, neither sanguine nor despondent, surveys with equanimity what is to be and faces it, came to his help again.",qualities that in a desolate expedition across the icy solitudes of the polar region would have made him the leader  the guide  the counsellor  whose temper  neither sanguine nor despondent  surveys with equanimity what is to be and faces it  came to his help again ,266,45
410,410,93,5,The lizard's eye flickered once more.,the lizard own eye flickered once more ,37,6
411,411,93,5,The veins on his forehead bulged.,the veins on his forehead bulged ,33,6
412,412,93,5,"The geranium in the urn became startlingly visible and, displayed among its leaves, he could see, without wishing it, that old, that obvious distinction between the two classes of men; on the one hand the steady goers of superhuman strength who, plodding and persevering, repeat the whole alphabet in order, twenty-six letters in all, from start to finish; on the other the gifted, the inspired who, miraculously, lump all the letters together in one flash - the way of genius.",the geranium in the urn became startlingly visible and  displayed among its leaves  he could see  without wishing it  that old  that obvious distinction between the two classes of men  on the one hand the steady goers of superhuman strength who  plodding and persevering  repeat the whole alphabet in order  twenty six letters in all  from start to finish  on the other the gifted  the inspired who  miraculously  lump all the letters together in one flash   the way of genius ,477,80
413,413,93,5,"He had not genius; he laid no claim to that: but he had, or might have had, the power to repeat every letter of the alphabet from A to Z accurately in order.",he had not genius  he laid no claim to that  but he had  or might have had  the power to repeat every letter of the alphabet from a to z accurately in order ,157,33
414,414,93,5,"Meanwhile, he stuck at Q. On, then, on to R.",meanwhile  he stuck at q  on  then  on to r ,44,10
415,415,94,5,"Feelings that would not have disgraced a leader who, now that the snow has begun to fall and the mountain top is covered in mist, knows that he must lay himself down and die before morning comes, stole upon him, paling the colour of his eyes, giving him, even in the two minutes of his turn on the terrace, the bleached look of withered old age.",feelings that would not have disgraced a leader who  now that the snow has begun to fall and the mountain top is covered in mist  knows that he must lay himself down and die before morning comes  stole upon him  paling the colour of his eyes  giving him  even in the two minutes of his turn on the terrace  the bleached look of withered old age ,345,66
416,416,94,5,"Yet he would not die lying down; he would find some crag of rock, and there, his eyes fixed on the storm, trying to the end to pierce the darkness, he would die standing.",yet he would not die lying down  he would find some crag of rock  and there  his eyes fixed on the storm  trying to the end to pierce the darkness  he would die standing ,170,34
417,417,94,5,He would never reach R.,he would never reach r ,23,5
418,418,95,5,"He stood stock-still, by the urn, with the geranium flowing over it.",he stood stock still  by the urn  with the geranium flowing over it ,68,12
419,419,95,5,"How many men in a thousand million, he asked himself, reach Z after all?",how many men in a thousand million  he asked himself  reach z after all ,72,14
420,420,95,5,"Surely the leader of a forlorn hope may ask himself that, and answer, without treachery to the expedition behind him, ""One perhaps.""",surely the leader of a forlorn hope may ask himself that  and answer  without treachery to the expedition behind him   one perhaps  ,132,22
421,421,95,5,One in a generation.,one in a generation ,20,4
422,422,95,5,Is he to be blamed then if he is not that one?,is he to be blamed then if he is not that one ,46,12
423,423,95,5,"provided he has toiled honestly, given to the best of his power, and till he has no more left to give?",provided he has toiled honestly  given to the best of his power  and till he has no more left to give ,102,21
424,424,95,5,And his fame lasts how long?,and his fame lasts how long ,28,6
425,425,95,5,It is permissible even for a dying hero to think before he dies how men will speak of him hereafter.,it is permissible even for a dying hero to think before he dies how men will speak of him hereafter ,100,20
426,426,95,5,His fame lasts perhaps two thousand years.,his fame lasts perhaps two thousand years ,42,7
427,427,95,5,And what are two thousand years?,and what are two thousand years ,32,6
428,428,95,5,"(asked Mr. Ramsay ironically, staring at the hedge).", asked mr  ramsay ironically  staring at the hedge  ,52,8
429,429,95,5,"What, indeed, if you look from a mountain top down the long wastes of the ages?",what  indeed  if you look from a mountain top down the long wastes of the ages ,79,16
430,430,95,5,The very stone one kicks with one's boot will outlast Shakespeare.,the very stone one kicks with one own boot will outlast shakespeare ,66,11
431,431,95,5,"His own little light would shine, not very brightly, for a year or two, and would then be merged in some bigger light, and that in a bigger still.",his own little light would shine  not very brightly  for a year or two  and would then be merged in some bigger light  and that in a bigger still ,146,29
432,432,95,5,"(He looked into the hedge, into the intricacy of the twigs.)", he looked into the hedge  into the intricacy of the twigs  ,60,11
433,433,95,5,"Who then could blame the leader of that forlorn party which after all has climbed high enough to see the waste of the years and the perishing of the stars, if before death stiffens his limbs beyond the power of movement he does a little consciously raise his numbed fingers to his brow, and square his shoulders, so that when the search party comes they will find him dead at his post, the fine figure of a soldier?",who then could blame the leader of that forlorn party which after all has climbed high enough to see the waste of the years and the perishing of the stars  if before death stiffens his limbs beyond the power of movement he does a little consciously raise his numbed fingers to his brow  and square his shoulders  so that when the search party comes they will find him dead at his post  the fine figure of a soldier ,415,78
434,434,95,5,Mr. Ramsay squared his shoulders and stood very upright by the urn.,mr  ramsay squared his shoulders and stood very upright by the urn ,67,12
435,435,96,5,"Who shall blame him, if, so standing for a moment he dwells upon fame, upon search parties, upon cairns raised by grateful followers over his bones?",who shall blame him  if  so standing for a moment he dwells upon fame  upon search parties  upon cairns raised by grateful followers over his bones ,148,26
436,436,96,5,"Finally, who shall blame the leader of the doomed expedition, if, having adventured to the uttermost, and used his strength wholly to the last ounce and fallen asleep not much caring if he wakes or not, he now perceives by some pricking in his toes that he lives, and does not on the whole object to live, but requires sympathy, and whisky, and some one to tell the story of his suffering to at once?",finally  who shall blame the leader of the doomed expedition  if  having adventured to the uttermost  and used his strength wholly to the last ounce and fallen asleep not much caring if he wakes or not  he now perceives by some pricking in his toes that he lives  and does not on the whole object to live  but requires sympathy  and whisky  and some one to tell the story of his suffering to at once ,400,75
437,437,96,5,Who shall blame him?,who shall blame him ,20,4
438,438,96,5,"Who will not secretly rejoice when the hero puts his armour off, and halts by the window and gazes at his wife and son, who, very distant at first, gradually come closer and closer, till lips and book and head are clearly before him, though still lovely and unfamiliar from the intensity of his isolation and the waste of ages and the perishing of the stars, and finally putting his pipe in his pocket and bending his magnificent head before her - who will blame him if he does homage to the beauty of the world?",who will not secretly rejoice when the hero puts his armour off  and halts by the window and gazes at his wife and son  who  very distant at first  gradually come closer and closer  till lips and book and head are clearly before him  though still lovely and unfamiliar from the intensity of his isolation and the waste of ages and the perishing of the stars  and finally putting his pipe in his pocket and bending his magnificent head before her   who will blame him if he does homage to the beauty of the world ,512,96
439,439,97,6,But his son hated him.,but his son hated him ,22,5
440,440,97,6,"He hated him for coming up to them, for stopping and looking down on them; he hated him for interrupting them; he hated him for the exaltation and sublimity of his gestures; for the magnificence of his head; for his exactingness and egotism (for there he stood, commanding them to attend to him) but most of all he hated the twang and twitter of his father's emotion which, vibrating round them, disturbed the perfect simplicity and good sense of his relations with his mother.",he hated him for coming up to them  for stopping and looking down on them  he hated him for interrupting them  he hated him for the exaltation and sublimity of his gestures  for the magnificence of his head  for his exactingness and egotism  for there he stood  commanding them to attend to him  but most of all he hated the twang and twitter of his father own emotion which  vibrating round them  disturbed the perfect simplicity and good sense of his relations with his mother ,477,84
441,441,97,6,"By looking fixedly at the page, he hoped to make him move on; by pointing his finger at a word, he hoped to recall his mother's attention, which, he knew angrily, wavered instantly his father stopped.",by looking fixedly at the page  he hoped to make him move on  by pointing his finger at a word  he hoped to recall his mother own attention  which  he knew angrily  wavered instantly his father stopped ,200,36
442,442,97,6,"But, no.",but  no ,8,2
443,443,97,6,Nothing would make Mr. Ramsay move on.,nothing would make mr  ramsay move on ,38,7
444,444,97,6,"There he stood, demanding sympathy.",there he stood  demanding sympathy ,35,5
