,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
327,327,"As to my own treatment while I lived on Colonel Lloyd s plantation, it was very similar to that of the other slave children.",-0.13400173103369445,-0.11854610301794113,0.019838112417739494,-0.07509150988451442,0.01559503025090593,-0.007156212840077223,-0.03283717312971087,0.06491160163877616,0.041721278363100425,0.013473368631236762,0.06445286874760552,0.10682493894660106,-0.7162187171942548,-0.5087860042576234,-0.060151015611274526,-0.16019073833693234,0.28028517392342606,0.6187080361188043,0.44232109638839967,-0.5849696349455831,-0.12923787224267608,-0.20623697795992987,0.05222474139258094,0.9142251477521969,-0.6278231869584394,-0.18737538975349516,-0.7763999768091459,-1.1256310591612744,-0.15647550152256057,-0.18298503282576858,-1.049762956040982
328,328,"I was not old enough to work in the field, and there being little else than field work to do, I had a great deal of leisure time.",-0.13146199987251492,-0.11589463483217978,0.027882487638340243,-0.06830437340755895,0.023013600913461555,-0.003344600528286747,-0.029143984527099615,0.06290872031587759,0.04732152553756773,0.013531972460657857,0.0705545114943671,0.10440786733527323,-0.7746351352582055,-0.5633529019310118,-0.06285328464848117,-0.23861817127470558,0.2182270356974401,0.6616673284378005,0.3492952841559605,-0.5657878781290147,-0.033021130352754266,-0.17070586356030906,0.08901669676919757,0.9147506345687123,-0.5728906231382427,-0.04645420885809899,-0.7058750442097746,-1.0018685677957482,-0.15659388951838163,-0.3289316688656187,-0.8384486084944824
329,329,"The most I had to do was to drive up the cows at evening, keep the fowls out of the garden, keep the front yard clean, and run of errands for my old master s daughter, Mrs. Lucretia Auld.",-0.1303075766174333,-0.10504771952679243,0.029618170639294394,-0.0643996751381006,0.012888528228739265,-0.005235960494986845,-0.014275970756861349,0.06284091443775862,0.047161518475440097,0.013635656158864407,0.06845606817625835,0.07765555456475233,-0.6899260971060768,-0.46640096698386857,0.008815991784671172,-0.1631814932147331,0.22381308465874894,0.6944716836869191,0.30278237803974095,-0.46639150189770523,0.06319561153716732,-0.02858140596182533,0.12580865214581438,0.9155705963266023,-0.43359540474111014,0.10095520421669749,-0.5246244164240639,-1.0008143904203453,-0.1559005536368946,-0.3289316688656187,-0.646728101684253
330,330,"The most of my leisure time I spent in helping Master Daniel Lloyd in finding his birds, after he had shot them.",-0.12291926778491105,-0.09733435753185031,0.03425554679427428,-0.0643514110564867,0.010716843971431885,-0.0013185628040719704,-0.009918171463175099,0.07157613708235339,0.05304177800863078,0.025135530686034274,0.07750362702578904,0.0783868170070872,-0.5492558378655507,-0.33500058510383457,0.15771387738314785,-0.21374519177284768,0.3081763415652784,0.7457595321289923,0.515603117068914,-0.4105900275222334,0.11130398248212822,0.006949708437795651,0.1626006075224312,0.8012058237901953,-0.42589671000210544,0.17760761861290095,-0.3508065478894967,-1.0114602112210134,-0.13695077319881405,-0.3289316688656187,-0.6249731821657832
331,331,My connection with Master Daniel was of some advantage to me.,-0.1381576547519882,-0.11324316664641841,0.016146307956258956,-0.07599847241817571,0.00034867230268265104,-0.012825089411185441,-0.02883090141076166,0.05446297661248302,0.040721234224802685,0.014686017101565535,0.06098997371846419,0.0798693816994595,-0.7019396729432342,-0.47762287317263924,-0.04570585773873584,-0.3565779524994993,0.06803457579322209,0.611209764921596,0.3735038416889468,-0.5256805684216442,-0.08112950129771518,-0.15294030636049866,0.05222474139258094,0.686528347924405,-0.5120770066498024,0.20081733691334203,-0.5523440062826797,-1.0072520060882806,-0.046227527415669635,-0.4748783049054688,-0.6504735154698955
332,332,"He became quite attached to me, and was a sort of protector of me.",-0.14254446312129831,-0.12023340095433471,0.005327967841354566,-0.08572368486337768,-0.00020640371084554158,-0.012763527358619756,-0.042816888947206644,0.03919752632135437,0.03624103648522884,0.015142611772549655,0.05005710742916877,0.08138199338604186,-0.726841695946662,-0.5008839046792416,-0.1415469950816551,-0.4081622746717765,-0.030074395758395205,0.6148114980122839,0.30524155781804224,-0.5727630624259485,-0.17734624318763698,-0.31283032115879267,0.015432786015964133,0.6862300742583458,-0.5426518725451001,0.18879901030329824,-0.5428198117358864,-1.0063978654425274,-0.04326169226509626,-0.4748783049054688,-0.6431653887356389
333,333,"He would not allow the older boys to impose upon me, and would divide his cakes with me.",-0.13746500079893925,-0.11493046458281202,0.005228450833269235,-0.0785734505502065,0.007763191315504496,-0.01279789235660609,-0.04912244329438915,0.03505354400093011,0.039536697095172935,0.016628959446218696,0.04491914168443678,0.0837805001816333,-0.7161252434362252,-0.4908736440891696,-0.18351541300866653,-0.31083100426300003,0.04779518953832182,0.5743346599553885,0.30524155781804224,-0.4995236273081417,-0.12923787224267608,-0.3305958783586034,0.05222474139258094,0.80062608761637,-0.396820561027737,0.31921500826810184,-0.48518610543278917,-1.0047814118019154,-0.043271587966932305,-0.4748783049054688,-0.46544375476552946
334,334,"I was seldom whipped by my old master, and suffered little from any thing else than hunger and cold.",-0.1286913840603191,-0.10577084721381824,0.0017728998603736947,-0.07294786963742568,-0.004339086439303615,-0.009226996648797225,-0.05360728396472235,0.04286947541333509,0.03813663530155611,0.005349976276097564,0.04079588692955716,0.09685150873713651,-0.6505307613224077,-0.42960170184982843,-0.21242060359443063,-0.48153120130951627,0.026938715605419234,0.6022125447109784,0.24097474244303227,-0.4332593764872689,-0.17734624318763698,-0.3838925499580346,0.08901669676919757,0.8000787795800979,-0.3057533757425897,0.18281515400748585,-0.6219129113601028,-1.0139608412554157,-0.04910683624739751,-0.6208249409453189,-0.4636724956337584
335,335,"I suffered much from hunger, but much more from cold.",-0.1321546538255639,-0.10938648564894736,0.0017728998603736947,-0.0728640778290682,0.0020908816882090975,-0.016802084002596834,-0.06298577134787313,0.034411996077189165,0.04485693191091688,0.005126508926546804,0.04823671118696918,0.10389026221756024,-0.6798614480685394,-0.4569995573741826,-0.21242060359443063,-0.41263499893405337,0.015615323750763422,0.5195133740118452,0.24097474244303227,-0.4594163176007713,-0.17734624318763698,-0.47272033595708696,0.015432786015964133,0.6852136185761771,-0.43876297243214646,0.12142208877415978,-0.6780028828225306,-1.0217933762622733,-0.06684456741657654,-0.7667715769851692,-0.3309212726456096
336,336,"In hottest summer and coldest winter, I was kept almost naked no shoes, no stockings, no jacket, no trousers, nothing on but a coarse tow linen shirt, reaching only to my knees.",-0.11068238128104609,-0.09179037859798565,0.016340553210114475,-0.06783656932761971,0.008492488267585334,-0.020367167427780282,-0.05634487310542102,0.018705807578287256,0.03365643756198226,0.004260975445866044,0.04335349064365171,0.0920225106169046,-0.5116543071661086,-0.38651654349292053,-0.024990930219762845,-0.33670516361624364,0.20750192965310094,0.5243767340957651,0.3045234703036461,-0.4367469686357359,-0.12923787224267608,-0.5260170075565185,0.015432786015964133,0.5713071259701501,-0.4863790587050719,0.13962056815772322,-0.7399076743239341,-1.0293396288197505,-0.0697557819773722,-0.9127182130250191,-0.2752637252890748
337,337,I had no bed.,-0.10814265011986655,-0.08913891041222431,0.020883491022460197,-0.06750140209418981,0.008832826845223058,-0.032191524506854044,-0.05928029327912537,0.014220187948878991,0.056057426259851516,0.002558888400152321,0.059867143950976566,0.09054500889016512,-0.5320066628065758,-0.4055277212482908,0.026252495758022566,-0.37437419890668894,0.2263477851370414,0.351673881791102,0.44662274568361343,-0.4175652118191675,-0.08112950129771518,-0.5437825647563289,-0.09494308011388619,0.5698798624057401,-0.4302597486742495,0.2846597057293319,-0.7250308536348546,-1.148883479921471,-0.20224633831654112,-1.0586648490648694,-0.47740922492714344
338,338,"I must have perished with cold, but that, the coldest nights, I used to steal a bag which was used for carrying corn to the mill.",-0.106295572911736,-0.08721056991348879,0.02562738025834797,-0.05141337488955462,0.014298502336095552,-0.03613403725285186,-0.06828810795981147,0.0001882830558376137,0.056057426259851516,-0.010091166779172182,0.059867143950976566,0.09345871881047157,-0.4667656014099877,-0.38294290777044937,0.12661871424655496,-0.40056666999787066,0.3356144827524987,0.2982917966472841,0.44662274568361343,-0.40361484322529956,-0.033021130352754266,-0.6326103507553813,-0.131735035490503,0.4565300150806712,-0.5688098961856176,0.2785454823860246,-0.7803292915522078,-1.1475935016396952,-0.3363632898957786,-1.2046114851047194,-0.6590015367582241
339,339,"I would crawl into this bag, and there sleep on the cold, damp, clay floor, with my head in and feet out.",-0.10144699524039327,-0.08696952735114684,0.019204485993938293,-0.05191612573969947,0.005101257440409442,-0.0364459301841267,-0.08267611222395313,-0.0050523289472414025,0.056057426259851516,-0.010220610402398992,0.059867143950976566,0.08556576524895479,-0.512821133337962,-0.4586373252569751,0.006464565757633448,-0.5369726024279131,0.27968221388131875,0.24404831288655543,0.21926390507566562,-0.4018710471510659,-0.08112950129771518,-0.739203693954244,-0.131735035490503,0.45667849820362644,-0.6159580283857577,0.2886835362225788,-0.6230077479600299,-1.1667690128526012,-0.3364721065733532,-1.2046114851047194,-0.6674796353360452
340,340,"My feet have been so cracked with the frost, that the pen with which I am writing might be laid in the gashes.",-0.10421761105258912,-0.09468288934608894,0.014755986524226735,-0.04822928617197058,-0.0008951841655885509,-0.040340358567171344,-0.08485501187079625,-0.0043794860028301625,0.056057426259851516,-0.010706828987156414,0.059867143950976566,0.08293749117755893,-0.6378806059723016,-0.5301451623730264,-0.14920010248310803,-0.7090436676064162,-0.04593718745867851,0.09205040860849306,0.10533101863694883,-0.4576725215265379,-0.12923787224267608,-0.7569692511540544,-0.16852699086711972,0.45619164376516114,-0.6945511882721559,0.2967258756845144,-0.8062675800390736,-1.2761628095445805,-0.36059717087273396,-1.3505581211445696,-0.7564114457582093
341,341,We were not regularly allowanced.,-0.08228356920603866,-0.07178384592360454,0.03504187283120722,-0.03459516192637573,0.013751529622034929,-0.02152650491922828,-0.05562357554833047,0.011274544128287925,0.06931134457275749,-0.010708760981532934,0.08924216424620679,0.08155710142241049,-0.4285413234408733,-0.3346009029422646,0.10461209602517703,-0.5521829692904593,0.33111749933312523,0.28965844373755195,0.47385862978870597,-0.3181688355878582,0.06319561153716732,-0.5260170075565185,-0.02135916936065267,0.45612563792115735,-0.6660167801731696,0.31900274836163056,-0.5968842586751432,-1.2672787453867287,-0.36062389046911186,-1.3505581211445696,-0.7532077807167378
342,342,Our food was coarse corn meal boiled.,-0.08805568548144668,-0.07780990998215308,0.023818169250631658,-0.03881826906759247,0.005656333453937639,-0.02564690286172198,-0.06697628762419353,0.0023971899314822664,0.05587075135403594,-0.011307035240128488,0.07780752568515178,0.07727284317925909,-0.5111711724328819,-0.4117856168317479,-0.040326199975315016,-0.716679736345045,0.17467817003340685,0.21976488775865982,0.47385862978870597,-0.3617637374436956,-0.033021130352754266,-0.5970792363557604,-0.05815112473726948,0.45591761742396425,-0.7037092817761182,0.2472747305933208,-0.7492969524129519,-1.351336787592927,-0.36203558782527634,-1.4965047571844194,-0.9046153383321198
343,343,This was called mush.,-0.0792820687428265,-0.06865029261315933,0.03199318194919319,-0.037997109345689214,0.014865733298825097,-0.03319365726907958,-0.06697628762419353,0.0023971899314822664,0.05739809149252703,0.001560691305617219,0.07940191002249543,0.0797404047270405,-0.3881524286126098,-0.2968735522371524,0.14795416950116705,-0.4991573175078782,0.16525040738066174,0.058419964322543594,0.8924747848346831,-0.29549948662282266,0.06319561153716732,-0.5970792363557604,-0.131735035490503,0.5709291202642972,-0.78520396933306,0.3985793920228157,-0.5660297331478874,-1.3507170504925827,-0.22774224766353615,-1.3505581211445696,-0.6992699055715594
344,344,"It was put into a large wooden tray or trough, and set down upon the ground.",-0.08205268455502235,-0.0715428033612626,0.0124295886806759,-0.052912051233319754,0.030460533124153664,-0.029381432364143083,-0.0755897155444935,-0.012466640927710992,0.05204149143539045,0.001602551183775143,0.0762985333219298,0.07906093888053572,-0.47242435606374067,-0.3452552275792223,-0.17874661399175168,-0.3797985164861737,-0.0966004581823922,0.10119837706589246,0.813313265845492,-0.2989870787712897,-0.12923787224267608,-0.6503759079551917,-0.09494308011388619,0.5709156994763638,-0.8298722161506457,0.3945827232870124,-0.5671031531429418,-1.3504687822715855,-0.22786648257343287,-1.3505581211445696,-0.7199492594986852
345,345,"The children were then called, like so many pigs, and like so many pigs they would come and devour the mush; some with oyster-shells, others with pieces of shingle, some with naked hands, and none with spoons.",-0.09151895524669149,-0.08142554841728218,-0.006699304641939076,-0.07109487364689182,0.02852789620113945,-0.03674775407797622,-0.08707514940392744,-0.03290620130299429,0.04487317505207229,-0.010931584332958186,0.06667430031228463,0.07413605487344438,-0.5728236181109689,-0.439038387180301,-0.4495262811796954,-0.4120808864851326,-0.37274021332308405,0.03219419419522318,0.4549204869059761,-0.3704827178148631,-0.3697797269674804,-0.7747348083538649,-0.16852699086711972,0.5707480854680267,-0.8710406715010452,0.28338830329399267,-0.7724456757606303,-1.345263777958958,-0.3573546044827574,-1.4965047571844194,-0.8107010609922481
346,346,He that ate fastest got most; he that was strongest secured the best place; and few left the trough satisfied.,-0.09036453199160989,-0.08022033560557248,-0.007911450198424198,-0.07310587704747121,0.0299459736079633,-0.03274681417572653,-0.09117734964889633,-0.032704087627832,0.04050498225598779,-0.010927076346079641,0.06079880179031744,0.07529674671753363,-0.5670950541860453,-0.4336873236973508,-0.473200498602612,-0.39636990492615387,-0.4243021902209033,0.09067133859508407,0.5897276961240318,-0.3617637374436956,-0.3697797269674804,-0.7925003655536756,-0.131735035490503,0.5707578344985863,-0.8612809585339242,0.27929621119636894,-0.7724389264207947,-1.345157142789459,-0.357354452302802,-1.4965047571844194,-0.8074834151529059
347,347,I was probably between seven and eight years old when I left Colonel Lloyd s plantation.,-0.08574683897128348,-0.07539948435873367,0.0028756354509669826,-0.0781333855489197,0.02912348871200546,-0.02857255131632609,-0.08429362577803981,-0.027060552233622994,0.06290597095385704,0.001907162297139726,0.0773124550976423,0.07925808680551746,-0.49569470415060457,-0.3669921081508786,-0.33711449129372756,-0.3966276126388914,-0.5635354411259295,0.1661650073932266,0.5897276961240318,-0.32688781595902566,-0.27356298507755855,-0.7569692511540544,-0.09494308011388619,0.570825346792578,-0.6858549678578063,0.2598606147420081,-0.8301439787771472,-1.3337528930563978,-0.2240672178782297,-1.4965047571844194,-0.6038241067861339
348,348,I left it with joy.,-0.08574683897128348,-0.07539948435873367,0.0028756354509669826,-0.06732424227080543,0.025460797352666143,-0.02857255131632609,-0.08429362577803981,-0.027060552233622994,0.058425773214283196,0.002324473082467949,0.07226578334483082,0.07797786579325751,-0.49569470415060457,-0.3669921081508786,-0.33711449129372756,-0.4368923605966771,-0.39531442651145593,0.1661650073932266,0.5897276961240318,-0.32688781595902566,-0.27356298507755855,-0.7569692511540544,-0.09494308011388619,0.5708375974223203,-0.740875406036265,0.18892200644392948,-0.7772219846946463,-1.3335682535917806,-0.224738107216297,-1.4965047571844194,-0.4762650537171044
349,349,"I shall never forget the ecstasy with which I received the intelligence that my old master (Anthony) had determined to let me go to Baltimore, to live with Mr. Hugh Auld, brother to my old master s son-in-law, Captain Thomas Auld.",-0.0781276454877449,-0.07708678229512725,0.0024647627819398992,-0.07687650842355757,0.0134111910443972,-0.02869891810822145,-0.09467698855597766,-0.04158144182463766,0.056745699061943,0.0023193210974638964,0.06216952485256592,0.08106319811073331,-0.44932004553898985,-0.38055131396784564,-0.3455777342682761,-0.5655729873271109,-0.5352132978667236,0.15800255257034737,0.4224929575781488,-0.33909438847866025,-0.27356298507755855,-0.8635625943529173,-0.09494308011388619,0.570789514558469,-0.7490844875567456,0.22451837115102213,-0.9661765123116623,-1.3335647188695567,-0.2252561798460044,-1.4965047571844194,-0.4968745484881177
350,350,I received this information about three days before my departure.,-0.06034952735948821,-0.05852650499479779,0.0064973955851848385,-0.07996004697111266,0.025764671082699826,-0.013978019737866356,-0.08270744994129721,-0.04158144182463766,0.05764173860985777,0.013341993013633433,0.06391789436313342,0.08282333736508582,-0.30929431335328395,-0.249752986150928,-0.30489113059137596,-0.47891913571087086,-0.6213370570382774,0.3218854305635536,0.26683100051665526,-0.2048220907626809,-0.22545461413259768,-0.739203693954244,0.05222474139258094,0.5712624163189141,-0.7861821288537979,0.2800898842977193,-0.916740822419452,-1.332816999281542,-0.21040522634057435,-1.3505581211445696,-0.6043875081923734
351,351,They were three of the happiest days I ever enjoyed.,-0.05042148736578643,-0.048161674814094335,0.014170307586270494,-0.07191603336879507,0.03635163183707331,0.0008014435749877871,-0.0645233516580072,-0.025246744993940758,0.051668141623759316,0.026204567574375087,0.05568236729443156,0.09152906415268494,-0.2803072815393784,-0.2226761394138846,-0.28999323940288463,-0.3262984403649468,-0.4011360604195288,0.35836641428337435,0.5229655558894091,-0.12983885957064056,-0.12923787224267608,-0.5793136791559498,0.199392562899048,0.6862490575871228,-0.6679044608228208,0.2759179372743593,-0.8024921572781456,-1.3254059489100507,-0.07682504550187859,-1.2046114851047194,-0.41136867914294023
352,352,"I spent the most part of all these three days in the creek, washing off the plantation scurf, and preparing myself for my departure.",-0.029410984123301263,-0.02622680164097771,0.03618389143131951,-0.05968242934860373,0.054693450181906356,0.019073580760608395,-0.04386913279995345,-0.007218205169464397,0.07021118226810663,0.027085557010068,0.0635320156410088,0.08856528830945824,-0.14150539613802054,-0.09302100942495288,-0.0905385699687698,-0.17038708626077212,-0.24448870604737608,0.5221984340566562,0.7365649760915726,-0.0060293383000623165,0.11130398248212822,-0.401658107157845,0.3833523397821317,0.686294542768421,-0.6691196930022434,0.4261619368843051,-0.7944919643055782,-1.325381202098135,0.050404417504828915,-1.2046114851047194,-0.1946570334598208
353,353,The pride of appearance which this would indicate was not my own.,-0.023638867847893246,-0.020200737582429185,0.04032130855844316,-0.05968242934860373,0.06304795193296572,0.026648668114408004,-0.03449064541680267,-0.016021233692178116,0.07021118226810663,0.02723882856393855,0.07384498206715696,0.08349335289245974,-0.06705179552974778,-0.023473746164830226,-0.13341189610704093,-0.14766530740243633,-0.22688838386769722,0.6048976047557894,1.1985054349751623,0.03756556355577515,0.15941235342708912,-0.31283032115879267,0.4569362505353653,0.8012102470567886,-0.4887214228690328,0.48043213577325017,-0.6014343911885295,-1.3242920155716922,0.05012831100418986,-1.2046114851047194,-0.10863716355998773
354,354,"I spent the time in washing, not so much because I wished to, but because Mrs. Lucretia had told me I must get all the dead skin off my feet and knees before I could go to Baltimore; for the people in Baltimore were very cleanly, and would laugh at me if I looked dirty.",-0.022715329243827968,-0.019236567333061422,0.04032130855844315,-0.05364941914686553,0.07379292702695672,0.030383810209975128,-0.020319658570716832,-0.010587635728298976,0.0760914418012973,0.016924554585826184,0.08957833726736748,0.07697334179289798,-0.05991176052620372,-0.01680422461018297,-0.13341189610704093,0.012656870236636284,-0.1433484333246811,0.6426444391548607,1.5465761524753145,0.04454074785270912,0.15941235342708912,-0.20623697795992987,0.4937282059119821,0.6960820238340195,-0.2887116930641122,0.570955635164402,-0.42410831108491703,-1.3241928329940027,0.049063792192566555,-1.0586648490648694,-0.11055654275334514
355,355,"Besides, she was going to give me a pair of trousers, which I should not put on unless I got all the dirt off me.",0.014457099569799639,0.019571285203991068,0.05799656853269101,-0.03446109503300378,0.09417677683761612,0.052119307384528225,0.004948545371458392,0.007345715074971916,0.08633189377746611,0.029223630786749638,0.10849603437058063,0.08858101808688243,0.10055836772534103,0.13309125611497324,-0.003037866037129874,0.20575157092435103,0.054178624373472865,0.7961928232796494,1.8527140138739833,0.29913497469079964,0.3518458372069325,0.006949708437795651,0.7144799381716825,0.8102889142349045,-0.11745970650796066,0.5589420461766941,-0.22884208284920768,-1.3241263268760664,0.18164048639122113,-1.0586648490648694,0.0822547101836283
356,356,The thought of owning a pair of trousers was great indeed!,0.02323071630841982,0.02873090257298483,0.03864618109009449,-0.03823172640909015,0.08382481176780202,0.05585444948009534,0.00482566683555992,0.0037063649628560824,0.08427846981349477,0.019070356340013896,0.10202229398756843,0.08618590841587921,0.1978039615941514,0.22202138605856603,-0.27833237689075746,0.02151467619481282,-0.045005444070127694,0.8624101030887569,1.765696334498945,0.35668024514050506,0.15941235342708912,0.006949708437795651,0.7512718935482994,0.8107202187590087,-0.16701688047062643,0.5719390616038648,-0.35749684618792044,-1.320389911373413,0.05657087344399093,-1.0586648490648694,0.07967867464944016
357,357,"It was almost a sufficient motive, not only to make me take off what would be called by pig-drovers the mange, but the skin itself.",0.02276894700638718,0.028248817448300947,0.03292043296215736,-0.04084603082984336,0.07877645619950911,0.05631612030501905,0.005777108627882737,0.0008115755508542348,0.08674257857026038,0.01906327236063332,0.1082954762225898,0.0771478727983956,0.22219954822859111,0.2448093542990434,-0.31286393426520986,0.008256098879554117,-0.05084679473545565,0.9016377864610415,1.8561278111686539,0.34447367262087053,0.11130398248212822,-0.010815848762014755,0.7512718935482994,0.8106362178723246,-0.11981787657859681,0.47549832572562484,-0.20301279731970834,-1.3198958278257988,0.05659397676406038,-1.0586648490648694,0.0835318693397545
358,358,"I went at it in good earnest, working for the first time with the hope of reward.",0.04331768094683971,0.04970160549673369,0.032891274688418605,-0.0367234738586556,0.09435504942590256,0.07469017640058015,0.014020848930126355,0.012830167447440276,0.09346287517962115,0.03174745944060967,0.12032648552383104,0.0778622996482052,0.35085158828013174,0.3649834926257017,-0.31346236948109846,0.19313391857088832,0.0009651474993188971,1.1139476302387712,1.9339587896994006,0.4822335624853168,0.20752072437204994,0.07801193723703743,0.9352316704313832,0.8107370710958895,-0.047356191620418306,0.5238717790882702,-0.059664818675168395,-1.3180990019303966,0.18929371646611834,-1.0586648490648694,0.22921855835163465
359,359,The ties that ordinarily bind children to their homes were all suspended in my case.,0.04331768094683971,0.04970160549673369,0.028549288299614933,-0.0306904636569174,0.08980909842459867,0.06690131963449085,0.012533015974419501,0.025256898571934683,0.08226238083068653,0.03358993807768381,0.11285622419018984,0.07953001402714813,0.44510005072436365,0.4530211775183039,-0.2753258737764154,0.18166301315372937,0.2594198324083199,1.0546409813660715,1.9339587896994006,0.5083905035988192,0.20752072437204994,0.11354305163665841,0.8984397150547666,0.9254276383209142,-0.007377047718980769,0.5150966217304008,-0.07179004765434635,-1.3225085096816103,0.19224952375857865,-1.2046114851047194,0.3149158459092182
360,360,I found no severe trial in my departure.,0.051167759081394606,0.06271790386319849,0.0364630260422549,-0.023316784521459605,0.0914378616175792,0.07046974296676141,0.021560293792160207,0.04337280366244894,0.09588964895522366,0.04641516074714609,0.1348902339268197,0.07823868949477975,0.5632184918420733,0.5700253807159484,-0.12958603412700537,0.2105825612944795,0.43764907342750853,1.0807089045578453,2.302318680498473,0.602555491607428,0.3037374662619716,0.2023708376357108,0.9352316704313832,1.0347582667835635,0.02881019434323258,0.6110731038219973,0.12342896397753264,-1.3246384559131223,0.31817499277018013,-1.0586648490648694,0.5314797355766683
361,361,"My home was charmless; it was not home to me; on parting from it, I could not feel that I was leaving any thing which I could have enjoyed by staying.",0.03569848746330113,0.04656805218628845,0.024789852352952228,-0.0280091257894782,0.0887394628948801,0.07429772407069153,-0.002636558730694286,0.04096439103003118,0.08562252913536693,0.04852876259505848,0.11454872105463806,0.08135501794308578,0.5343244847700971,0.5430354285839183,-0.2191523879780818,0.21089642373409342,0.1765352998489554,0.9898472817852854,2.302318680498473,0.48572115463378385,0.25562909531701083,-0.06411252036144631,0.9720236258079998,1.1495921217664369,0.1551260546509085,0.6058089276221421,-0.07964863877378311,-1.3185839763373164,0.43568637598203264,-1.0586648490648694,0.5229632202913069
362,362,"My mother was dead, my grandmother lived far off, so that I seldom saw her.",0.014918868871832278,0.024874221575513767,0.004284332922800861,-0.037226224708800444,0.0678045887204263,0.06677778762945648,-0.03227709698118719,0.020393130776093744,0.04978094721877614,0.04785836054640619,0.09082293635964836,0.08073744831366925,0.3622763353461799,0.38232489418872123,-0.429760934625687,-0.011516491183665094,-0.03833080436712748,0.9109967163620267,2.106719823235852,0.35493644906627153,0.06319561153716732,-0.29506476395898223,0.8984397150547666,1.1494017359992847,0.09780106400134352,0.4537025501244255,-0.10173578784127621,-1.3186390744303913,0.4355820646320849,-1.2046114851047194,0.3034960590570039
363,363,"I had two sisters and one brother, that lived in the same house with me; but the early separation of us from our mother had well nigh blotted the fact of our relationship from our memories.",0.024154254912485098,0.024874221575513767,0.01595043384099099,-0.0270036240891885,0.07010187411948093,0.06294227876041866,-0.03602538710122112,0.01121716992372573,0.034324265017246364,0.03500544595754713,0.07416903622258621,0.08582104735371288,0.3501803177171071,0.3596504047649679,-0.36990754763623424,-0.047321210179456834,-0.014000600399761177,0.8021994359835539,2.106719823235852,0.35493644906627153,0.20752072437204994,-0.3483614355584138,0.8616477596781497,1.14979231833203,0.05441189071945794,0.4356311404581668,-0.09717902748256659,-1.3171312430666706,0.30277841405364603,-1.2046114851047194,0.29055140759885806
364,364,"I looked for home elsewhere, and was confident of finding none which I should relish less than the one which I was leaving.",0.014226214918783312,0.014509391394810304,0.008666961972440964,-0.02432228622174931,0.07417378210193226,0.07388330999576899,-0.04863649579558614,0.006443375312311875,0.03502429591405478,0.03583749153570155,0.0754656486097859,0.08750207565479512,0.3203517596640226,0.3317874866167592,-0.368486599060462,0.07264889847854289,0.07232981298837847,0.8912689726465483,2.106719823235852,0.3148291393589011,0.15941235342708912,-0.43718922155746615,0.9720236258079998,1.2641228337152948,0.18748026072579121,0.4979231220161391,-0.20812062800748005,-1.3240872721396537,0.3032502800432145,-1.0586648490648694,0.4084345488038467
365,365,"If, however, I found in my new home hardship, hunger, whipping, and nakedness, I had the consolation that I should not have escaped any one of them by staying.",0.019305677241142367,0.01981232776633301,0.003496223807473921,-0.02231128282116991,0.06444982274085444,0.06601230081374669,-0.05171224006848467,0.009302957826059641,0.01934360382554631,0.02459328426435777,0.06364417524651461,0.08365849149905542,0.2912026888235324,0.30455927888779305,-0.4323983801715901,-0.06234432930877781,0.11780320231454079,0.7847787277887093,2.106719823235852,0.35319265299203806,0.11130398248212822,-0.4549547787572766,0.8984397150547666,1.1495004342101107,0.24514918859535323,0.5775729904505822,-0.21322481066268367,-1.3438890564961232,0.2989666826163081,-1.0586648490648694,0.2659570590487062
366,366,"Having already had more than a taste of them in the house of my old master, and having endured them there, I very naturally inferred my ability to endure them elsewhere, and especially at Baltimore; for I had something of the feeling about Baltimore that is expressed in the proverb, that being hanged in England is preferable to dying a natural death in Ireland.",0.029926371187893114,0.03090028563406229,0.01712503724451109,-0.014602436452282219,0.07374835887988511,0.06601230081374669,-0.04747234545142429,0.011266720373120353,0.01934360382554631,0.025527081546342218,0.0651922163833117,0.08590573073855119,0.23043743721083582,0.24779833090878783,-0.4836418061493755,-0.0432284819387919,0.3138130626519403,0.7847787277887093,1.878854050358418,0.4334072724067789,0.25562909531701083,-0.41942366435765577,0.8984397150547666,1.1490861638949814,0.3713082206458897,0.5290231648423952,-0.08264203333654761,-1.3450842659075566,0.2984382096880706,-0.9127182130250191,0.32943059154013765
